contrast_id,family,ce_difference_at_zero_transaction_cost,ce_difference_at_search_limit,break_even_transaction_cost_bps,break_even_status,crossing_direction,annual_short_borrow_percent,annual_cash_borrow_percent,search_limit_bps
primary_vs_equal_weight,frozen_primary_benchmarks,0.051364203040470624,-0.17163111906825756,107.28803992157191,finite_crossing,positive_to_negative,3.0,2.0,500.0
primary_vs_static_vine,frozen_primary_benchmarks,-0.026427400944748047,0.3662694563311444,23.197504110892623,finite_crossing,negative_to_positive,3.0,2.0,500.0
primary_vs_dynamic_nn_vine,frozen_primary_benchmarks,-0.01436131123070461,0.386977368055213,12.06387244466896,finite_crossing,negative_to_positive,3.0,2.0,500.0
raw_vine_state_contribution,post_holdout_causal_components,-0.07308592214158538,-0.02998282713436695,,candidate_negative_throughout_search,none,3.0,2.0,500.0
joint_visible_dependence_contribution,post_holdout_causal_components,0.02467433260586782,0.03673041008163924,,candidate_positive_throughout_search,none,3.0,2.0,500.0
focused_raw_vine_state_contribution,retrospective_focused_mechanisms,-0.002520134560840326,-0.021783346953646032,,candidate_negative_throughout_search,none,3.0,2.0,500.0
focused_joint_visible_dependence_contribution,retrospective_focused_mechanisms,-0.050380800351951915,-0.028420163785252472,,candidate_negative_throughout_search,none,3.0,2.0,500.0
historical_vs_original_bootstrap,post_holdout_pretraining_sources,0.1852793908681969,0.2916557326391397,,candidate_positive_throughout_search,none,3.0,2.0,500.0
concentrated_synthetic_vs_full_state,post_holdout_presentation_mechanism,0.05120501107295783,-0.03331641066213198,281.64206769200973,finite_crossing,positive_to_negative,3.0,2.0,500.0
concentrated_synthetic_vs_historical_masked,post_holdout_terminal_pretraining_controls,-0.016792152601288413,0.1342121973796374,43.11419858941372,finite_crossing,negative_to_positive,3.0,2.0,500.0
concentrated_synthetic_vs_bootstrap_masked,post_holdout_terminal_pretraining_controls,0.05855722695160148,0.2975113075093221,,candidate_positive_throughout_search,none,3.0,2.0,500.0
