contrast_id,family,annualized_ce_difference,registered_moving_block_3_ci_lower,registered_moving_block_3_ci_upper,registered_moving_block_3_holm_p,stationary_block_3_ci_lower,stationary_block_3_ci_upper,stationary_block_3_holm_p,minimum_holm_p_across_specs,maximum_holm_p_across_specs,specifications_positive_holm_0_05,resampling_specifications,leave_one_out_min_ce_difference,leave_one_out_max_ce_difference,leave_one_out_fraction_positive,break_even_transaction_cost_bps,break_even_status,crossing_direction,confirmatory_claim_created
concentrated_synthetic_vs_bootstrap_masked,post_holdout_terminal_pretraining_controls,0.06538796910223565,-0.05151443952345456,0.23513585008403287,0.32707345853082936,-0.05743847929608177,0.2348758990815054,0.3394332113357733,0.2278754424911502,0.371352572948541,0,9,0.03068101167511994,0.10938043237839712,1.0,,candidate_positive_throughout_search,none,False
concentrated_synthetic_vs_full_state,post_holdout_presentation_mechanism,0.04923653177823617,-0.05284498310133708,0.17426360484075987,0.1882162356752865,-0.0429998369976994,0.16053273463983525,0.15955680886382273,0.06379872402551949,0.18923621527569448,0,9,0.021315619196939917,0.06679307896897124,1.0,281.64206769200973,finite_crossing,positive_to_negative,False
concentrated_synthetic_vs_historical_masked,post_holdout_terminal_pretraining_controls,-0.012781590805198473,-0.1641184349296745,0.20700074971532956,0.5290094198116038,-0.16851873517785576,0.20643438298196706,0.5340493190136197,0.5290094198116038,0.6491270174596508,0,9,-0.06329981055112555,0.022601161594939745,0.2727272727272727,43.11419858941372,finite_crossing,negative_to_positive,False
focused_joint_visible_dependence_contribution,retrospective_focused_mechanisms,-0.04987039854436426,-0.0901810474996006,-0.006493222344004374,1.0,-0.08882812202822465,-0.007253791731031082,1.0,1.0,1.0,0,9,-0.06281593981207978,-0.043491585823847156,0.0,,candidate_negative_throughout_search,none,False
focused_raw_vine_state_contribution,retrospective_focused_mechanisms,-0.002980167927767452,-0.027900926098619248,0.02308564968108834,1.0,-0.029768096318551658,0.02547380884971966,1.0,1.0,1.0,0,9,-0.009204791126111278,0.004328924719190219,0.08695652173913043,,candidate_negative_throughout_search,none,False
historical_vs_original_bootstrap,post_holdout_pretraining_sources,0.18908216047207138,0.0720654978033987,0.3578554591709494,0.0023999520009599807,0.0821721091525914,0.345445875077927,0.00125997480050399,1.999960000799984e-05,0.0064598708025839485,9,9,0.13477079255721924,0.21271953991803838,1.0,,candidate_positive_throughout_search,none,False
joint_visible_dependence_contribution,post_holdout_causal_components,0.0249867274774227,-0.029472366326272377,0.07858021695604693,0.375552488950221,-0.025760040625587493,0.074885929097139,0.3278334433311334,0.1364772704545909,0.4084718305633887,0,9,0.006108268709822839,0.03360378337092351,1.0,,candidate_positive_throughout_search,none,False
primary_vs_dynamic_nn_vine,frozen_primary_benchmarks,-0.002477705912159678,-0.1826031796559953,0.14329865516822005,1.0,-0.17467592172436178,0.13295345512574516,1.0,1.0,1.0,0,9,-0.05766820060086775,0.030092238147564787,0.5,12.06387244466896,finite_crossing,negative_to_positive,False
primary_vs_equal_weight,frozen_primary_benchmarks,0.04649011609167775,-0.09001251019885786,0.16737033446511876,0.7285054298914022,-0.08544806862586811,0.16977752754885697,0.7362452750944981,0.4771104577908442,0.8294234115317694,0,9,0.016665076585409277,0.10207031952599088,1.0,107.28803992157191,finite_crossing,positive_to_negative,False
primary_vs_static_vine,frozen_primary_benchmarks,-0.01496326362785183,-0.17587805497371753,0.11633673499662202,1.0,-0.1690461723951537,0.10796585627286404,1.0,1.0,1.0,0,9,-0.06116883017795405,0.010747232900936599,0.18181818181818182,23.197504110892623,finite_crossing,negative_to_positive,False
raw_vine_state_contribution,post_holdout_causal_components,-0.07206402826591951,-0.13665350576575297,-0.024847850318836528,0.9954800903981921,-0.1302427876170387,-0.02722668045741916,0.9983400331993361,0.992460150796984,1.0,0,9,-0.08705183653139881,-0.05806059512879247,0.0,,candidate_negative_throughout_search,none,False
