update,critic_loss,actor_loss,q1_mean,q2_mean,target_q_mean,twin_q_gap,critic_grad_norm,critic2_grad_norm,actor_grad_norm,actor_mean_leverage_gate,actor_mean_direction_entropy,actor_leverage_penalty,actor_mean_gross_exposure,actor_mean_max_abs_weight,actor_gate_gross_mae,critic_amp_scale,actor_amp_scale,stage,episode,step,pass
100,0.00765873771160841,0.2820718586444855,-0.2964026629924774,-0.3075695335865021,-0.3013480007648468,0.02137727104127407,0.051597245037555695,0.07449103146791458,0.033226627856492996,0.10239805281162262,1.1500974893569946,0.0,1.0511990785598755,0.2226550430059433,1.210719347000122e-07,1.0,1.0,pretrain,10,11,
200,0.009414758533239365,0.27559584379196167,-0.296425461769104,-0.29021209478378296,-0.2868960499763489,0.018208570778369904,0.10875488072633743,0.04013664275407791,0.033919598907232285,0.10613343119621277,1.1473790407180786,0.0,1.0530667304992676,0.24509726464748383,1.0710209608078003e-07,1.0,1.0,pretrain,14,15,
300,0.008667567744851112,0.2724625766277313,-0.2937537133693695,-0.28987008333206177,-0.28508391976356506,0.018392318859696388,0.09940660744905472,0.05472097918391228,0.03207146376371384,0.11238346248865128,1.141315221786499,0.0,1.0561916828155518,0.2739338278770447,1.0256189852952957e-07,1.0,1.0,pretrain,18,19,
400,0.0060112373903393745,0.2638360261917114,-0.28425097465515137,-0.2915657162666321,-0.2845107316970825,0.017093483358621597,0.034267112612724304,0.08200904726982117,0.02758961170911789,0.1220627874135971,1.131028413772583,0.0,1.0610313415527344,0.30722102522850037,1.1175870895385742e-07,1.0,1.0,pretrain,22,23,
500,0.007808677386492491,0.2581096887588501,-0.2797093987464905,-0.27804309129714966,-0.28187429904937744,0.015477044507861137,0.03342186659574509,0.04656682536005974,0.0222447719424963,0.13682016730308533,1.1182444095611572,0.0,1.0684101581573486,0.34332695603370667,1.1455267667770386e-07,1.0,1.0,pretrain,27,3,
600,0.006182184908539057,0.24807924032211304,-0.27271318435668945,-0.27575409412384033,-0.2698681950569153,0.014760175719857216,0.04526805877685547,0.06634237617254257,0.0193400289863348,0.1553833782672882,1.1072807312011719,0.0,1.0776917934417725,0.3683263659477234,1.1897645890712738e-07,1.0,1.0,pretrain,31,7,
700,0.009530450217425823,0.24347664415836334,-0.26394790410995483,-0.26609522104263306,-0.26630741357803345,0.017314547672867775,0.040954362601041794,0.02856559492647648,0.01889731176197529,0.17881649732589722,1.0959537029266357,0.0,1.089408278465271,0.3835149109363556,1.2118835002183914e-07,1.0,1.0,pretrain,35,11,
800,0.008138787001371384,0.238107830286026,-0.25923705101013184,-0.2653622329235077,-0.2513185739517212,0.016451846808195114,0.08841750770807266,0.16554157435894012,0.019548458978533745,0.20915347337722778,1.0798313617706299,0.0,1.1045767068862915,0.39395034313201904,1.2083910405635834e-07,1.0,1.0,pretrain,39,15,
900,0.007729433476924896,0.22431138157844543,-0.2433333694934845,-0.2472231388092041,-0.2414514422416687,0.014314739033579826,0.039717208594083786,0.07784758508205414,0.020135393366217613,0.24559113383293152,1.058201789855957,0.0,1.1227954626083374,0.40346860885620117,1.1315569281578064e-07,1.0,1.0,pretrain,43,19,
1000,0.005962630733847618,0.224833145737648,-0.23874634504318237,-0.24089866876602173,-0.24649101495742798,0.013783684000372887,0.09234362095594406,0.07815224677324295,0.019493108615279198,0.2902352213859558,1.035386323928833,0.0,1.1451175212860107,0.41025301814079285,9.033828973770142e-08,1.0,1.0,pretrain,47,23,
1100,0.00513804517686367,0.2258477658033371,-0.24013838171958923,-0.24871337413787842,-0.2479040026664734,0.015544731169939041,0.10077283531427383,0.03408549726009369,0.01727619208395481,0.3403739333152771,1.0164270401000977,0.0,1.170186996459961,0.41501790285110474,1.1175870895385742e-07,1.0,1.0,pretrain,52,3,
1200,0.006013824138790369,0.2211723029613495,-0.23660321533679962,-0.23114678263664246,-0.22900038957595825,0.016528788954019547,0.08625968545675278,0.05300050601363182,0.01851259358227253,0.39142316579818726,1.0051755905151367,0.0,1.195711612701416,0.43244433403015137,1.317821443080902e-07,1.0,1.0,pretrain,56,7,
