"stage","pass","position","original_episode"
"all_history_refit",1,1,2
"all_history_refit",1,2,6
"all_history_refit",1,3,12
"all_history_refit",1,4,13
"all_history_refit",1,5,7
"all_history_refit",1,6,18
"all_history_refit",1,7,9
"all_history_refit",1,8,4
"all_history_refit",1,9,16
"all_history_refit",1,10,8
"all_history_refit",1,11,15
"all_history_refit",1,12,5
"all_history_refit",1,13,14
"all_history_refit",1,14,11
"all_history_refit",1,15,1
"all_history_refit",1,16,10
"all_history_refit",1,17,3
"all_history_refit",1,18,17
