"asset_i","asset_j","historical_correlation","synthetic_correlation","absolute_error","historical_ci_lower","historical_ci_upper","pass_correlation","statistically_compatible"
"SP500","NASDAQ",0.960084850329429,0.945968266839199,0.0141165834902308,0.93400404867575,0.975930390706329,TRUE,TRUE
"SP500","DOW",0.975606788002484,0.95674650116778,0.0188602868347044,0.952557598429091,0.986200163541897,TRUE,TRUE
"SP500","SSE50",0.565834486253655,0.593600059416836,0.0277655731631805,0.408669262163237,0.728531599600558,TRUE,TRUE
"SP500","DIVIDEND",0.433492734506502,0.54926598533015,0.115773250823648,0.212025030419402,0.607242737159864,FALSE,TRUE
"SP500","CHINEXT",0.360615114597011,0.286258633740249,0.0743564808567624,0.153757843485398,0.529805049018582,TRUE,TRUE
"SP500","GOLD",-0.147335774145499,-0.179722601714131,0.0323868275686318,-0.351777479606376,0.0695718945245699,TRUE,TRUE
"NASDAQ","DOW",0.905016228352788,0.908413581375533,0.00339735302274491,0.844841666257845,0.94064594261977,TRUE,TRUE
"NASDAQ","SSE50",0.576097142439249,0.614119538177672,0.0380223957384228,0.379396889041162,0.738702179221494,TRUE,TRUE
"NASDAQ","DIVIDEND",0.438814018623463,0.559750914624799,0.120936896001336,0.214184856452791,0.632732170727224,FALSE,TRUE
"NASDAQ","CHINEXT",0.398947447507656,0.322682187877971,0.0762652596296849,0.196233218441898,0.566780328328762,TRUE,TRUE
"NASDAQ","GOLD",-0.183704837818122,-0.195364113286004,0.011659275467882,-0.399166197124497,0.0479962276067318,TRUE,TRUE
"DOW","SSE50",0.556204230206083,0.60112299824972,0.0449187680436367,0.374002477806993,0.735519628396852,TRUE,TRUE
"DOW","DIVIDEND",0.445245557763057,0.571927776649755,0.126682218886698,0.248326331884759,0.633562386749273,FALSE,TRUE
"DOW","CHINEXT",0.330291707741062,0.277993248038968,0.0522984597020936,0.105645273987686,0.53253631264204,TRUE,TRUE
"DOW","GOLD",-0.166303623428218,-0.174357788896851,0.00805416546863288,-0.348574255834859,0.0111158176518414,TRUE,TRUE
"SSE50","DIVIDEND",0.87924279229712,0.913347056821224,0.0341042645241046,0.783074370054203,0.94048162598132,TRUE,TRUE
"SSE50","CHINEXT",0.689905952638025,0.480205592524397,0.209700360113628,0.481314385398899,0.818882947667868,FALSE,FALSE
"SSE50","GOLD",-0.0490514627355985,-0.045427500724887,0.00362396201071145,-0.286825940258149,0.181294853522731,TRUE,TRUE
"DIVIDEND","CHINEXT",0.66655100279944,0.453403358893696,0.213147643905744,0.420684126733853,0.806080082804518,FALSE,TRUE
"DIVIDEND","GOLD",-0.158262298958151,-0.14127168207338,0.0169906168847708,-0.387259922586957,0.106088314080673,TRUE,TRUE
"CHINEXT","GOLD",-0.0476179111656537,0.0225943796670267,0.0702122908326804,-0.275487089205501,0.259562641050439,TRUE,TRUE
