"stage","pass","position","original_episode"
"selection_fit",1,1,12
"selection_fit",1,2,18
"selection_fit",1,3,13
"selection_fit",1,4,14
"selection_fit",1,5,3
"selection_fit",1,6,5
"selection_fit",1,7,1
"selection_fit",1,8,4
"selection_fit",1,9,9
"selection_fit",1,10,16
"selection_fit",1,11,6
"selection_fit",1,12,7
"selection_fit",1,13,17
"selection_fit",1,14,11
"selection_fit",1,15,15
"selection_fit",1,16,2
"selection_fit",1,17,10
"selection_fit",1,18,8
"all_history_refit",1,1,2
"all_history_refit",1,2,20
"all_history_refit",1,3,38
"all_history_refit",1,4,12
"all_history_refit",1,5,13
"all_history_refit",1,6,23
"all_history_refit",1,7,34
"all_history_refit",1,8,9
"all_history_refit",1,9,30
"all_history_refit",1,10,16
"all_history_refit",1,11,28
"all_history_refit",1,12,29
"all_history_refit",1,13,24
"all_history_refit",1,14,10
"all_history_refit",1,15,40
"all_history_refit",1,16,21
"all_history_refit",1,17,39
"all_history_refit",1,18,27
"all_history_refit",1,19,14
"all_history_refit",1,20,33
"all_history_refit",1,21,36
"all_history_refit",1,22,42
"all_history_refit",1,23,15
"all_history_refit",1,24,7
"all_history_refit",1,25,41
"all_history_refit",1,26,22
"all_history_refit",1,27,37
"all_history_refit",1,28,35
"all_history_refit",1,29,32
"all_history_refit",1,30,4
"all_history_refit",1,31,31
"all_history_refit",1,32,18
"all_history_refit",1,33,19
"all_history_refit",1,34,11
"all_history_refit",1,35,5
"all_history_refit",1,36,1
"all_history_refit",1,37,6
"all_history_refit",1,38,8
"all_history_refit",1,39,25
"all_history_refit",1,40,3
"all_history_refit",1,41,17
"all_history_refit",1,42,26
