update,critic_loss,actor_loss,q1_mean,q2_mean,target_q_mean,twin_q_gap,critic_grad_norm,critic2_grad_norm,actor_grad_norm,actor_mean_leverage_gate,actor_mean_direction_entropy,actor_leverage_penalty,actor_mean_gross_exposure,actor_mean_max_abs_weight,actor_gate_gross_mae,critic_amp_scale,actor_amp_scale,stage,episode,step,pass
100,0.012018626555800438,0.07290580123662949,-0.08358200639486313,-0.0788826048374176,-0.0866679698228836,0.01764589548110962,0.03872274234890938,0.08788841962814331,0.026896797120571136,0.09897153079509735,1.1471118927001953,0.0,1.0494858026504517,0.24927879869937897,1.1245720088481903e-07,1.0,1.0,pretrain,10,11,
200,0.009388682432472706,0.06460537761449814,-0.08683284372091293,-0.08081446588039398,-0.09324359148740768,0.016778308898210526,0.07042332738637924,0.14361721277236938,0.029938673600554466,0.10340730100870132,1.1393767595291138,0.0,1.051703691482544,0.2857069969177246,1.1408701539039612e-07,1.0,1.0,pretrain,14,15,
300,0.01283120084553957,0.06081121042370796,-0.08453771471977234,-0.07970482856035233,-0.10495186597108841,0.016638675704598427,0.20999665558338165,0.2792797386646271,0.02628043293952942,0.11115266382694244,1.1281242370605469,0.0,1.0555763244628906,0.31465139985084534,1.0675285011529922e-07,1.0,1.0,pretrain,18,19,
400,0.007965239696204662,0.09275571256875992,-0.11961579322814941,-0.1176215410232544,-0.09541808068752289,0.015940185636281967,0.2550387978553772,0.2501565217971802,0.028430813923478127,0.1208718866109848,1.1161776781082153,0.0,1.0604360103607178,0.33785587549209595,1.0221265256404877e-07,1.0,1.0,pretrain,22,23,
500,0.005683880764991045,0.06762923300266266,-0.08879733830690384,-0.093718022108078,-0.10656343400478363,0.019012581557035446,0.18812493979930878,0.1379440873861313,0.025849474593997,0.13270330429077148,1.104319453239441,0.0,1.0663516521453857,0.35079818964004517,1.1606607586145401e-07,1.0,1.0,pretrain,27,3,
600,0.0051676505245268345,0.07659706473350525,-0.10700047016143799,-0.10592057555913925,-0.10269621759653091,0.01772400736808777,0.06504640728235245,0.0642131045460701,0.0245809368789196,0.14758005738258362,1.0922108888626099,0.0,1.0737900733947754,0.36002880334854126,1.0174699127674103e-07,1.0,1.0,pretrain,31,7,
700,0.006224778946489096,0.08552592247724533,-0.10526047646999359,-0.10940894484519958,-0.10636116564273834,0.020589163526892662,0.030983489006757736,0.04123876243829727,0.020856400951743126,0.16718736290931702,1.0793259143829346,0.0,1.0835936069488525,0.3681589365005493,1.0826624929904938e-07,1.0,1.0,pretrain,35,11,
800,0.005264678038656712,0.08513480424880981,-0.10375455021858215,-0.11000120639801025,-0.10641966015100479,0.020045801997184753,0.04426448419690132,0.05510399118065834,0.020165415480732918,0.1909308284521103,1.0680086612701416,0.0,1.0954654216766357,0.3721182346343994,1.1210795491933823e-07,1.0,1.0,pretrain,39,15,
900,0.0034257906954735518,0.07095278054475784,-0.09725216031074524,-0.0974215716123581,-0.09217600524425507,0.019791197031736374,0.06546946614980698,0.07370596379041672,0.019108140841126442,0.22064721584320068,1.0565688610076904,0.0,1.1103236675262451,0.3738177716732025,1.153675839304924e-07,1.0,1.0,pretrain,43,19,
1000,0.004568213596940041,0.07257382571697235,-0.09392327815294266,-0.09625641256570816,-0.101473867893219,0.017214525490999222,0.09538879245519638,0.0699465349316597,0.017912302166223526,0.25674203038215637,1.0472766160964966,0.0,1.128371000289917,0.3730143904685974,1.1455267667770386e-07,1.0,1.0,pretrain,47,23,
