"stage","pass","position","original_episode"
"selection_fit",1,1,3
"selection_fit",1,2,18
"selection_fit",1,3,6
"selection_fit",1,4,10
"selection_fit",1,5,15
"selection_fit",1,6,4
"selection_fit",1,7,14
"selection_fit",1,8,8
"selection_fit",1,9,11
"selection_fit",1,10,13
"selection_fit",1,11,16
"selection_fit",1,12,2
"selection_fit",1,13,12
"selection_fit",1,14,7
"selection_fit",1,15,1
"selection_fit",1,16,9
"selection_fit",1,17,5
"selection_fit",1,18,17
"all_history_refit",1,1,33
"all_history_refit",1,2,29
"all_history_refit",1,3,16
"all_history_refit",1,4,30
"all_history_refit",1,5,3
"all_history_refit",1,6,13
"all_history_refit",1,7,1
"all_history_refit",1,8,40
"all_history_refit",1,9,18
"all_history_refit",1,10,38
"all_history_refit",1,11,31
"all_history_refit",1,12,25
"all_history_refit",1,13,41
"all_history_refit",1,14,8
"all_history_refit",1,15,10
"all_history_refit",1,16,17
"all_history_refit",1,17,32
"all_history_refit",1,18,42
"all_history_refit",1,19,15
"all_history_refit",1,20,4
"all_history_refit",1,21,26
"all_history_refit",1,22,5
"all_history_refit",1,23,22
"all_history_refit",1,24,27
"all_history_refit",1,25,37
"all_history_refit",1,26,2
"all_history_refit",1,27,24
"all_history_refit",1,28,36
"all_history_refit",1,29,19
"all_history_refit",1,30,39
"all_history_refit",1,31,6
"all_history_refit",1,32,12
"all_history_refit",1,33,11
"all_history_refit",1,34,35
"all_history_refit",1,35,9
"all_history_refit",1,36,14
"all_history_refit",1,37,23
"all_history_refit",1,38,28
"all_history_refit",1,39,20
"all_history_refit",1,40,34
"all_history_refit",1,41,7
"all_history_refit",1,42,21
