update,critic_loss,actor_loss,q1_mean,q2_mean,target_q_mean,twin_q_gap,critic_grad_norm,critic2_grad_norm,actor_grad_norm,actor_mean_leverage_gate,actor_mean_direction_entropy,actor_leverage_penalty,actor_mean_gross_exposure,actor_mean_max_abs_weight,actor_gate_gross_mae,critic_amp_scale,actor_amp_scale,stage,episode,step,pass
100,0.005347136408090591,0.1820966899394989,-0.1811501681804657,-0.1823834478855133,-0.18036381900310516,0.021542884409427643,0.018728693947196007,0.023860210552811623,0.00931009091436863,0.09774141758680344,1.1493043899536133,0.0,1.0488708019256592,0.2359006702899933,1.0523945093154907e-07,1.0,1.0,pretrain,10,11,
200,0.003370732069015503,0.16804568469524384,-0.17893540859222412,-0.17225512862205505,-0.17742492258548737,0.01800249144434929,0.021863151341676712,0.055392488837242126,0.015328923240303993,0.09617646038532257,1.149473786354065,0.0,1.0480881929397583,0.2240941822528839,1.1170050129294395e-07,1.0,1.0,pretrain,14,15,
300,0.003863107180222869,0.16608402132987976,-0.174190491437912,-0.18156975507736206,-0.17976030707359314,0.0201861672103405,0.05207134410738945,0.024438221007585526,0.014836158603429794,0.09892091155052185,1.14902925491333,0.0,1.0494604110717773,0.23361875116825104,9.854556992650032e-08,1.0,1.0,pretrain,18,19,
400,0.0044863419607281685,0.15645021200180054,-0.16435430943965912,-0.17774592339992523,-0.1701059341430664,0.018786955624818802,0.05645544454455376,0.07858224213123322,0.013907245360314846,0.10268425941467285,1.142192006111145,0.0,1.0513421297073364,0.28078117966651917,1.2048985809087753e-07,1.0,1.0,pretrain,22,23,
500,0.003481803461909294,0.15108099579811096,-0.16276749968528748,-0.16297760605812073,-0.16425985097885132,0.01589352637529373,0.021415892988443375,0.021529456600546837,0.014089984819293022,0.10827597230672836,1.1316280364990234,0.0,1.054137945175171,0.321466326713562,1.1606607586145401e-07,1.0,1.0,pretrain,27,3,
600,0.003576597198843956,0.15365935862064362,-0.16841870546340942,-0.16192694008350372,-0.15951476991176605,0.019923461601138115,0.09093452244997025,0.031417883932590485,0.013589704409241676,0.11656657606363297,1.119473934173584,0.0,1.0582833290100098,0.35617291927337646,1.2532109394669533e-07,1.0,1.0,pretrain,31,7,
700,0.005010081920772791,0.134123295545578,-0.14910905063152313,-0.1555091142654419,-0.15035198628902435,0.01733224280178547,0.024507727473974228,0.057727277278900146,0.012716230936348438,0.12949571013450623,1.1053165197372437,0.0,1.0647478103637695,0.3887913227081299,1.1175870895385742e-07,1.0,1.0,pretrain,35,11,
800,0.004099870100617409,0.1456110179424286,-0.1580706536769867,-0.15546712279319763,-0.15843459963798523,0.015520375221967697,0.01688181422650814,0.03639955818653107,0.010861149057745934,0.14573928713798523,1.0919342041015625,0.0,1.0728696584701538,0.41151732206344604,1.1315569281578064e-07,1.0,1.0,pretrain,39,15,
900,0.004270629491657019,0.13981248438358307,-0.15275876224040985,-0.1530349999666214,-0.15391835570335388,0.016171054914593697,0.023049846291542053,0.024172574281692505,0.011335670948028564,0.1653696894645691,1.0779763460159302,0.0,1.082684874534607,0.4272002875804901,1.130392774939537e-07,1.0,1.0,pretrain,43,19,
1000,0.005121677182614803,0.13909436762332916,-0.15379565954208374,-0.1492329239845276,-0.1479145586490631,0.016032930463552475,0.06268691271543503,0.02984827570617199,0.01119988039135933,0.18921217322349548,1.063301920890808,0.0,1.0946061611175537,0.43713143467903137,1.2130476534366608e-07,1.0,1.0,pretrain,47,23,
1100,0.003308133687824011,0.12805283069610596,-0.1416292041540146,-0.14308764040470123,-0.14643347263336182,0.014413276687264442,0.052512843161821365,0.0383840911090374,0.01156205777078867,0.21498069167137146,1.0468902587890625,0.0,1.1074903011322021,0.4410446882247925,1.1711381375789642e-07,1.0,1.0,pretrain,52,3,
