"asset_i","asset_j","historical_correlation","synthetic_correlation","absolute_error","historical_ci_lower","historical_ci_upper","pass_correlation","synthetic_ci_lower","synthetic_ci_upper","intervals_overlap","correlation_guardrail_pass","statistically_compatible"
"SP500","NASDAQ",0.94754547018365,0.920252692322396,0.0272927778612541,0.921534034515627,0.966400812393149,TRUE,0.917900144170523,0.922512259166,TRUE,TRUE,TRUE
"SP500","DOW",0.958857187158834,0.951808903158569,0.00704828400026536,0.934760775836397,0.975689794158352,TRUE,0.950020144826238,0.953581426125392,TRUE,TRUE,TRUE
"SP500","SSE50",0.367460457570514,0.435529644919684,0.0680691873491696,0.125388775980541,0.580947979479643,TRUE,0.421650610333095,0.447656486201654,TRUE,TRUE,TRUE
"SP500","DIVIDEND",0.355538521867239,0.418298385740923,0.0627598638736842,0.185507431294905,0.523040834187592,TRUE,0.404267416942839,0.430298565185204,TRUE,TRUE,TRUE
"SP500","CHINEXT",0.310527109777983,0.266876961694375,0.0436501480836083,0.11927627641019,0.466979972706019,TRUE,0.252575358711811,0.280651479358113,TRUE,TRUE,TRUE
"SP500","GOLD",-0.0945130657729546,-0.118665835429553,0.0241527696565979,-0.247616257922497,0.0725946874238332,TRUE,-0.131679842544121,-0.106513383406219,TRUE,TRUE,TRUE
"NASDAQ","DOW",0.849374846852101,0.869499256408826,0.0201244095567246,0.781924360100644,0.901441538027495,TRUE,0.865948550212315,0.872893851162085,TRUE,TRUE,TRUE
"NASDAQ","SSE50",0.395402146191632,0.450615793276157,0.055213647084525,0.151701538789276,0.615320089061537,TRUE,0.437369624103108,0.462233822436124,TRUE,TRUE,TRUE
"NASDAQ","DIVIDEND",0.354627268056299,0.400548447695464,0.0459211796391653,0.188136328715899,0.517460256770822,TRUE,0.386700691201046,0.411875906321274,TRUE,TRUE,TRUE
"NASDAQ","CHINEXT",0.371489815175858,0.338551227931089,0.0329385872447687,0.196205925693446,0.539091264778286,TRUE,0.324645954194568,0.351114509180331,TRUE,TRUE,TRUE
"NASDAQ","GOLD",-0.128146652148146,-0.0966538151428148,0.0314928370053313,-0.294728666836011,0.0463870122803466,TRUE,-0.108844461770239,-0.0852830025229189,TRUE,TRUE,TRUE
"DOW","SSE50",0.35985659444925,0.467247030817635,0.107390436368385,0.120972158892902,0.599306428194575,FALSE,0.453416258543367,0.479850842118022,TRUE,TRUE,TRUE
"DOW","DIVIDEND",0.350183661096052,0.437575339342346,0.0873916782462938,0.155205123734028,0.53691779832711,TRUE,0.423888125534543,0.449446398495797,TRUE,TRUE,TRUE
"DOW","CHINEXT",0.264610646374608,0.26447797222844,0.000132674146168521,0.0798169416200098,0.43513789993016,TRUE,0.250416342820638,0.278014977255124,TRUE,TRUE,TRUE
"DOW","GOLD",-0.109263188231608,-0.108831854896607,0.000431333335000755,-0.266956431657947,0.0381887111284691,TRUE,-0.121598204659694,-0.0964605645687652,TRUE,TRUE,TRUE
"SSE50","DIVIDEND",0.762041757991439,0.822298056157607,0.0602562981661686,0.545373102210518,0.886121121234276,TRUE,0.814644941762337,0.829202274382483,TRUE,TRUE,TRUE
"SSE50","CHINEXT",0.645836991619999,0.504309079076695,0.141527912543304,0.452683267760181,0.77272737185035,FALSE,0.491202736940797,0.517132579958266,TRUE,TRUE,TRUE
"SSE50","GOLD",-0.00892521527788909,0.0196314457835834,0.0285566610614725,-0.216467642500979,0.193081178779602,TRUE,0.00790302606820911,0.0312635117630319,TRUE,TRUE,TRUE
"DIVIDEND","CHINEXT",0.541535632776347,0.405814132482254,0.135721500294093,0.187981385389793,0.714528392320305,FALSE,0.392078829929709,0.420823372219592,TRUE,TRUE,TRUE
"DIVIDEND","GOLD",-0.128871433580629,-0.0981503024070474,0.0307211311735814,-0.297381498477856,0.08573280461047,TRUE,-0.110459101576523,-0.0869898111542118,TRUE,TRUE,TRUE
"CHINEXT","GOLD",-0.0353528282164717,0.0316312886596392,0.0669841168761109,-0.25695743303373,0.210155521500385,TRUE,0.0207155211200937,0.043954641464729,TRUE,TRUE,TRUE
