update,critic_loss,actor_loss,q1_mean,q2_mean,target_q_mean,twin_q_gap,critic_grad_norm,critic2_grad_norm,actor_grad_norm,actor_mean_leverage_gate,actor_mean_direction_entropy,actor_leverage_penalty,actor_mean_gross_exposure,actor_mean_max_abs_weight,actor_gate_gross_mae,critic_amp_scale,actor_amp_scale,stage,episode,step,pass
100,0.0018699637148529291,-0.06506108492612839,0.05793685093522072,0.051528483629226685,0.05453326553106308,0.012365712784230709,0.03376530483365059,0.04130269214510918,0.010641581378877163,0.10171964019536972,1.1504533290863037,0.0,1.0508599281311035,0.2246820330619812,1.1123484000563622e-07,1.0,1.0,pretrain,10,11,
200,0.002730489708483219,-0.056566908955574036,0.05488330125808716,0.05633380636572838,0.051223598420619965,0.01221464667469263,0.035610780119895935,0.0635560005903244,0.00899180956184864,0.10344040393829346,1.1481773853302002,0.0,1.051720142364502,0.2372027039527893,1.0908115655183792e-07,1.0,1.0,pretrain,14,15,
300,0.0018284437246620655,-0.05369897931814194,0.05053563788533211,0.04717453941702843,0.04747263342142105,0.011530166491866112,0.029557596892118454,0.00998468417674303,0.006687063258141279,0.10586023330688477,1.1439027786254883,0.0,1.0529301166534424,0.2464381903409958,1.1129304766654968e-07,1.0,1.0,pretrain,18,19,
400,0.0022646142169833183,-0.05868802219629288,0.048970796167850494,0.057375192642211914,0.04943855106830597,0.015021846629679203,0.013217826373875141,0.09657590836286545,0.0030686247628182173,0.11074903607368469,1.1408390998840332,0.0,1.0553745031356812,0.24881091713905334,1.0844087228178978e-07,1.0,1.0,pretrain,22,23,
500,0.0022114492021501064,-0.050110138952732086,0.042860373854637146,0.04260571673512459,0.044534832239151,0.009600688703358173,0.02047615870833397,0.02598441205918789,0.0074336645193398,0.11835744976997375,1.144396185874939,0.0,1.0591787099838257,0.24230706691741943,1.1397060006856918e-07,1.0,1.0,pretrain,27,3,
600,0.002634194679558277,-0.050909485667943954,0.03694372624158859,0.04943368583917618,0.041729871183633804,0.015663759782910347,0.051413290202617645,0.0888235941529274,0.009595639072358608,0.12094555050134659,1.1455695629119873,0.0,1.060472846031189,0.23897185921669006,1.1996598914265633e-07,1.0,1.0,pretrain,31,7,
700,0.003039870411157608,-0.05071892589330673,0.04941416531801224,0.05281984061002731,0.04151412844657898,0.012309802696108818,0.0737454891204834,0.12644964456558228,0.00883328728377819,0.12456057965755463,1.1404751539230347,0.0,1.062280297279358,0.2581844627857208,1.0692747309803963e-07,1.0,1.0,pretrain,35,11,
800,0.0018844183068722486,-0.05444600433111191,0.04322011396288872,0.038043007254600525,0.045175425708293915,0.014577364549040794,0.027534551918506622,0.0801396295428276,0.005670071113854647,0.13410715758800507,1.1345940828323364,0.0,1.0670535564422607,0.27210211753845215,1.2188684195280075e-07,1.0,1.0,pretrain,39,15,
900,0.0029954141937196255,-0.061906103044748306,0.054084502160549164,0.049126867204904556,0.04360193759202957,0.012869940139353275,0.0988130122423172,0.06459798663854599,0.004993840120732784,0.14830587804317474,1.1332612037658691,0.0,1.074152946472168,0.27083447575569153,1.1513475328683853e-07,1.0,1.0,pretrain,43,19,
1000,0.00239238771609962,-0.07050637900829315,0.055708225816488266,0.05512715131044388,0.047683440148830414,0.010432949289679527,0.0778736099600792,0.088004469871521,0.00514270318672061,0.16345173120498657,1.137287974357605,0.0,1.0817259550094604,0.27934080362319946,1.0617077350616455e-07,1.0,1.0,pretrain,47,23,
