stage,pass,episode,reward,noise,terminal_wealth,mean_turnover,q95_turnover,mean_cvar,mean_gross_exposure,fraction_at_gross_cap,mean_short_notional,max_abs_weight,mean_leverage_gate,q95_leverage_gate,std_leverage_gate,mean_effective_leverage,gate_gross_mae,fraction_at_position_cap,mean_direction_entropy,total_actions,update_count
pretrain,,1,-0.026204530665510425,0.15,108072.90185586458,0.9050089875901385,1.5557610353721034,0.08408599919895592,1.2614445604073505,0.0,0.13072228020367524,0.4538889527320862,0.5228891136745611,0.7472550004720687,0.17763445856895194,0.522889120814701,4.501392440274069e-08,0.0,1.1344416340192158,24,0
pretrain,,2,-0.17148964463724461,0.1497,93690.28517440392,0.9963475096793402,1.4217576710241182,0.08678593576308002,1.2342539220893134,0.0,0.11712696104465675,0.399964479463441,0.4685078194985787,0.762583264708519,0.20632240607415234,0.46850784417862684,5.483716018310029e-08,0.0,1.1334456006685893,48,0
pretrain,,3,0.24870075097570443,0.1494006,153321.34979814026,1.0337180394812353,1.4661877498030662,0.08256196860783603,1.261101465250942,0.0,0.130550732625471,0.4143129736185074,0.5222029077510039,0.8527774542570112,0.20545687348382274,0.5222029305018839,6.089075688109347e-08,0.0,1.13101031879584,72,0
pretrain,,4,-0.619617294702619,0.1491017988,66152.63048545893,1.1590108702602309,1.5097854135291917,0.0899680074688648,1.2466235192758697,0.0,0.12331175963793484,0.3963267856410571,0.49324703216552734,0.8228812426328659,0.24751197315692605,0.4932470385517393,4.66548261505532e-08,0.0,1.1270069181919098,96,0
pretrain,,5,-0.042814151965257244,0.1488035952024,106714.21296724006,1.0189810670091815,1.4019144241964179,0.08810987765313001,1.2514796601497524,0.0,0.1257398300748762,0.3805638759263924,0.5029592989012599,0.8836949586868283,0.22815667916576793,0.5029593202995047,4.725353347501127e-08,0.0,1.1293449848890305,120,0
pretrain,,6,-0.04712091677840203,0.1485059880119952,106117.11340108854,1.0581828641394775,1.4515755646995137,0.08730487095897761,1.258680232268359,0.0,0.1293401161341795,0.4016040808388165,0.5173604264855385,0.8259933471679688,0.19372539150627707,0.5173604645367179,5.854027616362482e-08,0.0,1.1311932404836018,144,17
pretrain,,7,0.20746624454912085,0.14820897603597122,144080.43262278667,1.1244649285273183,1.5504860259060347,0.0820641527284469,1.2832575984343533,0.0,0.1416287992171766,0.3847719388348716,0.5665151843180259,0.8222453385591506,0.18231514406775623,0.5665151968687062,4.4126950575022285e-08,0.0,1.1278952757517497,168,41
pretrain,,8,0.06703478713791979,0.14791255808389928,120502.18119449934,1.0785288782790303,1.4813613164371677,0.08592059638334981,1.2403217419937607,0.0,0.1201608709968804,0.4187693524041346,0.4806434599061807,0.8166419029235837,0.20356147712904266,0.48064348398752155,5.4149755383351796e-08,0.0,1.1273096253474553,192,65
pretrain,,9,0.10533050118899867,0.14761673296773145,125756.3574120916,1.0902838255943996,1.5155548163822719,0.08290089341287293,1.286739379256254,0.0,0.1433696896281271,0.42738322275025503,0.5734787431235114,0.8688575625419617,0.2419377363213969,0.5734787585125082,4.572350352042657e-08,0.0,1.12844051917394,216,89
pretrain,,10,0.08064730092450692,0.14732149950179602,121767.98661895662,1.0448383988058636,1.4724314439509594,0.08176565594722505,1.260933753502156,0.0,0.13046687675107804,0.40466243401169777,0.5218674782663584,0.7582838058471679,0.16274305278126164,0.5218675070043121,6.634564627313229e-08,0.0,1.130608116587003,240,113
