update,critic_loss,actor_loss,q1_mean,q2_mean,target_q_mean,twin_q_gap,critic_grad_norm,critic2_grad_norm,actor_grad_norm,actor_mean_leverage_gate,actor_mean_direction_entropy,actor_leverage_penalty,actor_mean_gross_exposure,actor_mean_max_abs_weight,actor_gate_gross_mae,critic_amp_scale,actor_amp_scale,stage,episode,step,pass
100,0.008182409219443798,-0.02217026613652706,0.004834065213799477,0.007049819454550743,0.006681063678115606,0.030005065724253654,0.031452830880880356,0.01745668426156044,0.0381275899708271,0.1003631204366684,1.1494438648223877,0.0,1.05018150806427,0.22453714907169342,1.1862721294164658e-07,1.0,1.0,pretrain,10,11,
200,0.005756656639277935,-0.006847522221505642,-0.008419334888458252,0.004292605444788933,-0.002069571055471897,0.02621796540915966,0.094776451587677,0.05260133370757103,0.027729207649827003,0.10348314791917801,1.1467500925064087,0.0,1.051741600036621,0.2434115707874298,1.1525116860866547e-07,1.0,1.0,pretrain,14,15,
300,0.004418063908815384,-0.016160255298018456,-0.0006903468165546656,0.016591165214776993,0.008104353211820126,0.022157521918416023,0.11228028684854507,0.07483968883752823,0.023646755144000053,0.10716738551855087,1.141994595527649,0.0,1.0535837411880493,0.2588508129119873,1.1851079761981964e-07,1.0,1.0,pretrain,18,19,
400,0.0039862110279500484,-0.012303933501243591,0.008915925398468971,0.011330988258123398,0.005204858724027872,0.015975356101989746,0.058357372879981995,0.05446320399641991,0.018867988139390945,0.1120847761631012,1.1361693143844604,0.0,1.0560424327850342,0.2716241180896759,1.2450618669390678e-07,1.0,1.0,pretrain,22,23,
500,0.0025852739345282316,-0.029401469975709915,0.007814208045601845,0.010526598431169987,0.014788792468607426,0.015295819379389286,0.0928073525428772,0.03739139065146446,0.014735020697116852,0.11805751174688339,1.1304876804351807,0.0,1.0590287446975708,0.2846253216266632,1.2246891856193542e-07,1.0,1.0,pretrain,27,3,
600,0.0033387651201337576,-0.029738526791334152,0.016847945749759674,0.01700088009238243,0.01573241874575615,0.017344020307064056,0.01795368269085884,0.01684029959142208,0.010670537129044533,0.12413967400789261,1.1262776851654053,0.0,1.0620698928833008,0.296358585357666,1.1024530977010727e-07,1.0,1.0,pretrain,31,7,
700,0.00413737166672945,-0.01866503804922104,0.003169612493366003,0.0036779846996068954,0.007459999527782202,0.015394722111523151,0.05760712921619415,0.03715832903981209,0.010217743925750256,0.1300266534090042,1.1231865882873535,0.0,1.0650134086608887,0.30858778953552246,1.1164229363203049e-07,1.0,1.0,pretrain,35,11,
800,0.0021109983790665865,-0.027900226414203644,0.015088016167283058,0.018458586186170578,0.018086303025484085,0.01489665824919939,0.03366827964782715,0.014609661884605885,0.008692038245499134,0.1364433467388153,1.1204800605773926,0.0,1.0682215690612793,0.32494136691093445,1.1292286217212677e-07,1.0,1.0,pretrain,39,15,
900,0.00270808394998312,-0.030242282897233963,0.01898234337568283,0.015912286937236786,0.017010005190968513,0.012118327431380749,0.02968727983534336,0.018511831760406494,0.00792793370783329,0.1441979855298996,1.1192628145217896,0.0,1.072098970413208,0.3408530056476593,1.1152587831020355e-07,1.0,1.0,pretrain,43,19,
1000,0.002821702044457197,-0.013497692532837391,0.00738956592977047,0.015002209693193436,0.009647872298955917,0.013517415151000023,0.03580590337514877,0.047386668622493744,0.007815316319465637,0.15411362051963806,1.1179797649383545,0.0,1.077056884765625,0.35581085085868835,1.2165401130914688e-07,1.0,1.0,pretrain,47,23,
1100,0.0026885014958679676,-0.012599876150488853,0.0026345523074269295,0.012094460427761078,0.011790242046117783,0.014489822089672089,0.1047096699476242,0.012591387145221233,0.007645546458661556,0.16492751240730286,1.1168034076690674,0.0,1.0824638605117798,0.36648091673851013,1.050066202878952e-07,1.0,1.0,pretrain,52,3,
1200,0.003188755828887224,-0.020584551617503166,0.012048722244799137,0.012800348922610283,0.015963003039360046,0.012331586331129074,0.04527296870946884,0.03130290284752846,0.007569871377199888,0.1756041795015335,1.114776849746704,0.0,1.0878020524978638,0.37312883138656616,1.1513475328683853e-07,1.0,1.0,pretrain,56,7,
1300,0.0033298740163445473,-0.007053734734654427,0.0039895703084766865,0.007525470107793808,0.004226746968924999,0.01184005755931139,0.03551238030195236,0.03583872318267822,0.008456462062895298,0.18414124846458435,1.1124637126922607,0.0,1.0920705795288086,0.37022197246551514,1.1117663234472275e-07,1.0,1.0,pretrain,60,11,
1400,0.0023865681141614914,-0.018711453303694725,0.010575130581855774,0.012854386121034622,0.016153894364833832,0.010972386226058006,0.06976911425590515,0.031144147738814354,0.006449291482567787,0.1940491795539856,1.1077501773834229,0.0,1.0970245599746704,0.3588417172431946,1.0093208402395248e-07,1.0,1.0,pretrain,64,15,
