"stage","pass","position","original_episode"
"selection_fit",1,1,33
"selection_fit",1,2,35
"selection_fit",1,3,27
"selection_fit",1,4,20
"selection_fit",1,5,21
"selection_fit",1,6,32
"selection_fit",1,7,2
"selection_fit",1,8,15
"selection_fit",1,9,16
"selection_fit",1,10,34
"selection_fit",1,11,14
"selection_fit",1,12,28
"selection_fit",1,13,25
"selection_fit",1,14,13
"selection_fit",1,15,12
"selection_fit",1,16,1
"selection_fit",1,17,11
"selection_fit",1,18,4
"selection_fit",1,19,37
"selection_fit",1,20,3
"selection_fit",1,21,26
"selection_fit",1,22,29
"selection_fit",1,23,6
"selection_fit",1,24,36
"selection_fit",1,25,8
"selection_fit",1,26,31
"selection_fit",1,27,22
"selection_fit",1,28,7
"selection_fit",1,29,9
"selection_fit",1,30,23
"selection_fit",1,31,30
"selection_fit",1,32,19
"selection_fit",1,33,24
"selection_fit",1,34,18
"selection_fit",1,35,10
"selection_fit",1,36,17
"selection_fit",1,37,5
"all_history_refit",1,1,51
"all_history_refit",1,2,1
"all_history_refit",1,3,21
"all_history_refit",1,4,7
"all_history_refit",1,5,30
"all_history_refit",1,6,35
"all_history_refit",1,7,25
"all_history_refit",1,8,33
"all_history_refit",1,9,15
"all_history_refit",1,10,27
"all_history_refit",1,11,49
"all_history_refit",1,12,4
"all_history_refit",1,13,16
"all_history_refit",1,14,47
"all_history_refit",1,15,8
"all_history_refit",1,16,38
"all_history_refit",1,17,5
"all_history_refit",1,18,17
"all_history_refit",1,19,42
"all_history_refit",1,20,6
"all_history_refit",1,21,14
"all_history_refit",1,22,32
"all_history_refit",1,23,28
"all_history_refit",1,24,50
"all_history_refit",1,25,57
"all_history_refit",1,26,52
"all_history_refit",1,27,11
"all_history_refit",1,28,13
"all_history_refit",1,29,31
"all_history_refit",1,30,9
"all_history_refit",1,31,26
"all_history_refit",1,32,3
"all_history_refit",1,33,55
"all_history_refit",1,34,53
"all_history_refit",1,35,39
"all_history_refit",1,36,43
"all_history_refit",1,37,24
"all_history_refit",1,38,58
"all_history_refit",1,39,34
"all_history_refit",1,40,44
"all_history_refit",1,41,56
"all_history_refit",1,42,46
"all_history_refit",1,43,37
"all_history_refit",1,44,45
"all_history_refit",1,45,12
"all_history_refit",1,46,36
"all_history_refit",1,47,19
"all_history_refit",1,48,22
"all_history_refit",1,49,10
"all_history_refit",1,50,41
"all_history_refit",1,51,48
"all_history_refit",1,52,18
"all_history_refit",1,53,23
"all_history_refit",1,54,40
"all_history_refit",1,55,54
"all_history_refit",1,56,29
"all_history_refit",1,57,60
"all_history_refit",1,58,2
"all_history_refit",1,59,59
"all_history_refit",1,60,20
"all_history_refit",1,61,61
