update,critic_loss,actor_loss,q1_mean,q2_mean,target_q_mean,twin_q_gap,critic_grad_norm,critic2_grad_norm,actor_grad_norm,actor_mean_leverage_gate,actor_mean_direction_entropy,actor_leverage_penalty,actor_mean_gross_exposure,actor_mean_max_abs_weight,actor_gate_gross_mae,critic_amp_scale,actor_amp_scale,stage,episode,step,pass
100,0.006892323028296232,0.1824139952659607,-0.19347696006298065,-0.17892079055309296,-0.18665194511413574,0.025017406791448593,0.06885789334774017,0.06608599424362183,0.033606939017772675,0.09897030889987946,1.1491767168045044,0.0,1.049485206604004,0.24152973294258118,1.1880183592438698e-07,1.0,1.0,pretrain,10,11,
200,0.007610142230987549,0.17011842131614685,-0.18570096790790558,-0.19041769206523895,-0.18012267351150513,0.021521758288145065,0.05614343658089638,0.10134942084550858,0.026511037722229958,0.09938454627990723,1.1438333988189697,0.0,1.0496923923492432,0.27776211500167847,1.1589145287871361e-07,1.0,1.0,pretrain,14,15,
300,0.004359720274806023,0.16611382365226746,-0.18032234907150269,-0.1815090775489807,-0.1789441704750061,0.01662561297416687,0.0239902101457119,0.025554761290550232,0.018930256366729736,0.10489195585250854,1.1376315355300903,0.0,1.0524460077285767,0.30455273389816284,1.1763768270611763e-07,1.0,1.0,pretrain,18,19,
400,0.003359051188454032,0.15981605648994446,-0.17116522789001465,-0.17698800563812256,-0.17641812562942505,0.016104279085993767,0.05695684626698494,0.01345963403582573,0.013720868155360222,0.11155999451875687,1.1316051483154297,0.0,1.0557799339294434,0.3233221769332886,1.078587956726551e-07,1.0,1.0,pretrain,22,23,
500,0.0044386498630046844,0.1533779352903366,-0.17635279893875122,-0.16571062803268433,-0.16843777894973755,0.017295371741056442,0.08136946707963943,0.02615177258849144,0.01332162320613861,0.11986149847507477,1.1253490447998047,0.0,1.059930682182312,0.33818861842155457,1.04482751339674e-07,1.0,1.0,pretrain,27,3,
600,0.0032798643223941326,0.1513565331697464,-0.15935266017913818,-0.1598477065563202,-0.17256850004196167,0.01272573322057724,0.13481920957565308,0.1227475106716156,0.009767474606633186,0.13009685277938843,1.1196129322052002,0.0,1.0650484561920166,0.3481188714504242,1.1851079761981964e-07,1.0,1.0,pretrain,31,7,
700,0.0031833439134061337,0.1472657471895218,-0.1613273024559021,-0.16133280098438263,-0.16216608881950378,0.01457243598997593,0.02098553627729416,0.01876051537692547,0.008865846320986748,0.14332541823387146,1.113363265991211,0.0,1.0716626644134521,0.35679006576538086,1.1618249118328094e-07,1.0,1.0,pretrain,35,11,
800,0.004044698551297188,0.1487627923488617,-0.16750916838645935,-0.1644764244556427,-0.15838202834129333,0.012442328035831451,0.10069720447063446,0.06497190147638321,0.009614110924303532,0.15855175256729126,1.1106725931167603,0.0,1.0792758464813232,0.35447829961776733,1.1408701539039612e-07,1.0,1.0,pretrain,39,15,
900,0.004783790558576584,0.14606843888759613,-0.15935057401657104,-0.15646126866340637,-0.15699955821037292,0.01394452340900898,0.03214157372713089,0.019470829516649246,0.010791231878101826,0.17970189452171326,1.110316514968872,0.0,1.089850902557373,0.3371807932853699,1.023290678858757e-07,1.0,1.0,pretrain,43,19,
1000,0.004152810201048851,0.13855858147144318,-0.15173448622226715,-0.1542780101299286,-0.15248960256576538,0.016041181981563568,0.023183660581707954,0.026057759299874306,0.014720294624567032,0.2052670121192932,1.1133471727371216,0.0,1.1026334762573242,0.30928438901901245,1.2444797903299332e-07,1.0,1.0,pretrain,47,23,
1100,0.0037189004942774773,0.14088450372219086,-0.15882882475852966,-0.14747026562690735,-0.14874431490898132,0.01704275608062744,0.11865489929914474,0.028460102155804634,0.01396426372230053,0.2350376546382904,1.1120710372924805,0.0,1.1175189018249512,0.3376080393791199,1.0861549526453018e-07,1.0,1.0,pretrain,52,3,
1200,0.005211124196648598,0.12255547940731049,-0.13443022966384888,-0.14264872670173645,-0.14451472461223602,0.01604321412742138,0.1107039824128151,0.03200368955731392,0.017642168328166008,0.2685049772262573,1.1047309637069702,0.0,1.1342524290084839,0.36569762229919434,1.0011717677116394e-07,1.0,1.0,pretrain,56,7,
1300,0.00405251607298851,0.13175860047340393,-0.1453535258769989,-0.14458772540092468,-0.1512708216905594,0.016306940466165543,0.06661111116409302,0.0682963877916336,0.017782635986804962,0.3076964020729065,1.0934967994689941,0.0,1.1538481712341309,0.39195942878723145,1.203734427690506e-07,1.0,1.0,pretrain,60,11,
1400,0.0028295840602368116,0.13056454062461853,-0.14617176353931427,-0.15135031938552856,-0.14201229810714722,0.016245150938630104,0.05426304042339325,0.0975886806845665,0.019409822300076485,0.3542279601097107,1.0794750452041626,0.0,1.1771140098571777,0.41141772270202637,1.2712553143501282e-07,1.0,1.0,pretrain,64,15,
1500,0.0024524428881704807,0.12701913714408875,-0.13846874237060547,-0.13992536067962646,-0.1449173092842102,0.014237518422305584,0.06531331688165665,0.05141565576195717,0.018414080142974854,0.40929117798805237,1.0641875267028809,0.0,1.2046456336975098,0.4271785020828247,1.1059455573558807e-07,1.0,1.0,pretrain,68,19,
1600,0.00313814589753747,0.11760538071393967,-0.13389620184898376,-0.1365911364555359,-0.13426566123962402,0.012573213316500187,0.02070126309990883,0.03624587878584862,0.02055218070745468,0.47714734077453613,1.0480246543884277,0.0,1.238573670387268,0.4424804449081421,1.1385418474674225e-07,1.0,1.0,pretrain,72,23,
1700,0.003952362574636936,0.12166831642389297,-0.13890516757965088,-0.1378595530986786,-0.13723894953727722,0.014901960268616676,0.03674621507525444,0.035942770540714264,0.018984869122505188,0.550358772277832,1.0328272581100464,0.0,1.275179386138916,0.45760178565979004,1.1455267667770386e-07,1.0,1.0,pretrain,77,3,
1800,0.002862383145838976,0.12131404876708984,-0.1400042176246643,-0.14062733948230743,-0.1393437385559082,0.013311266899108887,0.022888680920004845,0.019789356738328934,0.018134552985429764,0.6211299300193787,1.0190420150756836,0.0,1.3105649948120117,0.47026824951171875,1.19674950838089e-07,1.0,1.0,pretrain,81,7,
1900,0.0027293385937809944,0.12533175945281982,-0.14343556761741638,-0.14255499839782715,-0.13130557537078857,0.01332046464085579,0.1340985894203186,0.12019355595111847,0.018074970692396164,0.6867029666900635,1.0068851709365845,0.0,1.3433514833450317,0.4796627163887024,1.2898817658424377e-07,1.0,1.0,pretrain,85,11,
2000,0.0024974618572741747,0.12258581072092056,-0.13541004061698914,-0.13347947597503662,-0.13414227962493896,0.015497444197535515,0.021484151482582092,0.020452657714486122,0.015868214890360832,0.7412848472595215,0.9966087341308594,0.0,1.3706424236297607,0.48696234822273254,1.3690441846847534e-07,1.0,1.0,pretrain,89,15,
2100,0.0027821706607937813,0.11370798200368881,-0.1264738142490387,-0.12583166360855103,-0.1273016333580017,0.013195479288697243,0.022001473233103752,0.019450366497039795,0.01366167888045311,0.7881370186805725,0.9880488514900208,0.0,1.3940684795379639,0.4933411478996277,1.3457611203193665e-07,1.0,1.0,pretrain,93,19,
