"stage","pass","position","original_episode"
"selection_fit",1,1,22
"selection_fit",1,2,5
"selection_fit",1,3,10
"selection_fit",1,4,24
"selection_fit",1,5,2
"selection_fit",1,6,21
"selection_fit",1,7,6
"selection_fit",1,8,26
"selection_fit",1,9,4
"selection_fit",1,10,19
"selection_fit",1,11,13
"selection_fit",1,12,1
"selection_fit",1,13,8
"selection_fit",1,14,37
"selection_fit",1,15,35
"selection_fit",1,16,16
"selection_fit",1,17,7
"selection_fit",1,18,11
"selection_fit",1,19,17
"selection_fit",1,20,25
"selection_fit",1,21,32
"selection_fit",1,22,9
"selection_fit",1,23,28
"selection_fit",1,24,12
"selection_fit",1,25,27
"selection_fit",1,26,20
"selection_fit",1,27,14
"selection_fit",1,28,15
"selection_fit",1,29,3
"selection_fit",1,30,23
"selection_fit",1,31,34
"selection_fit",1,32,33
"selection_fit",1,33,31
"selection_fit",1,34,36
"selection_fit",1,35,18
"selection_fit",1,36,29
"selection_fit",1,37,30
"all_history_refit",1,1,56
"all_history_refit",1,2,36
"all_history_refit",1,3,4
"all_history_refit",1,4,60
"all_history_refit",1,5,20
"all_history_refit",1,6,26
"all_history_refit",1,7,45
"all_history_refit",1,8,19
"all_history_refit",1,9,9
"all_history_refit",1,10,40
"all_history_refit",1,11,21
"all_history_refit",1,12,49
"all_history_refit",1,13,57
"all_history_refit",1,14,41
"all_history_refit",1,15,29
"all_history_refit",1,16,22
"all_history_refit",1,17,32
"all_history_refit",1,18,10
"all_history_refit",1,19,43
"all_history_refit",1,20,54
"all_history_refit",1,21,7
"all_history_refit",1,22,46
"all_history_refit",1,23,15
"all_history_refit",1,24,50
"all_history_refit",1,25,33
"all_history_refit",1,26,52
"all_history_refit",1,27,11
"all_history_refit",1,28,1
"all_history_refit",1,29,30
"all_history_refit",1,30,31
"all_history_refit",1,31,6
"all_history_refit",1,32,39
"all_history_refit",1,33,8
"all_history_refit",1,34,47
"all_history_refit",1,35,42
"all_history_refit",1,36,27
"all_history_refit",1,37,59
"all_history_refit",1,38,55
"all_history_refit",1,39,16
"all_history_refit",1,40,18
"all_history_refit",1,41,38
"all_history_refit",1,42,48
"all_history_refit",1,43,23
"all_history_refit",1,44,58
"all_history_refit",1,45,2
"all_history_refit",1,46,5
"all_history_refit",1,47,37
"all_history_refit",1,48,53
"all_history_refit",1,49,25
"all_history_refit",1,50,44
"all_history_refit",1,51,17
"all_history_refit",1,52,61
"all_history_refit",1,53,13
"all_history_refit",1,54,35
"all_history_refit",1,55,24
"all_history_refit",1,56,34
"all_history_refit",1,57,28
"all_history_refit",1,58,14
"all_history_refit",1,59,12
"all_history_refit",1,60,51
"all_history_refit",1,61,3
