stage,pass,episode,reward,noise,terminal_wealth,mean_turnover,q95_turnover,mean_cvar,mean_gross_exposure,fraction_at_gross_cap,mean_short_notional,max_abs_weight,mean_leverage_gate,q95_leverage_gate,std_leverage_gate,mean_effective_leverage,gate_gross_mae,fraction_at_position_cap,mean_direction_entropy,total_actions,update_count
pretrain,,1,0.09754138028884837,0.15,124989.65881254757,1.058039931417732,1.4171642102142181,0.08532702552972253,1.2372035724554389,0.0,0.11860178622771944,0.35473664317812237,0.4744071140885353,0.8796343058347699,0.2187912442572856,0.4744071449108776,5.822983524990851e-08,0.0,1.132954979936282,24,0
pretrain,,2,-0.11457102516207758,0.1497,98626.43607079158,1.0775261184084934,1.5257957133145208,0.08387007543274633,1.26919279480353,0.0,0.13459639740176502,0.42006257974675726,0.5383855607360601,0.8279584616422653,0.2028688252965055,0.53838558960706,4.9626188658447035e-08,0.0,1.1328438818454742,48,0
pretrain,,3,0.2927695792772625,0.1494006,165019.96449061183,1.1766622040865946,1.574747724264747,0.08436928104385555,1.2419549541747463,0.0,0.1209774770873732,0.36699454752462246,0.4839098605637749,0.8298915743827818,0.22615806319274082,0.48390990834949266,6.330776071890772e-08,0.0,1.1289722820123036,72,0
pretrain,,4,-0.47994188215534683,0.1491017988,72573.1864634014,1.1071908627736835,1.5470176000050315,0.08501875290160921,1.2556083643631566,0.0,0.12780418218157832,0.3802109605499676,0.5112167236705621,0.8709888756275176,0.24911652652646285,0.5112167287263133,5.029141902923584e-08,0.0,1.1307064294815063,96,0
pretrain,,5,-0.1577007302347794,0.1488035952024,95255.61983348722,0.9017853037062693,1.349201924471693,0.08991158612794009,1.203519014541858,0.0,0.10175950727092901,0.39779639031205855,0.4070380078628659,0.7353168159723281,0.2086827133926026,0.40703802908371595,4.144385458889251e-08,0.0,1.1317641337712605,120,0
pretrain,,6,-0.15591353316294623,0.1485059880119952,94822.53740304876,1.0490561087378893,1.5895174993970251,0.0844266079926413,1.2421322655087959,0.0,0.12106613275439791,0.36395077833107536,0.4842645153403282,0.7487203419208527,0.22658351958532041,0.48426453101759154,6.299731986070256e-08,0.0,1.135186453660329,144,17
pretrain,,7,0.2834127475102982,0.14820897603597122,160979.33447947344,1.1542199435247635,1.6413133285043642,0.07949125401675185,1.2380543127101624,0.0,0.11902715635508122,0.4084662784423147,0.4761085795859496,0.8398001313209532,0.22243364095268275,0.4761086254203249,6.446082678746023e-08,0.0,1.1275218178828557,168,41
pretrain,,8,-0.020252003601504358,0.14791255808389928,108526.7361778702,0.9620921924554753,1.361826441373849,0.0823500611270787,1.249166612945763,0.0,0.12458330647288157,0.419751943222114,0.4983331986392538,0.8409042119979857,0.2272975973141185,0.49833322589152623,5.638936441861494e-08,0.0,1.1301812380552292,192,65
pretrain,,9,0.07370716217305287,0.14761673296773145,121681.61771734564,1.0084029191596686,1.4314588064723561,0.08706334904466584,1.2598094528629666,0.0,0.12990472643148332,0.3606852835842541,0.5196188787619272,0.8213453322648999,0.177982649469938,0.5196189057259333,6.90065679598284e-08,0.0,1.1356675277153652,216,89
pretrain,,10,0.15766417415389442,0.14732149950179602,134348.27754398872,1.0188783898236216,1.4670733170416432,0.08166813124757386,1.257713110917913,0.0,0.12885655545895655,0.40910654461809565,0.5154262197514375,0.7898533999919891,0.18891942139462675,0.5154262218358262,5.4238452803131075e-08,0.0,1.1303144146998723,240,113
pretrain,,11,0.16243093156028934,0.1470268565027924,136490.93246144228,0.977343438187121,1.5063863487268465,0.08743305564909437,1.2374314885874764,0.0,0.11871574429373837,0.3991942831448146,0.47486296358207863,0.8144338816404342,0.24047431132986685,0.4748629771749533,6.104597731019605e-08,0.0,1.1271976977586746,264,137
pretrain,,12,0.06253023589242693,0.14673280278978681,118484.24660010771,1.0306411744683117,1.4302284771563838,0.07789642243922588,1.2182929494107764,0.0,0.10914647470538814,0.4066165323768343,0.4365858727445205,0.6561569541692732,0.18064363184410956,0.4365858988215527,5.5169775396250266e-08,0.0,1.1264563550551732,288,161
pretrain,,13,-0.6512343149666802,0.14643933718420726,64420.47913815344,1.0033721114382697,1.4448324110459643,0.08244409522120759,1.2445146617191356,0.0,0.1222573308595678,0.36187757817762234,0.4890292985364795,0.8174748301506042,0.2350284525389009,0.4890293234382712,5.612327230730685e-08,0.0,1.1336829861005147,312,185
pretrain,,14,-0.1773916212715017,0.14614645850983884,92619.90612124684,1.158055657797174,1.568436108860249,0.08142509359940826,1.283988969777489,0.0,0.14199448488874447,0.4108884281345776,0.5679778978228569,0.8892016291618348,0.24991976130373025,0.5679779395549779,5.255320238243636e-08,0.0,1.128028432528178,336,209
pretrain,,15,0.018783939583095058,0.14585416559281916,113188.41369620449,1.0528159014882512,1.4894219704963645,0.08144450633672033,1.2363122601028798,0.0,0.11815613005143992,0.38724295688526966,0.4726244977985819,0.8282984256744385,0.2532585615616151,0.4726245202057595,4.580111375348158e-08,0.0,1.1312041531006496,360,233
pretrain,,16,0.010983542150194025,0.14556245726163353,112722.78626367882,1.168412166718588,1.5238093172664948,0.08490364703636492,1.268970219307535,0.0,0.1344851096537674,0.41594178336007254,0.5379404226938883,0.8047631204128265,0.1858528774324606,0.5379404386150695,3.9603383776102653e-08,0.0,1.13011238972346,384,257
