update,critic_loss,actor_loss,q1_mean,q2_mean,target_q_mean,twin_q_gap,critic_grad_norm,critic2_grad_norm,actor_grad_norm,actor_mean_leverage_gate,actor_mean_direction_entropy,actor_leverage_penalty,actor_mean_gross_exposure,actor_mean_max_abs_weight,actor_gate_gross_mae,critic_amp_scale,actor_amp_scale,stage,episode,step,pass
100,0.011646782979369164,-0.29989224672317505,0.2914443016052246,0.29783952236175537,0.29891905188560486,0.018993178382515907,0.07211065292358398,0.018523186445236206,0.007957017980515957,0.09720976650714874,1.1494053602218628,0.0,1.048604965209961,0.2356949746608734,1.0523945093154907e-07,1.0,1.0,pretrain,10,11,
200,0.00533683504909277,-0.31121453642845154,0.30045560002326965,0.2974211573600769,0.3018277585506439,0.01722356304526329,0.019385412335395813,0.04802640900015831,0.008316448889672756,0.10015140473842621,1.148131251335144,0.0,1.0500757694244385,0.22971230745315552,1.0669464245438576e-07,1.0,1.0,pretrain,14,15,
300,0.009264286607503891,-0.30110201239585876,0.2863095998764038,0.2924615740776062,0.28487780690193176,0.015292568132281303,0.026112280786037445,0.08382758498191833,0.010879193432629108,0.10516003519296646,1.1447001695632935,0.0,1.0525799989700317,0.2500695288181305,1.1437805369496346e-07,1.0,1.0,pretrain,18,19,
400,0.00804110337048769,-0.31266650557518005,0.3036637604236603,0.29985877871513367,0.2848637104034424,0.014264477416872978,0.19768927991390228,0.15650558471679688,0.013424254022538662,0.11049637198448181,1.1383094787597656,0.0,1.0552481412887573,0.2786654829978943,1.0681105777621269e-07,1.0,1.0,pretrain,22,23,
500,0.005596571136265993,-0.29350611567497253,0.2805826961994171,0.28730273246765137,0.28764134645462036,0.014191804453730583,0.07845460623502731,0.026591261848807335,0.01551131159067154,0.11629315465688705,1.1297160387039185,0.0,1.0581467151641846,0.3007229268550873,1.0844087228178978e-07,1.0,1.0,pretrain,27,3,
600,0.008030163124203682,-0.28549861907958984,0.26544100046157837,0.26804375648498535,0.280990332365036,0.014922894537448883,0.17473818361759186,0.14344032108783722,0.01752624101936817,0.12443836033344269,1.1190366744995117,0.0,1.0622191429138184,0.3202884793281555,1.1792872101068497e-07,1.0,1.0,pretrain,31,7,
700,0.006273569073528051,-0.28245818614959717,0.2727992534637451,0.2712801694869995,0.2751854956150055,0.015512006357312202,0.040618836879730225,0.05263717472553253,0.018390335142612457,0.13621123135089874,1.1078133583068848,0.0,1.0681055784225464,0.33793553709983826,1.0780058801174164e-07,1.0,1.0,pretrain,35,11,
800,0.007366223260760307,-0.28687912225723267,0.2665301561355591,0.27458471059799194,0.2783919870853424,0.01753189042210579,0.13550491631031036,0.04544048011302948,0.02055957168340683,0.15068694949150085,1.0952324867248535,0.0,1.075343370437622,0.35022473335266113,1.0826624929904938e-07,1.0,1.0,pretrain,39,15,
900,0.007197967730462551,-0.2953549325466156,0.2745401859283447,0.27283531427383423,0.2767806053161621,0.016864802688360214,0.03860847279429436,0.05505703017115593,0.0202772356569767,0.16786402463912964,1.081639289855957,0.0,1.0839319229125977,0.3550611734390259,1.0314397513866425e-07,1.0,1.0,pretrain,43,19,
1000,0.009882106445729733,-0.2688409388065338,0.25413504242897034,0.2555070221424103,0.2548891305923462,0.01513543538749218,0.05179516598582268,0.034116361290216446,0.018094418570399284,0.1894906610250473,1.0677454471588135,0.0,1.094745397567749,0.363814115524292,1.153675839304924e-07,1.0,1.0,pretrain,47,23,
