update,critic_loss,actor_loss,q1_mean,q2_mean,target_q_mean,twin_q_gap,critic_grad_norm,critic2_grad_norm,actor_grad_norm,actor_mean_leverage_gate,actor_mean_direction_entropy,actor_leverage_penalty,actor_mean_gross_exposure,actor_mean_max_abs_weight,actor_gate_gross_mae,critic_amp_scale,actor_amp_scale,stage,episode,step,pass
100,0.012875908985733986,0.3723737299442291,-0.3766058087348938,-0.3748239278793335,-0.3810291290283203,0.02823752351105213,0.05337350815534592,0.07337920367717743,0.012845797464251518,0.09877189993858337,1.1480026245117188,0.0,1.0493860244750977,0.2463415563106537,1.0227086022496223e-07,1.0,1.0,pretrain,10,11,
200,0.01773850992321968,0.36828649044036865,-0.3738398551940918,-0.38144129514694214,-0.36787015199661255,0.028589701279997826,0.08288935571908951,0.16380959749221802,0.006647561676800251,0.0979018360376358,1.1464288234710693,0.0,1.0489509105682373,0.252400279045105,1.1385418474674225e-07,1.0,1.0,pretrain,14,15,
300,0.006942762061953545,0.3537255525588989,-0.36389434337615967,-0.35680270195007324,-0.37756526470184326,0.021957291290163994,0.1619153469800949,0.2702663838863373,0.0069346860982477665,0.09841714054346085,1.1434175968170166,0.0,1.049208641052246,0.2613283395767212,1.125154085457325e-07,1.0,1.0,pretrain,18,19,
400,0.008169381879270077,0.35791292786598206,-0.36835119128227234,-0.36650291085243225,-0.3665383756160736,0.02210673689842224,0.03628206625580788,0.03003856912255287,0.007792988792061806,0.10044164955615997,1.137749195098877,0.0,1.0502208471298218,0.27825045585632324,1.1199153959751129e-07,1.0,1.0,pretrain,22,23,
500,0.013809898868203163,0.3664625585079193,-0.37790554761886597,-0.3681654930114746,-0.3649454712867737,0.027450043708086014,0.17090892791748047,0.05676998943090439,0.009083975106477737,0.10507774353027344,1.1292979717254639,0.0,1.0525389909744263,0.3037358522415161,1.1565862223505974e-07,1.0,1.0,pretrain,27,3,
600,0.015207409858703613,0.3319559097290039,-0.34981411695480347,-0.3470678925514221,-0.34556347131729126,0.02369854971766472,0.09016410261392593,0.0738283172249794,0.009374616667628288,0.11195368319749832,1.12101149559021,0.0,1.0559768676757812,0.32733839750289917,1.1583324521780014e-07,1.0,1.0,pretrain,31,7,
700,0.008145703002810478,0.35017484426498413,-0.3537842631340027,-0.3650461435317993,-0.3527034521102905,0.024338526651263237,0.04036181420087814,0.16361132264137268,0.011393764056265354,0.12198565900325775,1.1137841939926147,0.0,1.06099271774292,0.34831053018569946,1.0797521099448204e-07,1.0,1.0,pretrain,35,11,
800,0.008677392266690731,0.33782923221588135,-0.34732741117477417,-0.35160931944847107,-0.3583478331565857,0.027138518169522285,0.1683318018913269,0.09262306988239288,0.013910697773098946,0.13634926080703735,1.106581449508667,0.0,1.0681746006011963,0.3707524538040161,1.0139774531126022e-07,1.0,1.0,pretrain,39,15,
900,0.00725290784612298,0.32757970690727234,-0.3445791006088257,-0.34347331523895264,-0.3466004729270935,0.025672411546111107,0.03828081488609314,0.06940293312072754,0.016299743205308914,0.15722212195396423,1.0984116792678833,0.0,1.078611135482788,0.38795149326324463,1.1478550732135773e-07,1.0,1.0,pretrain,43,19,
1000,0.006976968143135309,0.31575170159339905,-0.3321641683578491,-0.3220832943916321,-0.3396802842617035,0.027044767513871193,0.13045255839824677,0.24399703741073608,0.016352927312254906,0.18574383854866028,1.0814366340637207,0.0,1.092871904373169,0.4040795862674713,1.0896474123001099e-07,1.0,1.0,pretrain,47,23,
1100,0.006924777291715145,0.3258865773677826,-0.3410799503326416,-0.3439573645591736,-0.33472520112991333,0.024789907038211823,0.07443412393331528,0.1487089842557907,0.014836260117590427,0.2244330793619156,1.0591862201690674,0.0,1.1122164726257324,0.42015162110328674,1.0314397513866425e-07,1.0,1.0,pretrain,52,3,
1200,0.0057159909047186375,0.3099241256713867,-0.32418590784072876,-0.3280715346336365,-0.31819483637809753,0.03027483820915222,0.07960153371095657,0.1980384737253189,0.011905616149306297,0.2737879157066345,1.0390808582305908,0.0,1.1368939876556396,0.4339807629585266,1.1397060006856918e-07,1.0,1.0,pretrain,56,7,
1300,0.006803722586482763,0.30252084136009216,-0.3142697811126709,-0.31590843200683594,-0.32026928663253784,0.027428802102804184,0.23326918482780457,0.06746183335781097,0.010369343683123589,0.3228343725204468,1.0293806791305542,0.0,1.1614172458648682,0.44110262393951416,1.1245720088481903e-07,1.0,1.0,pretrain,60,11,
1400,0.006197634153068066,0.30420657992362976,-0.31583428382873535,-0.30363667011260986,-0.3225831985473633,0.02772589400410652,0.11077886074781418,0.30119678378105164,0.007412022911012173,0.3677534759044647,1.0244810581207275,0.0,1.1838767528533936,0.44448691606521606,1.1478550732135773e-07,1.0,1.0,pretrain,64,15,
1500,0.005280522629618645,0.31098929047584534,-0.3221782445907593,-0.32546770572662354,-0.3226281702518463,0.02758805640041828,0.05169743672013283,0.07011779397726059,0.008333967067301273,0.40023189783096313,1.0278699398040771,0.0,1.2001159191131592,0.4387698471546173,1.1408701539039612e-07,1.0,1.0,pretrain,68,19,
1600,0.0077856555581092834,0.2973831295967102,-0.29904958605766296,-0.2965005040168762,-0.290788471698761,0.028236955404281616,0.20524077117443085,0.1279648095369339,0.006513699423521757,0.4221099019050598,1.0399448871612549,0.0,1.2110549211502075,0.4324972629547119,1.0896474123001099e-07,1.0,1.0,pretrain,72,23,
1700,0.00409212801605463,0.2998751699924469,-0.30059927701950073,-0.30313214659690857,-0.3019619286060333,0.028810016810894012,0.11019807308912277,0.0524214543402195,0.006646784953773022,0.4339175522327423,1.0555285215377808,0.0,1.21695876121521,0.42372602224349976,1.1408701539039612e-07,1.0,1.0,pretrain,77,3,
1800,0.0031623984687030315,0.30711060762405396,-0.3136705160140991,-0.30659717321395874,-0.31618425250053406,0.02372940257191658,0.037653304636478424,0.20237013697624207,0.006925818044692278,0.41688328981399536,1.0795233249664307,0.0,1.2084416151046753,0.4077818989753723,1.126900315284729e-07,1.0,1.0,pretrain,81,7,
1900,0.004253444727510214,0.30358922481536865,-0.3094610869884491,-0.29174649715423584,-0.30050691962242126,0.028818130493164062,0.20634950697422028,0.11543215811252594,0.010629763826727867,0.3760267198085785,1.1067272424697876,0.0,1.1880134344100952,0.378216028213501,1.0011717677116394e-07,1.0,1.0,pretrain,85,11,
2000,0.004312526434659958,0.2846463620662689,-0.2836681604385376,-0.28928351402282715,-0.29161545634269714,0.02550172433257103,0.19681359827518463,0.07452935725450516,0.009559869766235352,0.2859917879104614,1.1332815885543823,0.0,1.1429959535598755,0.3077014088630676,1.150183379650116e-07,1.0,1.0,pretrain,89,15,
2100,0.0029999949038028717,0.27854737639427185,-0.2894936800003052,-0.28609323501586914,-0.29359063506126404,0.02288052625954151,0.06281238794326782,0.17110131680965424,0.008936899714171886,0.229326069355011,1.1357265710830688,0.0,1.1146631240844727,0.2819097638130188,1.0791700333356857e-07,1.0,1.0,pretrain,93,19,
2200,0.0037784725427627563,0.2675853669643402,-0.2772420048713684,-0.27706727385520935,-0.2837912440299988,0.024820547550916672,0.29037585854530334,0.1568560004234314,0.008046046830713749,0.2198946326971054,1.1263453960418701,0.0,1.1099474430084229,0.3265707492828369,1.2177042663097382e-07,1.0,1.0,pretrain,97,23,
2300,0.0026179736014455557,0.29515424370765686,-0.3125492334365845,-0.3054085969924927,-0.3015788793563843,0.021857835352420807,0.19447968900203705,0.05708097666501999,0.007527588866651058,0.2590898871421814,1.1137793064117432,0.0,1.129544973373413,0.363950252532959,1.180451363325119e-07,1.0,1.0,pretrain,102,3,
2400,0.003774604992941022,0.28081923723220825,-0.294139564037323,-0.30023813247680664,-0.2977885901927948,0.021712038666009903,0.06025440990924835,0.09076762199401855,0.00883424747735262,0.3094228506088257,1.099606990814209,0.0,1.154711365699768,0.39052608609199524,1.1129304766654968e-07,1.0,1.0,pretrain,106,7,
2500,0.0026614670641720295,0.29987195134162903,-0.3088711202144623,-0.31051498651504517,-0.31026870012283325,0.02146199345588684,0.043985765427351,0.04745364561676979,0.008227885700762272,0.3690887689590454,1.084289312362671,0.0,1.1845444440841675,0.4060670733451843,1.1222437024116516e-07,1.0,1.0,pretrain,110,11,
2600,0.002530283760279417,0.2807375192642212,-0.29420745372772217,-0.2895158529281616,-0.2939457893371582,0.022310102358460426,0.07076623290777206,0.14300663769245148,0.009795092046260834,0.4430663585662842,1.0687968730926514,0.0,1.2215332984924316,0.42199867963790894,1.2526288628578186e-07,1.0,1.0,pretrain,114,15,
2700,0.0026678452268242836,0.2665879726409912,-0.2778763771057129,-0.27722710371017456,-0.2795878052711487,0.021927716210484505,0.0993097573518753,0.053682807832956314,0.00829943548887968,0.5379951000213623,1.0557398796081543,0.0,1.2689975500106812,0.44274264574050903,1.203734427690506e-07,1.0,1.0,pretrain,118,19,
2800,0.002922109793871641,0.28305214643478394,-0.3032625615596771,-0.3045351207256317,-0.29526546597480774,0.018900534138083458,0.1288204789161682,0.1995449662208557,0.008194408379495144,0.6114864349365234,1.0428202152252197,0.0,1.3057432174682617,0.4560781419277191,1.1175870895385742e-07,1.0,1.0,pretrain,122,23,
2900,0.002852809149771929,0.25543177127838135,-0.26799285411834717,-0.2624339461326599,-0.2712428867816925,0.019451595842838287,0.08444134145975113,0.18912909924983978,0.007837522774934769,0.6829811334609985,1.0360026359558105,0.0,1.341490626335144,0.46894773840904236,1.1827796697616577e-07,1.0,1.0,pretrain,127,3,
3000,0.003340262221172452,0.2640543580055237,-0.27827221155166626,-0.2868657112121582,-0.2761039733886719,0.019076041877269745,0.09687350690364838,0.21980346739292145,0.0071767340414226055,0.7426568269729614,1.0254755020141602,0.0,1.371328353881836,0.48039013147354126,1.126900315284729e-07,1.0,1.0,pretrain,131,7,
3100,0.0026492471806705,0.2707473039627075,-0.2854723036289215,-0.28855955600738525,-0.2810671925544739,0.019069133326411247,0.0943717435002327,0.14621621370315552,0.004865855909883976,0.7936241626739502,1.0257236957550049,3.372054925421253e-05,1.396812081336975,0.4889667332172394,1.2433156371116638e-07,1.0,1.0,pretrain,135,11,
3200,0.0027368227019906044,0.2635858654975891,-0.26784101128578186,-0.2734512388706207,-0.2755771279335022,0.02071094885468483,0.1347501575946808,0.058192942291498184,0.0026433104649186134,0.7926771640777588,1.0268876552581787,3.096925502177328e-05,1.396338701248169,0.49274781346321106,1.387670636177063e-07,1.0,1.0,pretrain,139,15,
