"stage","pass","position","original_episode"
"selection_fit",1,1,24
"selection_fit",1,2,30
"selection_fit",1,3,28
"selection_fit",1,4,29
"selection_fit",1,5,20
"selection_fit",1,6,18
"selection_fit",1,7,26
"selection_fit",1,8,1
"selection_fit",1,9,7
"selection_fit",1,10,25
"selection_fit",1,11,6
"selection_fit",1,12,17
"selection_fit",1,13,15
"selection_fit",1,14,3
"selection_fit",1,15,32
"selection_fit",1,16,8
"selection_fit",1,17,2
"selection_fit",1,18,37
"selection_fit",1,19,22
"selection_fit",1,20,21
"selection_fit",1,21,36
"selection_fit",1,22,9
"selection_fit",1,23,31
"selection_fit",1,24,5
"selection_fit",1,25,12
"selection_fit",1,26,27
"selection_fit",1,27,13
"selection_fit",1,28,34
"selection_fit",1,29,23
"selection_fit",1,30,10
"selection_fit",1,31,19
"selection_fit",1,32,33
"selection_fit",1,33,35
"selection_fit",1,34,14
"selection_fit",1,35,11
"selection_fit",1,36,4
"selection_fit",1,37,16
"all_history_refit",1,1,43
"all_history_refit",1,2,16
"all_history_refit",1,3,56
"all_history_refit",1,4,30
"all_history_refit",1,5,7
"all_history_refit",1,6,36
"all_history_refit",1,7,2
"all_history_refit",1,8,34
"all_history_refit",1,9,17
"all_history_refit",1,10,15
"all_history_refit",1,11,6
"all_history_refit",1,12,12
"all_history_refit",1,13,19
"all_history_refit",1,14,11
"all_history_refit",1,15,53
"all_history_refit",1,16,47
"all_history_refit",1,17,33
"all_history_refit",1,18,48
"all_history_refit",1,19,35
"all_history_refit",1,20,44
"all_history_refit",1,21,41
"all_history_refit",1,22,54
"all_history_refit",1,23,18
"all_history_refit",1,24,60
"all_history_refit",1,25,14
"all_history_refit",1,26,22
"all_history_refit",1,27,51
"all_history_refit",1,28,29
"all_history_refit",1,29,9
"all_history_refit",1,30,37
"all_history_refit",1,31,50
"all_history_refit",1,32,23
"all_history_refit",1,33,24
"all_history_refit",1,34,1
"all_history_refit",1,35,5
"all_history_refit",1,36,46
"all_history_refit",1,37,38
"all_history_refit",1,38,8
"all_history_refit",1,39,61
"all_history_refit",1,40,52
"all_history_refit",1,41,39
"all_history_refit",1,42,28
"all_history_refit",1,43,55
"all_history_refit",1,44,58
"all_history_refit",1,45,59
"all_history_refit",1,46,3
"all_history_refit",1,47,20
"all_history_refit",1,48,49
"all_history_refit",1,49,27
"all_history_refit",1,50,4
"all_history_refit",1,51,10
"all_history_refit",1,52,42
"all_history_refit",1,53,25
"all_history_refit",1,54,31
"all_history_refit",1,55,40
"all_history_refit",1,56,13
"all_history_refit",1,57,57
"all_history_refit",1,58,21
"all_history_refit",1,59,45
"all_history_refit",1,60,32
"all_history_refit",1,61,26
