update,critic_loss,actor_loss,q1_mean,q2_mean,target_q_mean,twin_q_gap,critic_grad_norm,entropy_temperature,stage,episode,step,pass
100,0.06462149322032928,0.07551214098930359,-0.04685506224632263,-0.04635906592011452,-0.052849967032670975,0.023144425824284554,0.12713488936424255,0.09705623984336853,pretrain,10,11,
200,0.06059456616640091,0.08869808912277222,-0.052659839391708374,-0.030283261090517044,-0.06549542397260666,0.024669772014021873,0.4019637405872345,0.09413477033376694,pretrain,14,15,
300,0.06010270118713379,-0.011223278939723969,-0.033672235906124115,-0.05043447017669678,-0.022518115118145943,0.02210187166929245,0.3764480948448181,0.09126728773117065,pretrain,18,19,
400,0.056261319667100906,-0.04135990887880325,0.00678262859582901,-0.00033647322561591864,0.020860843360424042,0.014907613396644592,0.27836379408836365,0.08844485878944397,pretrain,22,23,
500,0.04554540291428566,-0.10979612916707993,0.06605707854032516,0.05734358727931976,0.04594789817929268,0.0139524070546031,0.2581269443035126,0.085697703063488,pretrain,27,3,
600,0.05136264115571976,-0.18046273291110992,0.13701659440994263,0.13276931643486023,0.1136457547545433,0.01268252357840538,0.32112252712249756,0.08299995213747025,pretrain,31,7,
700,0.05141019821166992,-0.25924089550971985,0.17460089921951294,0.1794275939464569,0.1802576184272766,0.01327116321772337,0.08547703921794891,0.08036097139120102,pretrain,35,11,
800,0.057869456708431244,-0.3537162244319916,0.2510746717453003,0.2515068054199219,0.20691123604774475,0.012190312147140503,0.6514050364494324,0.07778792083263397,pretrain,39,15,
900,0.054419346153736115,-0.3994995057582855,0.2725175619125366,0.2734993100166321,0.2800968885421753,0.011766843497753143,0.12401429563760757,0.0752875804901123,pretrain,43,19,
1000,0.042656756937503815,-0.49606576561927795,0.3448525667190552,0.3445315361022949,0.3361651301383972,0.016373584046959877,0.14815472066402435,0.07285282760858536,pretrain,47,23,
1100,0.06494933366775513,-0.5897718667984009,0.44943946599960327,0.4424564242362976,0.42526671290397644,0.016659274697303772,0.3313443064689636,0.07048100978136063,pretrain,52,3,
1200,0.04784978926181793,-0.581485390663147,0.45206117630004883,0.45341211557388306,0.48177215456962585,0.026703186333179474,0.4899236559867859,0.06817809492349625,pretrain,56,7,
1300,0.06002873182296753,-0.6948032975196838,0.5391919612884521,0.5458022356033325,0.5224904417991638,0.03490986302495003,0.5639980435371399,0.06594642996788025,pretrain,60,11,
1400,0.0468861386179924,-0.7464381456375122,0.602250337600708,0.5965405702590942,0.5673848390579224,0.028598014265298843,0.8920877575874329,0.06378112733364105,pretrain,64,15,
1500,0.05489275977015495,-0.8149797320365906,0.6540547609329224,0.6782925128936768,0.66927170753479,0.03769092634320259,1.7151541709899902,0.0616803877055645,pretrain,68,19,
1600,0.048209626227617264,-0.8331646919250488,0.7114336490631104,0.6830291748046875,0.6626877188682556,0.043356843292713165,1.1209375858306885,0.0596432201564312,pretrain,72,23,
1700,0.037101954221725464,-0.8737995624542236,0.7194724082946777,0.7281811237335205,0.7296140193939209,0.03296947479248047,0.36848655343055725,0.05766768380999565,pretrain,77,3,
1800,0.04353487119078636,-0.9436646699905396,0.7896279096603394,0.776888370513916,0.7819675207138062,0.028491919860243797,1.08467435836792,0.05576041713356972,pretrain,81,7,
