update,critic_loss,actor_loss,q1_mean,q2_mean,target_q_mean,twin_q_gap,critic_grad_norm,critic2_grad_norm,actor_grad_norm,actor_mean_leverage_gate,actor_mean_direction_entropy,actor_leverage_penalty,actor_mean_gross_exposure,actor_mean_max_abs_weight,actor_gate_gross_mae,critic_amp_scale,actor_amp_scale,stage,episode,step,pass
100,0.008494038134813309,-0.08533722162246704,0.07694046199321747,0.07411300390958786,0.07891033589839935,0.020072337239980698,0.028942523524165154,0.05431303754448891,0.023759055882692337,0.102457694709301,1.1481555700302124,0.0,1.0512288808822632,0.23424790799617767,1.157168298959732e-07,1.0,1.0,pretrain,10,11,
200,0.007276425138115883,-0.09236522018909454,0.07143065333366394,0.07232879102230072,0.07909784466028214,0.012441197410225868,0.08790252357721329,0.08233284950256348,0.017264291644096375,0.10555245727300644,1.1434321403503418,0.0,1.0527762174606323,0.26386040449142456,1.2631062418222427e-07,1.0,1.0,pretrain,14,15,
300,0.005503995344042778,-0.09256251901388168,0.07495306432247162,0.07865314185619354,0.08510392904281616,0.012567944824695587,0.11722510308027267,0.07591164857149124,0.0198711808770895,0.11081214249134064,1.1400065422058105,0.0,1.055406093597412,0.28347498178482056,1.1280644685029984e-07,1.0,1.0,pretrain,18,19,
400,0.005199039820581675,-0.10462777316570282,0.08073586225509644,0.08356647938489914,0.08693186938762665,0.012130931951105595,0.07191690802574158,0.039844777435064316,0.023177890107035637,0.11745592951774597,1.1339776515960693,0.0,1.0587279796600342,0.298636794090271,1.1402880772948265e-07,1.0,1.0,pretrain,22,23,
500,0.0047208815813064575,-0.10321870446205139,0.08419601619243622,0.08101200312376022,0.08240530639886856,0.012698885053396225,0.027399389073252678,0.02481737732887268,0.025256847962737083,0.12594738602638245,1.1252336502075195,0.0,1.0629737377166748,0.30329322814941406,1.021544449031353e-07,1.0,1.0,pretrain,27,3,
600,0.003922141157090664,-0.10165921598672867,0.08291679620742798,0.07903537899255753,0.08265507221221924,0.012833718210458755,0.015269545838236809,0.04539734125137329,0.02869647741317749,0.13627566397190094,1.1126545667648315,0.0,1.0681378841400146,0.3104214370250702,1.1734664440155029e-07,1.0,1.0,pretrain,31,7,
700,0.005005301907658577,-0.12063634395599365,0.09875553101301193,0.09841839969158173,0.08815004676580429,0.011323021724820137,0.11590795964002609,0.11718788743019104,0.029471172019839287,0.1487184315919876,1.0956147909164429,0.0,1.0743592977523804,0.36028212308883667,1.126900315284729e-07,1.0,1.0,pretrain,35,11,
800,0.004941198974847794,-0.10912920534610748,0.08524209260940552,0.08797774463891983,0.08814969658851624,0.013164930045604706,0.03652357682585716,0.0203008521348238,0.026164891198277473,0.16448628902435303,1.0762455463409424,0.0,1.0822432041168213,0.40342140197753906,1.1094380170106888e-07,1.0,1.0,pretrain,39,15,
900,0.004050544463098049,-0.11584273725748062,0.09065990895032883,0.09008871763944626,0.08569793403148651,0.012557515874505043,0.05320104956626892,0.04882444441318512,0.023255519568920135,0.18313424289226532,1.060897707939148,0.0,1.0915671586990356,0.4368448853492737,1.0803341865539551e-07,1.0,1.0,pretrain,43,19,
1000,0.0036891046911478043,-0.1059664785861969,0.08968494087457657,0.08400300145149231,0.09533803164958954,0.012864098884165287,0.0685107409954071,0.12720702588558197,0.01802065409719944,0.20258432626724243,1.0499556064605713,0.0,1.1012921333312988,0.4594786763191223,1.223525032401085e-07,1.0,1.0,pretrain,47,23,
