update,critic_loss,actor_loss,q1_mean,q2_mean,target_q_mean,twin_q_gap,critic_grad_norm,stage,episode,step,pass
100,0.0036756915505975485,-0.0034159424249082804,-0.0005521220155060291,-0.01464332826435566,-0.004952300805598497,0.03784548118710518,0.25151512026786804,pretrain,10,11,
200,0.002350849099457264,-0.006384441629052162,0.0011222269386053085,-0.005353718064725399,-0.002747406717389822,0.02339555323123932,0.1508144736289978,pretrain,14,15,
300,0.0014380014035850763,0.0047294581308960915,-0.021074257791042328,-0.015922188758850098,-0.012138663791120052,0.021087244153022766,0.19964806735515594,pretrain,18,19,
400,0.0018573065754026175,0.006842918694019318,-0.02185864746570587,-0.015475105494260788,-0.025278715416789055,0.020759426057338715,0.18450744450092316,pretrain,22,23,
500,0.0019923560321331024,0.008791640400886536,-0.023320622742176056,-0.03543023020029068,-0.019673215225338936,0.020962735638022423,0.30154693126678467,pretrain,27,3,
600,0.0017440520459786057,0.01250980794429779,-0.033075615763664246,-0.030454955995082855,-0.030899321660399437,0.021470919251441956,0.09805256873369217,pretrain,31,7,
700,0.0010352118406444788,0.0018656342290341854,-0.010165693238377571,-0.018491830676794052,-0.017826218158006668,0.016100089997053146,0.1625847965478897,pretrain,35,11,
800,0.0017336922464892268,0.013989605009555817,-0.02507438324391842,-0.021754957735538483,-0.028357166796922684,0.020426638424396515,0.18206055462360382,pretrain,39,15,
900,0.0013442683266475797,0.015480606816709042,-0.031579043716192245,-0.023274753242731094,-0.030071061104536057,0.019967377185821533,0.1261923462152481,pretrain,43,19,
1000,0.0012361742556095123,0.023150380700826645,-0.03285181522369385,-0.029691040515899658,-0.03262215852737427,0.01914059929549694,0.08306904137134552,pretrain,47,23,
1100,0.0017432239837944508,0.018569940701127052,-0.021934641525149345,-0.023380141705274582,-0.031862013041973114,0.019546503201127052,0.231498584151268,pretrain,52,3,
1200,0.001321630785241723,0.02348870038986206,-0.035161375999450684,-0.03476493060588837,-0.02847341075539589,0.020393159240484238,0.20614059269428253,pretrain,56,7,
1300,0.001450942363590002,0.046699315309524536,-0.051705606281757355,-0.04299984872341156,-0.045229893177747726,0.02207782492041588,0.16657935082912445,pretrain,60,11,
1400,0.0016364154871553183,0.03573136404156685,-0.04231224209070206,-0.046307437121868134,-0.04580014944076538,0.022806543856859207,0.1383596956729889,pretrain,64,15,
1500,0.0019366417545825243,0.026401318609714508,-0.03738447278738022,-0.03552481532096863,-0.03568510711193085,0.021650541573762894,0.12880590558052063,pretrain,68,19,
1600,0.001736313570290804,0.03664110600948334,-0.04004090279340744,-0.04018426313996315,-0.041227858513593674,0.02154916524887085,0.11567622423171997,pretrain,72,23,
1700,0.0014223657781258225,0.04087682440876961,-0.04121246933937073,-0.043226633220911026,-0.04678962379693985,0.018506133928894997,0.14707878232002258,pretrain,77,3,
1800,0.0020286510698497295,0.03550874441862106,-0.04286244511604309,-0.04505208507180214,-0.04160426929593086,0.02323419414460659,0.1653258353471756,pretrain,81,7,
1900,0.0016343535389751196,0.04312876611948013,-0.05375109985470772,-0.041225410997867584,-0.04210318624973297,0.024664759635925293,0.2305852472782135,pretrain,85,11,
2000,0.002009819494560361,0.028112128376960754,-0.047771986573934555,-0.04957619309425354,-0.04621502012014389,0.02062641829252243,0.1499095857143402,pretrain,89,15,
2100,0.0020214454270899296,0.054744645953178406,-0.06312339007854462,-0.06514279544353485,-0.061484195291996,0.024110134690999985,0.11764281243085861,pretrain,93,19,
