"stage","pass","position","original_episode"
"selection_fit",1,1,6
"selection_fit",1,2,34
"selection_fit",1,3,21
"selection_fit",1,4,23
"selection_fit",1,5,10
"selection_fit",1,6,12
"selection_fit",1,7,7
"selection_fit",1,8,16
"selection_fit",1,9,24
"selection_fit",1,10,4
"selection_fit",1,11,29
"selection_fit",1,12,20
"selection_fit",1,13,18
"selection_fit",1,14,25
"selection_fit",1,15,30
"selection_fit",1,16,9
"selection_fit",1,17,2
"selection_fit",1,18,17
"selection_fit",1,19,33
"selection_fit",1,20,13
"selection_fit",1,21,31
"selection_fit",1,22,1
"selection_fit",1,23,35
"selection_fit",1,24,26
"selection_fit",1,25,5
"selection_fit",1,26,14
"selection_fit",1,27,27
"selection_fit",1,28,11
"selection_fit",1,29,15
"selection_fit",1,30,28
"selection_fit",1,31,32
"selection_fit",1,32,3
"selection_fit",1,33,19
"selection_fit",1,34,22
"selection_fit",1,35,8
"selection_fit",1,36,36
"selection_fit",1,37,37
"all_history_refit",1,1,57
"all_history_refit",1,2,10
"all_history_refit",1,3,12
"all_history_refit",1,4,13
"all_history_refit",1,5,53
"all_history_refit",1,6,7
"all_history_refit",1,7,26
"all_history_refit",1,8,40
"all_history_refit",1,9,45
"all_history_refit",1,10,11
"all_history_refit",1,11,60
"all_history_refit",1,12,56
"all_history_refit",1,13,50
"all_history_refit",1,14,29
"all_history_refit",1,15,16
"all_history_refit",1,16,51
"all_history_refit",1,17,6
"all_history_refit",1,18,36
"all_history_refit",1,19,4
"all_history_refit",1,20,27
"all_history_refit",1,21,3
"all_history_refit",1,22,46
"all_history_refit",1,23,28
"all_history_refit",1,24,37
"all_history_refit",1,25,17
"all_history_refit",1,26,61
"all_history_refit",1,27,9
"all_history_refit",1,28,2
"all_history_refit",1,29,42
"all_history_refit",1,30,47
"all_history_refit",1,31,31
"all_history_refit",1,32,14
"all_history_refit",1,33,21
"all_history_refit",1,34,39
"all_history_refit",1,35,38
"all_history_refit",1,36,24
"all_history_refit",1,37,59
"all_history_refit",1,38,44
"all_history_refit",1,39,8
"all_history_refit",1,40,41
"all_history_refit",1,41,30
"all_history_refit",1,42,33
"all_history_refit",1,43,1
"all_history_refit",1,44,15
"all_history_refit",1,45,52
"all_history_refit",1,46,20
"all_history_refit",1,47,34
"all_history_refit",1,48,25
"all_history_refit",1,49,43
"all_history_refit",1,50,18
"all_history_refit",1,51,32
"all_history_refit",1,52,58
"all_history_refit",1,53,35
"all_history_refit",1,54,54
"all_history_refit",1,55,48
"all_history_refit",1,56,5
"all_history_refit",1,57,55
"all_history_refit",1,58,49
"all_history_refit",1,59,19
"all_history_refit",1,60,22
"all_history_refit",1,61,23
