"stage","pass","position","original_episode"
"selection_fit",1,1,36
"selection_fit",1,2,7
"selection_fit",1,3,29
"selection_fit",1,4,5
"selection_fit",1,5,10
"selection_fit",1,6,37
"selection_fit",1,7,25
"selection_fit",1,8,34
"selection_fit",1,9,35
"selection_fit",1,10,32
"selection_fit",1,11,20
"selection_fit",1,12,30
"selection_fit",1,13,31
"selection_fit",1,14,13
"selection_fit",1,15,14
"selection_fit",1,16,4
"selection_fit",1,17,22
"selection_fit",1,18,15
"selection_fit",1,19,18
"selection_fit",1,20,8
"selection_fit",1,21,28
"selection_fit",1,22,17
"selection_fit",1,23,16
"selection_fit",1,24,3
"selection_fit",1,25,27
"selection_fit",1,26,26
"selection_fit",1,27,11
"selection_fit",1,28,33
"selection_fit",1,29,6
"selection_fit",1,30,9
"selection_fit",1,31,1
"selection_fit",1,32,24
"selection_fit",1,33,23
"selection_fit",1,34,2
"selection_fit",1,35,19
"selection_fit",1,36,21
"selection_fit",1,37,12
"all_history_refit",1,1,45
"all_history_refit",1,2,56
"all_history_refit",1,3,15
"all_history_refit",1,4,16
"all_history_refit",1,5,5
"all_history_refit",1,6,39
"all_history_refit",1,7,18
"all_history_refit",1,8,53
"all_history_refit",1,9,43
"all_history_refit",1,10,35
"all_history_refit",1,11,27
"all_history_refit",1,12,47
"all_history_refit",1,13,61
"all_history_refit",1,14,50
"all_history_refit",1,15,58
"all_history_refit",1,16,14
"all_history_refit",1,17,59
"all_history_refit",1,18,33
"all_history_refit",1,19,41
"all_history_refit",1,20,11
"all_history_refit",1,21,32
"all_history_refit",1,22,17
"all_history_refit",1,23,30
"all_history_refit",1,24,60
"all_history_refit",1,25,40
"all_history_refit",1,26,57
"all_history_refit",1,27,24
"all_history_refit",1,28,54
"all_history_refit",1,29,37
"all_history_refit",1,30,42
"all_history_refit",1,31,36
"all_history_refit",1,32,51
"all_history_refit",1,33,12
"all_history_refit",1,34,19
"all_history_refit",1,35,48
"all_history_refit",1,36,46
"all_history_refit",1,37,23
"all_history_refit",1,38,10
"all_history_refit",1,39,20
"all_history_refit",1,40,2
"all_history_refit",1,41,52
"all_history_refit",1,42,26
"all_history_refit",1,43,21
"all_history_refit",1,44,31
"all_history_refit",1,45,7
"all_history_refit",1,46,34
"all_history_refit",1,47,4
"all_history_refit",1,48,6
"all_history_refit",1,49,8
"all_history_refit",1,50,9
"all_history_refit",1,51,25
"all_history_refit",1,52,22
"all_history_refit",1,53,55
"all_history_refit",1,54,38
"all_history_refit",1,55,1
"all_history_refit",1,56,13
"all_history_refit",1,57,49
"all_history_refit",1,58,28
"all_history_refit",1,59,29
"all_history_refit",1,60,44
"all_history_refit",1,61,3
