seed,output_dir,vine_observation_mode,no_vine_signal_mask,training_status,sanity_status,no_holdout_gate_pass,pretrained_mean_reward,full_mean_reward,finetune_reward_delta,pretrained_mean_terminal_wealth,full_mean_terminal_wealth,finetune_terminal_wealth_delta,full_mean_cvar,full_median_turnover,full_mean_leverage_gate,full_std_leverage_gate,full_mean_normalized_entropy,full_mean_effective_positions,full_zero_vine_median_action_l1,full_zero_market_median_action_l1,full_zero_market_median_gate_change
20260841,/gabirel/copula-portfolio-clean/data/no_vine_rl_runs_secondary_v3/seed_20260841,zero,explicit_vine_and_scenario_cvar_v1,0,0,True,0.026412080368269,0.130935391984568,0.104523311616299,117736.514474839,130209.763220831,12473.2487459922,0.0697198722393615,0.51839306684477,0.80464179174659,0.0148828483964324,0.868490650560895,4.17058021725853,0,1.49019873142242,0.238973557949066
20260842,/gabirel/copula-portfolio-clean/data/no_vine_rl_runs_secondary_v3/seed_20260842,zero,explicit_vine_and_scenario_cvar_v1,0,0,True,0.0904527164056926,0.0876101267339926,-0.0028425896717,122022.66445426,122654.207989805,631.543535544959,0.0681581153944873,0.38910225885255,0.804713464459109,0.0197638079060148,0.843582071617321,4.07590598161103,0,1.09256416559219,0.0663111209869385
20260843,/gabirel/copula-portfolio-clean/data/no_vine_rl_runs_secondary_v3/seed_20260843,zero,explicit_vine_and_scenario_cvar_v1,0,0,True,0.154196621323017,0.17941876306686,0.0252221417438425,131796.491915257,139887.578895065,8091.08697980858,0.0714507567213186,0.498630933463574,0.797784251797069,0.0174199464941592,0.870250836253725,4.10478400988657,0,1.15502214431763,0.390899538993835
20260844,/gabirel/copula-portfolio-clean/data/no_vine_rl_runs_secondary_v3/seed_20260844,zero,explicit_vine_and_scenario_cvar_v1,0,0,True,0.136986986531701,0.114391376505557,-0.0225956100261435,128818.093325456,127158.359663805,-1659.73366165129,0.0759173734260975,0.454291261200394,0.796220861090337,0.0260874091760439,0.84882514220662,4.04634281308925,0,1.65130436420441,0.0157201886177063
20260845,/gabirel/copula-portfolio-clean/data/no_vine_rl_runs_secondary_v3/seed_20260845,zero,explicit_vine_and_scenario_cvar_v1,0,0,True,0.114266104968264,0.162579073295408,0.048312968327144,123950.244635009,133595.574955274,9645.33032026504,0.065066832518582,0.49740643799305,0.810489163128405,0.0130976583578628,0.846068682119364,3.91981657883509,0,1.02814555168152,0.438329607248306
20260846,/gabirel/copula-portfolio-clean/data/no_vine_rl_runs_secondary_v3/seed_20260846,zero,explicit_vine_and_scenario_cvar_v1,0,0,True,0.114945295228885,0.191915041504777,0.0769697462758917,127202.118817907,141503.667892551,14301.5490746445,0.0766806227193276,0.814413955701249,0.799827149331244,0.0204382689643057,0.895377225498983,4.50408348001418,0,1.3222588300705,0.176437526941299
20260847,/gabirel/copula-portfolio-clean/data/no_vine_rl_runs_secondary_v3/seed_20260847,zero,explicit_vine_and_scenario_cvar_v1,0,0,True,0.14766441251841,0.191458030649801,0.0437936181313914,135147.145323183,141533.035137624,6385.88981444045,0.0669354862421386,0.461164358338075,0.803357890069159,0.0187480629468536,0.826053560175553,3.86347856531378,0,1.79878228902817,0.0903103947639465
20260848,/gabirel/copula-portfolio-clean/data/no_vine_rl_runs_secondary_v3/seed_20260848,zero,explicit_vine_and_scenario_cvar_v1,0,0,True,0.104827286859316,0.102588943642138,-0.0022383432171774,124173.983875075,123036.067633417,-1137.91624165801,0.0593993187562533,0.543831445276737,0.802449674228501,0.0129603198561151,0.866901763884264,4.1030341095286,0,1.26976770162582,0.0128396153450012
20260849,/gabirel/copula-portfolio-clean/data/no_vine_rl_runs_secondary_v3/seed_20260849,zero,explicit_vine_and_scenario_cvar_v1,0,0,True,0.117972287894507,0.183160190521501,0.0651879026269936,127756.115531142,136986.641304413,9230.52577327131,0.0617770029070849,0.516818612547857,0.795918714560446,0.0202361336048135,0.853486596887203,4.07146658858315,0,1.52414554357529,0.110638290643692
20260850,/gabirel/copula-portfolio-clean/data/no_vine_rl_runs_secondary_v3/seed_20260850,zero,explicit_vine_and_scenario_cvar_v1,0,0,True,0.15509951203834,0.209016095421066,0.0539165833827258,130810.161575716,143590.286533795,12780.1249580787,0.0610316417596101,0.397673270532063,0.801929092757363,0.0146366443955135,0.886281370311717,4.23705194686931,0,1.1391613483429,0.0763108432292938
