seed,window_episodes,metric,value,comparison,threshold,pass
20260841,100,mean_leverage_gate,0.7838035563627879,<=,0.95,True
20260841,100,fraction_at_gross_cap,0.0,<=,0.75,True
20260841,100,gate_gross_mae,6.94890817006429e-08,<=,1e-05,True
20260841,100,mean_turnover,0.6185540484121469,<=,1.0,True
20260841,100,max_position_limit_violation,0.0,<=,1e-06,True
20260841,100,mean_normalized_direction_entropy,0.8970545526126299,>=,0.7,True
20260841,100,q05_normalized_direction_entropy,0.82618996871155,>=,0.5,True
20260841,100,mean_effective_positions,4.5302849788467086,>=,2.5,True
20260842,100,mean_leverage_gate,0.7945139878243208,<=,0.95,True
20260842,100,fraction_at_gross_cap,0.0,<=,0.75,True
20260842,100,gate_gross_mae,6.669511397679646e-08,<=,1e-05,True
20260842,100,mean_turnover,0.4294928296084426,<=,1.0,True
20260842,100,max_position_limit_violation,0.0,<=,1e-06,True
20260842,100,mean_normalized_direction_entropy,0.855272047363268,>=,0.7,True
20260842,100,q05_normalized_direction_entropy,0.7638965559910132,>=,0.5,True
20260842,100,mean_effective_positions,4.054395387868087,>=,2.5,True
20260843,100,mean_leverage_gate,0.7942243828624487,<=,0.95,True
20260843,100,fraction_at_gross_cap,0.0,<=,0.75,True
20260843,100,gate_gross_mae,6.016343832015992e-08,<=,1e-05,True
20260843,100,mean_turnover,0.521227474287485,<=,1.0,True
20260843,100,max_position_limit_violation,0.0,<=,1e-06,True
20260843,100,mean_normalized_direction_entropy,0.880518178162877,>=,0.7,True
20260843,100,q05_normalized_direction_entropy,0.7894239570567695,>=,0.5,True
20260843,100,mean_effective_positions,4.280421383579572,>=,2.5,True
20260844,100,mean_leverage_gate,0.7988206335653861,<=,0.95,True
20260844,100,fraction_at_gross_cap,0.0,<=,0.75,True
20260844,100,gate_gross_mae,6.289531787236531e-08,<=,1e-05,True
20260844,100,mean_turnover,0.5832069315806785,<=,1.0,True
20260844,100,max_position_limit_violation,0.0,<=,1e-06,True
20260844,100,mean_normalized_direction_entropy,0.8166868993493911,>=,0.7,True
20260844,100,q05_normalized_direction_entropy,0.708100907020165,>=,0.5,True
20260844,100,mean_effective_positions,3.7801209263006847,>=,2.5,True
20260845,100,mean_leverage_gate,0.7931420438488325,<=,0.95,True
20260845,100,fraction_at_gross_cap,0.0,<=,0.75,True
20260845,100,gate_gross_mae,6.534159183502197e-08,<=,1e-05,True
20260845,100,mean_turnover,0.5653631528989146,<=,1.0,True
20260845,100,max_position_limit_violation,0.0,<=,1e-06,True
20260845,100,mean_normalized_direction_entropy,0.8787354101008295,>=,0.7,True
20260845,100,q05_normalized_direction_entropy,0.8031574676270319,>=,0.5,True
20260845,100,mean_effective_positions,4.257017863492171,>=,2.5,True
20260846,100,mean_leverage_gate,0.79711296916008,<=,0.95,True
20260846,100,fraction_at_gross_cap,0.0,<=,0.75,True
20260846,100,gate_gross_mae,6.747742493947347e-08,<=,1e-05,True
20260846,100,mean_turnover,0.7407501750250923,<=,1.0,True
20260846,100,max_position_limit_violation,0.0,<=,1e-06,True
20260846,100,mean_normalized_direction_entropy,0.8741770502996451,>=,0.7,True
20260846,100,q05_normalized_direction_entropy,0.79174976989293,>=,0.5,True
20260846,100,mean_effective_positions,4.260987676978111,>=,2.5,True
20260847,100,mean_leverage_gate,0.7934115643550952,<=,0.95,True
20260847,100,fraction_at_gross_cap,0.0,<=,0.75,True
20260847,100,gate_gross_mae,6.875644127527874e-08,<=,1e-05,True
20260847,100,mean_turnover,0.584061741194067,<=,1.0,True
20260847,100,max_position_limit_violation,0.0,<=,1e-06,True
20260847,100,mean_normalized_direction_entropy,0.8692446206753247,>=,0.7,True
20260847,100,q05_normalized_direction_entropy,0.7843472242468783,>=,0.5,True
20260847,100,mean_effective_positions,4.195150085190932,>=,2.5,True
20260848,100,mean_leverage_gate,0.7970857848475377,<=,0.95,True
20260848,100,fraction_at_gross_cap,0.0,<=,0.75,True
20260848,100,gate_gross_mae,6.868193546930949e-08,<=,1e-05,True
20260848,100,mean_turnover,0.5685496553983761,<=,1.0,True
20260848,100,max_position_limit_violation,0.0,<=,1e-06,True
20260848,100,mean_normalized_direction_entropy,0.8537813533135348,>=,0.7,True
20260848,100,q05_normalized_direction_entropy,0.766678246615288,>=,0.5,True
20260848,100,mean_effective_positions,4.012162063121796,>=,2.5,True
20260849,100,mean_leverage_gate,0.7932403464118639,<=,0.95,True
20260849,100,fraction_at_gross_cap,0.0,<=,0.75,True
20260849,100,gate_gross_mae,6.308158238728841e-08,<=,1e-05,True
20260849,100,mean_turnover,0.5843293261964295,<=,1.0,True
20260849,100,max_position_limit_violation,0.0,<=,1e-06,True
20260849,100,mean_normalized_direction_entropy,0.8797922178515508,>=,0.7,True
20260849,100,q05_normalized_direction_entropy,0.8101341321450602,>=,0.5,True
20260849,100,mean_effective_positions,4.2928094388047855,>=,2.5,True
20260850,100,mean_leverage_gate,0.7959614679962397,<=,0.95,True
20260850,100,fraction_at_gross_cap,0.0,<=,0.75,True
20260850,100,gate_gross_mae,6.277114152908327e-08,<=,1e-05,True
20260850,100,mean_turnover,0.4111670008879377,<=,1.0,True
20260850,100,max_position_limit_violation,0.0,<=,1e-06,True
20260850,100,mean_normalized_direction_entropy,0.8583852913804374,>=,0.7,True
20260850,100,q05_normalized_direction_entropy,0.7835711577393984,>=,0.5,True
20260850,100,mean_effective_positions,4.16696204384168,>=,2.5,True
