"stage","pass","position","original_episode"
"selection_fit",1,1,9
"selection_fit",1,2,35
"selection_fit",1,3,27
"selection_fit",1,4,2
"selection_fit",1,5,37
"selection_fit",1,6,13
"selection_fit",1,7,28
"selection_fit",1,8,26
"selection_fit",1,9,22
"selection_fit",1,10,33
"selection_fit",1,11,29
"selection_fit",1,12,5
"selection_fit",1,13,4
"selection_fit",1,14,16
"selection_fit",1,15,30
"selection_fit",1,16,32
"selection_fit",1,17,18
"selection_fit",1,18,19
"selection_fit",1,19,25
"selection_fit",1,20,24
"selection_fit",1,21,23
"selection_fit",1,22,15
"selection_fit",1,23,1
"selection_fit",1,24,7
"selection_fit",1,25,3
"selection_fit",1,26,20
"selection_fit",1,27,21
"selection_fit",1,28,17
"selection_fit",1,29,31
"selection_fit",1,30,34
"selection_fit",1,31,36
"selection_fit",1,32,12
"selection_fit",1,33,6
"selection_fit",1,34,8
"selection_fit",1,35,14
"selection_fit",1,36,10
"selection_fit",1,37,11
"selection_fit",2,1,2
"selection_fit",2,2,15
"selection_fit",2,3,30
"selection_fit",2,4,22
"selection_fit",2,5,19
"selection_fit",2,6,33
"selection_fit",2,7,1
"selection_fit",2,8,20
"selection_fit",2,9,35
"selection_fit",2,10,8
"selection_fit",2,11,7
"selection_fit",2,12,9
"selection_fit",2,13,37
"selection_fit",2,14,18
"selection_fit",2,15,11
"selection_fit",2,16,27
"selection_fit",2,17,28
"selection_fit",2,18,5
"selection_fit",2,19,24
"selection_fit",2,20,26
"selection_fit",2,21,10
"selection_fit",2,22,36
"selection_fit",2,23,4
"selection_fit",2,24,12
"selection_fit",2,25,29
"selection_fit",2,26,17
"selection_fit",2,27,32
"selection_fit",2,28,3
"selection_fit",2,29,25
"selection_fit",2,30,34
"selection_fit",2,31,6
"selection_fit",2,32,16
"selection_fit",2,33,23
"selection_fit",2,34,31
"selection_fit",2,35,13
"selection_fit",2,36,14
"selection_fit",2,37,21
"selection_fit",3,1,34
"selection_fit",3,2,28
"selection_fit",3,3,2
"selection_fit",3,4,27
"selection_fit",3,5,9
"selection_fit",3,6,19
"selection_fit",3,7,30
"selection_fit",3,8,3
"selection_fit",3,9,33
"selection_fit",3,10,4
"selection_fit",3,11,25
"selection_fit",3,12,5
"selection_fit",3,13,21
"selection_fit",3,14,20
"selection_fit",3,15,17
"selection_fit",3,16,23
"selection_fit",3,17,10
"selection_fit",3,18,24
"selection_fit",3,19,8
"selection_fit",3,20,35
