update,critic_loss,actor_loss,q1_mean,q2_mean,target_q_mean,twin_q_gap,critic_grad_norm,critic2_grad_norm,actor_grad_norm,critic_amp_scale,actor_amp_scale,stage,episode,step,pass
100,0.008174853399395943,0.23779296875,-0.2384033203125,-0.2432861328125,-0.2452082633972168,0.02001953125,0.08206978440284729,0.020536161959171295,0.05196984112262726,32768.0,32768.0,pretrain,7,17,
200,0.0062395185232162476,0.2171630859375,-0.2200927734375,-0.231689453125,-0.23516562581062317,0.02606201171875,0.2208748310804367,0.04158136621117592,0.04413353651762009,32768.0,32768.0,pretrain,9,2,
300,0.0040442016907036304,0.1805419921875,-0.2161865234375,-0.24609375,-0.23601669073104858,0.03350830078125,0.32219940423965454,0.09938350319862366,0.1510079801082611,32768.0,32768.0,pretrain,10,11,
400,0.0031330029014497995,0.1361083984375,-0.2022705078125,-0.2108154296875,-0.21132859587669373,0.021087646484375,0.1728377491235733,0.02001774124801159,0.08609472215175629,32768.0,32768.0,pretrain,11,21,
500,0.0025969056878238916,0.1375732421875,-0.2261962890625,-0.2174072265625,-0.2210543155670166,0.0180511474609375,0.11847846210002899,0.07189345359802246,0.04759553074836731,32768.0,32768.0,pretrain,13,6,
600,0.001672345562838018,0.09796142578125,-0.19677734375,-0.19140625,-0.19070561230182648,0.01512908935546875,0.11219843477010727,0.04542288929224014,0.030036689713597298,32768.0,32768.0,pretrain,14,15,
700,0.0018648516852408648,0.09185791015625,-0.1754150390625,-0.1795654296875,-0.1770029067993164,0.0162200927734375,0.041019611060619354,0.037393324077129364,0.02010624296963215,32768.0,32768.0,pretrain,16,1,
800,0.0009072806569747627,0.0706787109375,-0.153076171875,-0.1649169921875,-0.15951764583587646,0.017791748046875,0.10438147932291031,0.07772495597600937,0.013233593665063381,32768.0,32768.0,pretrain,17,10,
900,0.0009183361544273794,0.05975341796875,-0.1363525390625,-0.1307373046875,-0.13623666763305664,0.01444244384765625,0.029215529561042786,0.064079649746418,0.009650499559938908,32768.0,32768.0,pretrain,18,19,
1000,0.0007908795960247517,0.050567626953125,-0.1236572265625,-0.1201171875,-0.12532953917980194,0.0122222900390625,0.038427192717790604,0.06856855750083923,0.007213060278445482,32768.0,32768.0,pretrain,20,5,
1100,0.0007286068284884095,0.0291595458984375,-0.11199951171875,-0.11016845703125,-0.1047038733959198,0.0120697021484375,0.13179433345794678,0.06517289578914642,0.0054158479906618595,32768.0,32768.0,pretrain,21,14,
1200,0.0006565299117937684,0.04583740234375,-0.09271240234375,-0.0966796875,-0.09521034359931946,0.0146636962890625,0.05439647287130356,0.05253647267818451,0.004713740199804306,32768.0,32768.0,pretrain,22,23,
1300,0.0009958581067621708,0.026214599609375,-0.07672119140625,-0.07928466796875,-0.0803411602973938,0.01438140869140625,0.06428777426481247,0.04354619234800339,0.003529544919729233,32768.0,32768.0,pretrain,24,9,
1400,0.000984176411293447,0.03143310546875,-0.06640625,-0.06024169921875,-0.06823550164699554,0.01428985595703125,0.052333056926727295,0.09943930059671402,0.0029566679149866104,32768.0,32768.0,pretrain,25,18,
1500,0.0009756076615303755,0.041290283203125,-0.0679931640625,-0.06964111328125,-0.07056760787963867,0.0144195556640625,0.0587555430829525,0.04704401269555092,0.001652474864386022,32768.0,32768.0,pretrain,27,3,
1600,0.0011328149121254683,0.048828125,-0.072021484375,-0.0655517578125,-0.06622572243213654,0.01959228515625,0.1299699991941452,0.04712647199630737,0.0005201352178119123,32768.0,32768.0,pretrain,28,13,
1700,0.0009505550842732191,0.06329345703125,-0.07049560546875,-0.07244873046875,-0.06993362307548523,0.017059326171875,0.03377474471926689,0.06017763912677765,0.001054623513482511,32768.0,32768.0,pretrain,29,22,
1800,0.0008321281638927758,0.06451416015625,-0.056732177734375,-0.0516357421875,-0.05593609809875488,0.016448974609375,0.032320212572813034,0.07215623557567596,0.0021876844111829996,32768.0,32768.0,pretrain,31,7,
1900,0.0009548233356326818,0.06866455078125,-0.059722900390625,-0.05926513671875,-0.05659518763422966,0.0153961181640625,0.05476033687591553,0.061947308480739594,0.005371049512177706,32768.0,32768.0,pretrain,32,17,
2000,0.0008065947913564742,0.08172607421875,-0.0694580078125,-0.0751953125,-0.06770490109920502,0.01537322998046875,0.048772819340229034,0.10969419777393341,0.10206029564142227,32768.0,32768.0,pretrain,34,2,
2100,0.0013035559095442295,0.04168701171875,-0.0728759765625,-0.06829833984375,-0.06066662073135376,0.0150604248046875,0.2348869889974594,0.10111528635025024,0.01425087358802557,65536.0,32768.0,pretrain,35,11,
2200,0.0007978876819834113,0.053863525390625,-0.0775146484375,-0.08184814453125,-0.08373855799436569,0.01560211181640625,0.12309401482343674,0.04131820425391197,0.006131968926638365,65536.0,32768.0,pretrain,36,21,
2300,0.0014372554142028093,0.039459228515625,-0.07470703125,-0.08050537109375,-0.06276683509349823,0.0162811279296875,0.19888538122177124,0.23203487694263458,0.005804658867418766,65536.0,32768.0,pretrain,38,6,
2400,0.0008962940773926675,0.057861328125,-0.0689697265625,-0.06878662109375,-0.06667663156986237,0.0151824951171875,0.059183117002248764,0.04415428638458252,0.002266757655888796,65536.0,32768.0,pretrain,39,15,
2500,0.0010394889395684004,0.037841796875,-0.05291748046875,-0.057769775390625,-0.052960727363824844,0.016082763671875,0.047176677733659744,0.06822598725557327,0.0019758951384574175,65536.0,32768.0,pretrain,41,1,
2600,0.0010498377960175276,0.036407470703125,-0.04132080078125,-0.05810546875,-0.054864510893821716,0.0216827392578125,0.22112537920475006,0.06650342792272568,0.0016527201514691114,65536.0,32768.0,pretrain,42,10,
2700,0.0009362541022710502,0.048614501953125,-0.055999755859375,-0.056610107421875,-0.05557152256369591,0.01641845703125,0.03232327848672867,0.05615011975169182,0.006043529603630304,65536.0,32768.0,pretrain,43,19,
2800,0.0014646052150055766,0.02569580078125,-0.0265960693359375,-0.04931640625,-0.04616202414035797,0.0254364013671875,0.29735496640205383,0.05244850367307663,0.03365255147218704,65536.0,32768.0,pretrain,45,5,
2900,0.0008453942136839032,0.043853759765625,-0.060211181640625,-0.060791015625,-0.06339424848556519,0.0155181884765625,0.07283961772918701,0.036389436572790146,0.040621206164360046,65536.0,32768.0,pretrain,46,14,
3000,0.0009284381521865726,0.036224365234375,-0.0478515625,-0.053558349609375,-0.05339253693819046,0.013824462890625,0.07796502858400345,0.03403070196509361,0.020187407732009888,65536.0,32768.0,pretrain,47,23,
3100,0.0008649916271679103,0.038909912109375,-0.050445556640625,-0.0509033203125,-0.05540323629975319,0.01558685302734375,0.06396505236625671,0.05536278337240219,0.01660543493926525,65536.0,32768.0,pretrain,49,9,
3200,0.0010797773720696568,0.053619384765625,-0.0660400390625,-0.0634765625,-0.061667248606681824,0.0165557861328125,0.07166842371225357,0.04384888708591461,0.06275077164173126,65536.0,32768.0,pretrain,50,18,
3300,0.0007588292937725782,0.043548583984375,-0.054534912109375,-0.050872802734375,-0.05350946635007858,0.01568603515625,0.036827076226472855,0.02980276197195053,0.016183549538254738,65536.0,32768.0,pretrain,52,3,
3400,0.0017370807472616434,0.046173095703125,-0.0489501953125,-0.056732177734375,-0.058747585862874985,0.0211639404296875,0.1458653062582016,0.05191562697291374,0.021878456696867943,65536.0,32768.0,pretrain,53,13,
3500,0.0020774444565176964,0.05078125,-0.060821533203125,-0.059478759765625,-0.06181158125400543,0.0193023681640625,0.03912109136581421,0.058841023594141006,0.02568184956908226,65536.0,32768.0,pretrain,54,22,
3600,0.0014647061470896006,0.060333251953125,-0.08697509765625,-0.07379150390625,-0.08111856877803802,0.021636962890625,0.08122105151414871,0.08392772078514099,0.043579135090112686,65536.0,32768.0,pretrain,56,7,
3700,0.0009359029354527593,0.04168701171875,-0.0684814453125,-0.06561279296875,-0.06250093877315521,0.01491546630859375,0.09435213357210159,0.04768027737736702,0.026580631732940674,65536.0,32768.0,pretrain,57,17,
3800,0.0011824443936347961,0.065673828125,-0.07159423828125,-0.06964111328125,-0.0768657848238945,0.0194854736328125,0.0794040858745575,0.07535161077976227,0.05871761962771416,65536.0,32768.0,pretrain,59,2,
3900,0.0012292596511542797,0.0372314453125,-0.03863525390625,-0.04241943359375,-0.05380220711231232,0.015838623046875,0.22160181403160095,0.1183064803481102,0.07582933455705643,65536.0,32768.0,pretrain,60,11,
4000,0.001025612116791308,0.0587158203125,-0.06549072265625,-0.0631103515625,-0.06744863092899323,0.0190277099609375,0.07214684784412384,0.07747125625610352,0.039236441254615784,65536.0,32768.0,pretrain,61,21,
4100,0.001167429843917489,0.037841796875,-0.057342529296875,-0.05126953125,-0.04876135662198067,0.0178680419921875,0.1385480910539627,0.05420779436826706,0.03752342239022255,131072.0,32768.0,pretrain,63,6,
4200,0.001158969011157751,0.0325927734375,-0.0528564453125,-0.0462646484375,-0.048035215586423874,0.0191650390625,0.09947573393583298,0.04657797887921333,0.07615569978952408,131072.0,32768.0,pretrain,64,15,
4300,0.0008870130986906588,0.0305633544921875,-0.0494384765625,-0.052581787109375,-0.049090638756752014,0.016082763671875,0.04354715347290039,0.04829404130578041,0.04944248124957085,131072.0,32768.0,pretrain,66,1,
