"stage","pass","position","original_episode"
"selection_fit",1,1,9
"selection_fit",1,2,35
"selection_fit",1,3,27
"selection_fit",1,4,2
"selection_fit",1,5,37
"selection_fit",1,6,13
"selection_fit",1,7,28
"selection_fit",1,8,26
"selection_fit",1,9,22
"selection_fit",1,10,33
"selection_fit",1,11,29
"selection_fit",1,12,5
"selection_fit",1,13,4
"selection_fit",1,14,16
"selection_fit",1,15,30
"selection_fit",1,16,32
"selection_fit",1,17,18
"selection_fit",1,18,19
"selection_fit",1,19,25
"selection_fit",1,20,24
"selection_fit",1,21,23
"selection_fit",1,22,15
"selection_fit",1,23,1
"selection_fit",1,24,7
"selection_fit",1,25,3
"selection_fit",1,26,20
"selection_fit",1,27,21
"selection_fit",1,28,17
"selection_fit",1,29,31
"selection_fit",1,30,34
"selection_fit",1,31,36
"selection_fit",1,32,12
"selection_fit",1,33,6
"selection_fit",1,34,8
"selection_fit",1,35,14
"selection_fit",1,36,10
"selection_fit",1,37,11
"all_history_refit",1,1,14
"all_history_refit",1,2,51
"all_history_refit",1,3,44
"all_history_refit",1,4,34
"all_history_refit",1,5,49
"all_history_refit",1,6,35
"all_history_refit",1,7,57
"all_history_refit",1,8,27
"all_history_refit",1,9,61
"all_history_refit",1,10,29
"all_history_refit",1,11,38
"all_history_refit",1,12,25
"all_history_refit",1,13,17
"all_history_refit",1,14,39
"all_history_refit",1,15,30
"all_history_refit",1,16,1
"all_history_refit",1,17,2
"all_history_refit",1,18,42
"all_history_refit",1,19,11
"all_history_refit",1,20,13
"all_history_refit",1,21,26
"all_history_refit",1,22,56
"all_history_refit",1,23,12
"all_history_refit",1,24,53
"all_history_refit",1,25,19
"all_history_refit",1,26,41
"all_history_refit",1,27,9
"all_history_refit",1,28,8
"all_history_refit",1,29,21
"all_history_refit",1,30,37
"all_history_refit",1,31,28
"all_history_refit",1,32,48
"all_history_refit",1,33,22
"all_history_refit",1,34,33
"all_history_refit",1,35,15
"all_history_refit",1,36,32
"all_history_refit",1,37,10
"all_history_refit",1,38,47
"all_history_refit",1,39,16
"all_history_refit",1,40,54
"all_history_refit",1,41,52
"all_history_refit",1,42,18
"all_history_refit",1,43,24
"all_history_refit",1,44,40
"all_history_refit",1,45,36
"all_history_refit",1,46,23
"all_history_refit",1,47,20
"all_history_refit",1,48,31
"all_history_refit",1,49,4
"all_history_refit",1,50,45
"all_history_refit",1,51,7
"all_history_refit",1,52,50
"all_history_refit",1,53,59
"all_history_refit",1,54,58
"all_history_refit",1,55,55
"all_history_refit",1,56,6
"all_history_refit",1,57,5
"all_history_refit",1,58,46
"all_history_refit",1,59,43
"all_history_refit",1,60,3
"all_history_refit",1,61,60
