update,critic_loss,actor_loss,q1_mean,q2_mean,target_q_mean,twin_q_gap,critic_grad_norm,critic2_grad_norm,actor_grad_norm,actor_mean_leverage_gate,actor_mean_direction_entropy,actor_mean_gross_exposure,actor_mean_max_abs_weight,critic_amp_scale,actor_amp_scale,stage,episode,step,pass
100,0.0031516379676759243,-0.039957765489816666,0.029979277402162552,0.030691567808389664,0.03020482137799263,0.021098081022500992,0.013282411731779575,0.021900510415434837,0.028565451502799988,0.09931917488574982,1.6267037391662598,1.0,0.157981276512146,1.0,1.0,pretrain,10,11,
200,0.0029143879655748606,-0.03281722217798233,0.02628389559686184,0.02734048292040825,0.024262726306915283,0.015254117548465729,0.03447992727160454,0.03563981503248215,0.008871433325111866,0.10153600573539734,1.7155914306640625,1.0,0.15769904851913452,1.0,1.0,pretrain,14,15,
300,0.002326364628970623,-0.03260175883769989,0.026767993345856667,0.03093044087290764,0.025234734639525414,0.015022912062704563,0.018652813509106636,0.060245465487241745,0.00646223034709692,0.10388360917568207,1.740791916847229,1.0,0.15483993291854858,1.0,1.0,pretrain,18,19,
400,0.002879026811569929,-0.04507129639387131,0.03432933986186981,0.03320673853158951,0.033190108835697174,0.015685321763157845,0.019122762605547905,0.012705298140645027,0.0033906910102814436,0.10649488866329193,1.736114740371704,1.0,0.15840646624565125,1.0,1.0,pretrain,22,23,
500,0.002573510631918907,-0.03840973600745201,0.033500730991363525,0.039715513586997986,0.02879440411925316,0.014769058674573898,0.05431167408823967,0.11636701226234436,0.0037474699784070253,0.10884895920753479,1.743798017501831,1.0,0.15743350982666016,1.0,1.0,pretrain,27,3,
600,0.002512421226128936,-0.02978736162185669,0.02335265837609768,0.0317918136715889,0.028410529717803,0.018237095326185226,0.06608516722917557,0.03779297322034836,0.0030542709864676,0.11135631799697876,1.7529494762420654,1.0,0.15585854649543762,1.0,1.0,pretrain,31,7,
700,0.0031294708605855703,-0.03556985408067703,0.02785305306315422,0.03157125785946846,0.02785174548625946,0.017247240990400314,0.02009975165128708,0.04314984381198883,0.002702973550185561,0.11423218995332718,1.7537362575531006,1.0,0.15775783360004425,1.0,1.0,pretrain,35,11,
800,0.0026753032580018044,-0.03273720294237137,0.02395343780517578,0.017686907202005386,0.02396923303604126,0.017580987885594368,0.029463592916727066,0.06884218007326126,0.0034468064550310373,0.11703741550445557,1.7517372369766235,1.0,0.1599874347448349,1.0,1.0,pretrain,39,15,
900,0.0024103624746203423,-0.021129362285137177,0.016971226781606674,0.021436015143990517,0.01702035218477249,0.015420866198837757,0.02424691617488861,0.0504106841981411,0.0031647495925426483,0.12070200592279434,1.747692346572876,1.0,0.16262710094451904,1.0,1.0,pretrain,43,19,
1000,0.0021227954421192408,-0.02272697538137436,0.011750739067792892,0.014698613435029984,0.022032789885997772,0.014179671183228493,0.10599284619092941,0.08271671831607819,0.006053759716451168,0.12538421154022217,1.7370549440383911,1.0,0.16673916578292847,1.0,1.0,pretrain,47,23,
1100,0.002790023572742939,-0.02367497980594635,0.012405792251229286,0.016837365925312042,0.01374394353479147,0.013812612742185593,0.021402603015303612,0.045353002846241,0.004281632136553526,0.13195915520191193,1.7206077575683594,1.0,0.1721770465373993,1.0,1.0,pretrain,52,3,
1200,0.002134927548468113,-0.030078455805778503,0.021354634314775467,0.018531199544668198,0.018768727779388428,0.013080770149827003,0.04490386322140694,0.026125634089112282,0.004414777271449566,0.14117228984832764,1.7096099853515625,1.0,0.176602303981781,1.0,1.0,pretrain,56,7,
1300,0.001985626295208931,-0.018699143081903458,0.0083507364615798,0.012290995568037033,0.008971551433205605,0.01613352820277214,0.02889322116971016,0.037478405982255936,0.00843794085085392,0.15082445740699768,1.7782998085021973,1.0,0.1706969439983368,1.0,1.0,pretrain,60,11,
1400,0.0024683084338903427,-0.02599429339170456,0.013458861038088799,0.00874012615531683,0.008947961032390594,0.014790751971304417,0.05792701616883278,0.01718273013830185,0.007118627429008484,0.1642257273197174,1.7800099849700928,1.0,0.1727726012468338,1.0,1.0,pretrain,64,15,
1500,0.002430680673569441,-0.01282934844493866,0.0031733692158013582,0.009453153237700462,0.006247507408261299,0.016199251636862755,0.05270037800073624,0.03472159430384636,0.010564484633505344,0.18244068324565887,1.7699440717697144,1.0,0.17807692289352417,1.0,1.0,pretrain,68,19,
