update,critic_loss,actor_loss,q1_mean,q2_mean,target_q_mean,twin_q_gap,critic_grad_norm,critic2_grad_norm,actor_grad_norm,actor_mean_leverage_gate,actor_mean_direction_entropy,actor_leverage_penalty,actor_mean_gross_exposure,actor_mean_max_abs_weight,actor_gate_gross_mae,critic_amp_scale,actor_amp_scale,stage,episode,step,pass
100,0.010565675795078278,0.22770467400550842,-0.24141579866409302,-0.23571151494979858,-0.2435164451599121,0.020692013204097748,0.04245980456471443,0.07208812981843948,0.018191976472735405,0.10232685506343842,1.1492609977722168,0.0,1.0511634349822998,0.22929051518440247,1.1152587831020355e-07,1.0,1.0,pretrain,10,11,
200,0.009656226262450218,0.21964333951473236,-0.23285189270973206,-0.23287254571914673,-0.2328886091709137,0.017962230369448662,0.026331506669521332,0.02483776956796646,0.017412394285202026,0.10634870082139969,1.1470979452133179,0.0,1.053174376487732,0.2404901087284088,1.050066202878952e-07,1.0,1.0,pretrain,14,15,
300,0.009248904883861542,0.2212941199541092,-0.22791631519794464,-0.22748959064483643,-0.23265378177165985,0.01998184435069561,0.06495537608861923,0.06590761244297028,0.017359333112835884,0.11276586353778839,1.1420555114746094,0.0,1.0563828945159912,0.2689887583255768,9.749783203005791e-08,1.0,1.0,pretrain,18,19,
400,0.00681220181286335,0.21417272090911865,-0.23368863761425018,-0.22912262380123138,-0.22854232788085938,0.017857631668448448,0.06816588342189789,0.01981559582054615,0.01725565642118454,0.12188741564750671,1.1315656900405884,0.0,1.060943841934204,0.3042238652706146,1.1175870895385742e-07,1.0,1.0,pretrain,22,23,
500,0.006701159290969372,0.18987838923931122,-0.2057989239692688,-0.21639692783355713,-0.22473131120204926,0.01974344812333584,0.24183447659015656,0.08768032491207123,0.016466110944747925,0.13452371954917908,1.117648720741272,0.0,1.0672619342803955,0.33458858728408813,1.073349267244339e-07,1.0,1.0,pretrain,27,3,
600,0.005972923710942268,0.20643362402915955,-0.22420379519462585,-0.21845027804374695,-0.21491234004497528,0.017877481877803802,0.12232334166765213,0.04585329815745354,0.014465449377894402,0.14968758821487427,1.1033210754394531,0.0,1.0748438835144043,0.35850024223327637,1.1117663234472275e-07,1.0,1.0,pretrain,31,7,
700,0.0071249837055802345,0.1965537667274475,-0.2120477259159088,-0.2104710340499878,-0.20503415167331696,0.0199319738894701,0.09478164464235306,0.05807117000222206,0.011838800273835659,0.16655609011650085,1.0922282934188843,0.0,1.0832780599594116,0.3724513649940491,1.1420343071222305e-07,1.0,1.0,pretrain,35,11,
800,0.005855845287442207,0.20051155984401703,-0.22167836129665375,-0.22729745507240295,-0.21152788400650024,0.019748663529753685,0.1425388753414154,0.17350424826145172,0.011671841144561768,0.18529069423675537,1.0822566747665405,0.0,1.0926454067230225,0.378295361995697,1.1688098311424255e-07,1.0,1.0,pretrain,39,15,
900,0.004486060701310635,0.1836901754140854,-0.19191741943359375,-0.1947443038225174,-0.1991042196750641,0.016837144270539284,0.09440121054649353,0.048948515206575394,0.01195607054978609,0.20714616775512695,1.0718493461608887,0.0,1.1035730838775635,0.38157251477241516,9.73232090473175e-08,1.0,1.0,pretrain,43,19,
1000,0.004872967954725027,0.18974453210830688,-0.20624986290931702,-0.19274011254310608,-0.19274617731571198,0.018205154687166214,0.17041388154029846,0.023479126393795013,0.011865908280014992,0.2330513894557953,1.061330795288086,0.0,1.1165257692337036,0.3826197683811188,9.487848728895187e-08,1.0,1.0,pretrain,47,23,
