"stage","pass","position","original_episode"
"selection_fit",1,1,37
"selection_fit",1,2,11
"selection_fit",1,3,33
"selection_fit",1,4,20
"selection_fit",1,5,12
"selection_fit",1,6,13
"selection_fit",1,7,14
"selection_fit",1,8,30
"selection_fit",1,9,29
"selection_fit",1,10,25
"selection_fit",1,11,36
"selection_fit",1,12,6
"selection_fit",1,13,18
"selection_fit",1,14,2
"selection_fit",1,15,17
"selection_fit",1,16,9
"selection_fit",1,17,21
"selection_fit",1,18,19
"selection_fit",1,19,16
"selection_fit",1,20,27
"selection_fit",1,21,4
"selection_fit",1,22,8
"selection_fit",1,23,32
"selection_fit",1,24,31
"selection_fit",1,25,3
"selection_fit",1,26,23
"selection_fit",1,27,24
"selection_fit",1,28,1
"selection_fit",1,29,10
"selection_fit",1,30,35
"selection_fit",1,31,28
"selection_fit",1,32,26
"selection_fit",1,33,7
"selection_fit",1,34,22
"selection_fit",1,35,5
"selection_fit",1,36,34
"selection_fit",1,37,15
"all_history_refit",1,1,11
"all_history_refit",1,2,54
"all_history_refit",1,3,23
"all_history_refit",1,4,8
"all_history_refit",1,5,21
"all_history_refit",1,6,3
"all_history_refit",1,7,31
"all_history_refit",1,8,19
"all_history_refit",1,9,58
"all_history_refit",1,10,5
"all_history_refit",1,11,16
"all_history_refit",1,12,60
"all_history_refit",1,13,13
"all_history_refit",1,14,40
"all_history_refit",1,15,45
"all_history_refit",1,16,17
"all_history_refit",1,17,25
"all_history_refit",1,18,22
"all_history_refit",1,19,47
"all_history_refit",1,20,36
"all_history_refit",1,21,44
"all_history_refit",1,22,55
"all_history_refit",1,23,29
"all_history_refit",1,24,18
"all_history_refit",1,25,20
"all_history_refit",1,26,59
"all_history_refit",1,27,24
"all_history_refit",1,28,27
"all_history_refit",1,29,49
"all_history_refit",1,30,41
"all_history_refit",1,31,37
"all_history_refit",1,32,12
"all_history_refit",1,33,56
"all_history_refit",1,34,32
"all_history_refit",1,35,10
"all_history_refit",1,36,30
"all_history_refit",1,37,4
"all_history_refit",1,38,7
"all_history_refit",1,39,50
"all_history_refit",1,40,48
"all_history_refit",1,41,1
"all_history_refit",1,42,43
"all_history_refit",1,43,35
"all_history_refit",1,44,39
"all_history_refit",1,45,42
"all_history_refit",1,46,26
"all_history_refit",1,47,14
"all_history_refit",1,48,34
"all_history_refit",1,49,28
"all_history_refit",1,50,52
"all_history_refit",1,51,33
"all_history_refit",1,52,57
"all_history_refit",1,53,6
"all_history_refit",1,54,15
"all_history_refit",1,55,9
"all_history_refit",1,56,2
"all_history_refit",1,57,46
"all_history_refit",1,58,61
"all_history_refit",1,59,53
"all_history_refit",1,60,38
"all_history_refit",1,61,51
