update,critic_loss,actor_loss,q1_mean,q2_mean,target_q_mean,twin_q_gap,critic_grad_norm,critic2_grad_norm,actor_grad_norm,actor_mean_leverage_gate,actor_mean_direction_entropy,actor_leverage_penalty,actor_mean_gross_exposure,actor_mean_max_abs_weight,actor_gate_gross_mae,critic_amp_scale,actor_amp_scale,stage,episode,step,pass
100,0.003716500010341406,0.14776843786239624,-0.15747027099132538,-0.1588709056377411,-0.16202421486377716,0.024084769189357758,0.04917430877685547,0.03590552881360054,0.011587075889110565,0.09983818233013153,1.1496500968933105,0.0,1.0499191284179688,0.22288811206817627,1.1280644685029984e-07,1.0,1.0,pretrain,10,11,
200,0.004844227805733681,0.1547720730304718,-0.16523656249046326,-0.16518187522888184,-0.168526291847229,0.020043648779392242,0.03464902937412262,0.03517300635576248,0.009871073998510838,0.10299508273601532,1.1475281715393066,0.0,1.051497459411621,0.23108430206775665,1.1047814041376114e-07,1.0,1.0,pretrain,14,15,
300,0.0036599594168365,0.15124565362930298,-0.16673365235328674,-0.16632843017578125,-0.16112260520458221,0.016662538051605225,0.05454624444246292,0.05996817350387573,0.009410442784428596,0.10796252638101578,1.1409883499145508,0.0,1.0539813041687012,0.2582980990409851,1.096632331609726e-07,1.0,1.0,pretrain,18,19,
400,0.003560697892680764,0.14897915720939636,-0.16490760445594788,-0.16015172004699707,-0.16403993964195251,0.014953449368476868,0.021697256714105606,0.04760172590613365,0.008484059944748878,0.11646125465631485,1.1307950019836426,0.0,1.0582306385040283,0.2748335003852844,1.1414522305130959e-07,1.0,1.0,pretrain,22,23,
500,0.003454080782830715,0.1459185779094696,-0.1617603749036789,-0.15934452414512634,-0.16098055243492126,0.01586790755391121,0.012995348311960697,0.021242927759885788,0.008665470406413078,0.12886206805706024,1.120834469795227,0.0,1.064431071281433,0.29238229990005493,1.1513475328683853e-07,1.0,1.0,pretrain,27,3,
600,0.004582355730235577,0.14133159816265106,-0.1548517495393753,-0.1603124439716339,-0.15943458676338196,0.01609579473733902,0.04761206731200218,0.028983930125832558,0.009263682179152966,0.14519725739955902,1.111426591873169,0.0,1.0725986957550049,0.31653326749801636,1.1245720088481903e-07,1.0,1.0,pretrain,31,7,
700,0.0031409813091158867,0.1390380710363388,-0.16040489077568054,-0.16155067086219788,-0.15834008157253265,0.01300494372844696,0.02692115120589733,0.04212260618805885,0.010752547532320023,0.16511432826519012,1.103493332862854,0.0,1.082557201385498,0.34247487783432007,1.0023359209299088e-07,1.0,1.0,pretrain,35,11,
800,0.004077461548149586,0.1300591677427292,-0.14691698551177979,-0.15521180629730225,-0.15336287021636963,0.01572354882955551,0.07307149469852448,0.02894843928515911,0.0116121806204319,0.18981337547302246,1.0951075553894043,0.0,1.0949068069458008,0.3667752146720886,1.1490192264318466e-07,1.0,1.0,pretrain,39,15,
900,0.003376770531758666,0.1498803198337555,-0.16302335262298584,-0.16440775990486145,-0.15662866830825806,0.012749748304486275,0.0710526555776596,0.09059478342533112,0.011413991451263428,0.21882835030555725,1.086247444152832,0.0,1.1094141006469727,0.38361024856567383,1.0943040251731873e-07,1.0,1.0,pretrain,43,19,
1000,0.0035478053614497185,0.14039447903633118,-0.1572084277868271,-0.158164843916893,-0.14966939389705658,0.012916789390146732,0.07875559478998184,0.09402713924646378,0.011273616924881935,0.2536691725254059,1.0767700672149658,0.0,1.1268346309661865,0.4007475674152374,1.2654345482587814e-07,1.0,1.0,pretrain,47,23,
