"seed","output_dir","training_status","sanity_status","no_holdout_gate_pass","pretrained_mean_reward","full_mean_reward","finetune_reward_delta","pretrained_mean_terminal_wealth","full_mean_terminal_wealth","finetune_terminal_wealth_delta","full_mean_cvar","full_median_turnover","full_mean_leverage_gate","full_std_leverage_gate","full_mean_normalized_entropy","full_mean_effective_positions","full_zero_vine_median_action_l1","full_zero_market_median_action_l1","full_zero_market_median_gate_change"
20260741,"data/rl_runs/seed_20260741",1,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20260742,"data/rl_runs/seed_20260742",1,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20260743,"data/rl_runs/seed_20260743",1,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20260744,"data/rl_runs/seed_20260744",1,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20260745,"data/rl_runs/seed_20260745",1,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20260746,"data/rl_runs/seed_20260746",1,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20260747,"data/rl_runs/seed_20260747",1,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20260748,"data/rl_runs/seed_20260748",1,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20260749,"data/rl_runs/seed_20260749",1,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20260750,"data/rl_runs/seed_20260750",1,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20260751,"data/rl_runs/seed_20260751",1,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20260752,"data/rl_runs/seed_20260752",1,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20260753,"data/rl_runs/seed_20260753",1,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20260754,"data/rl_runs/seed_20260754",1,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20260755,"data/rl_runs/seed_20260755",1,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20260756,"data/rl_runs/seed_20260756",1,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20260757,"data/rl_runs/seed_20260757",1,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20260758,"data/rl_runs/seed_20260758",1,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20260759,"data/rl_runs/seed_20260759",1,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20260760,"data/rl_runs/seed_20260760",1,1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
