"asset_i","asset_j","historical_correlation","synthetic_correlation","absolute_error","historical_ci_lower","historical_ci_upper","pass_correlation","statistically_compatible"
"SP500","NASDAQ",0.944630895942701,0.927382234898349,0.0172486610443523,0.919186371095774,0.962986020362675,TRUE,TRUE
"SP500","DOW",0.949151092190377,0.943737715427112,0.00541337676326414,0.919270453235134,0.968539980011679,TRUE,TRUE
"SP500","SSE50",0.353054445799659,0.348165678768381,0.00488876703127822,0.118870367350753,0.567799274713597,TRUE,TRUE
"SP500","DIVIDEND",0.324686883773623,0.348584279929547,0.023897396155924,0.130056699008269,0.488804370328064,TRUE,TRUE
"SP500","CHINEXT",0.299694338201908,0.257386047258651,0.0423082909432568,0.129502797245854,0.448975467073552,TRUE,TRUE
"SP500","GOLD",-0.0816607177252361,-0.0907372055495795,0.00907648782434343,-0.231360055407759,0.0697399365043397,TRUE,TRUE
"NASDAQ","DOW",0.826845655220616,0.858661719247749,0.0318160640271339,0.732250016835703,0.891532558700586,TRUE,TRUE
"NASDAQ","SSE50",0.363858348135544,0.376414667219857,0.0125563190843129,0.136938008108364,0.559150457799609,TRUE,TRUE
"NASDAQ","DIVIDEND",0.316465554012541,0.345052980241403,0.0285874262288615,0.140045519164336,0.475963630930478,TRUE,TRUE
"NASDAQ","CHINEXT",0.348157369907034,0.303903202428399,0.0442541674786349,0.191176198330115,0.494612579807905,TRUE,TRUE
"NASDAQ","GOLD",-0.10800686102042,-0.0966299498812596,0.0113769111391608,-0.255769482633409,0.0493219978161536,TRUE,TRUE
"DOW","SSE50",0.350534179460681,0.382389108165784,0.0318549287051027,0.109408094034234,0.568155587713652,TRUE,TRUE
"DOW","DIVIDEND",0.320421710296357,0.368927775988026,0.048506065691669,0.115330819885446,0.491715749398146,TRUE,TRUE
"DOW","CHINEXT",0.256370224571845,0.2595668966036,0.00319667203175517,0.091808706390075,0.419903493630585,TRUE,TRUE
"DOW","GOLD",-0.10307552335701,-0.101168624552114,0.00190689880489651,-0.240606476270429,0.0442056119893575,TRUE,TRUE
"SSE50","DIVIDEND",0.744966014969528,0.787612013685666,0.0426459987161375,0.553328416646935,0.863627192339514,TRUE,TRUE
"SSE50","CHINEXT",0.650772359726252,0.573734323598966,0.0770380361272854,0.490183448948235,0.770580334736448,TRUE,TRUE
"SSE50","GOLD",-0.0122899853781621,-0.0870644011621783,0.0747744157840161,-0.197040003743571,0.170931751593477,TRUE,TRUE
"DIVIDEND","CHINEXT",0.514562494526225,0.413072830104582,0.101489664421642,0.203375297194159,0.693492986707169,FALSE,TRUE
"DIVIDEND","GOLD",-0.136259726650586,-0.173800963516956,0.037541236866369,-0.300006718354503,0.0283127834274577,TRUE,TRUE
"CHINEXT","GOLD",-0.023830597600314,0.0145932538498644,0.0384238514501784,-0.227016588371834,0.188624559274645,TRUE,TRUE
