"asset_i","asset_j","historical_lower_tail","synthetic_lower_tail","absolute_error","historical_tail_events","historical_joint_tail_events","historical_ci_lower","historical_ci_upper","synthetic_tail_events","synthetic_joint_tail_events","synthetic_ci_lower","synthetic_ci_upper","pass_lower_tail","statistic"
"SP500","NASDAQ",0.666666666666667,0.694166666666667,0.0275000000000001,6,4,0.222778095503512,0.956728131707258,1200,833,0.667227755017973,0.720150409505292,TRUE,"5pct_conditional_coexceedance"
"SP500","DOW",0.833333333333333,0.755833333333333,0.0775,6,5,0.358765421002325,0.995789255485511,1200,907,0.730501315331937,0.779904965900688,TRUE,"5pct_conditional_coexceedance"
"SP500","SSE50",0,0.168333333333333,0.168333333333333,6,0,0,0.4592581264399,1200,202,0.147579836944126,0.190726077441419,TRUE,"5pct_conditional_coexceedance"
"SP500","DIVIDEND",0,0.178333333333333,0.178333333333333,6,0,0,0.4592581264399,1200,214,0.157067554917292,0.20118804430299,TRUE,"5pct_conditional_coexceedance"
"SP500","CHINEXT",0.166666666666667,0.155833333333333,0.0108333333333333,6,1,0.00421074451448947,0.641234578997675,1200,187,0.135758414655186,0.17761061530687,TRUE,"5pct_conditional_coexceedance"
"SP500","GOLD",0,0.0483333333333333,0.0483333333333333,6,0,0,0.4592581264399,1200,58,0.0369029555229412,0.0620368880617961,TRUE,"5pct_conditional_coexceedance"
"NASDAQ","DOW",0.5,0.6075,0.1075,6,3,0.118117248757025,0.881882751242975,1200,729,0.579219290075301,0.635252490574038,TRUE,"5pct_conditional_coexceedance"
"NASDAQ","SSE50",0,0.181666666666667,0.181666666666667,6,0,0,0.4592581264399,1200,218,0.160235813916533,0.204669711098356,TRUE,"5pct_conditional_coexceedance"
"NASDAQ","DIVIDEND",0,0.181666666666667,0.181666666666667,6,0,0,0.4592581264399,1200,218,0.160235813916533,0.204669711098356,TRUE,"5pct_conditional_coexceedance"
"NASDAQ","CHINEXT",0.166666666666667,0.174166666666667,0.00750000000000001,6,1,0.00421074451448947,0.641234578997675,1200,209,0.153111176874939,0.196832036190583,TRUE,"5pct_conditional_coexceedance"
"NASDAQ","GOLD",0,0.0458333333333333,0.0458333333333333,6,0,0,0.4592581264399,1200,55,0.0347115684369804,0.0592432866070483,TRUE,"5pct_conditional_coexceedance"
"DOW","SSE50",0,0.191666666666667,0.191666666666667,6,0,0,0.4592581264399,1200,230,0.169756806648741,0.215098578821703,TRUE,"5pct_conditional_coexceedance"
"DOW","DIVIDEND",0,0.195833333333333,0.195833333333333,6,0,0,0.4592581264399,1200,235,0.173730811178077,0.219437050158663,TRUE,"5pct_conditional_coexceedance"
"DOW","CHINEXT",0,0.153333333333333,0.153333333333333,6,0,0,0.4592581264399,1200,184,0.133399548434416,0.174982138129408,TRUE,"5pct_conditional_coexceedance"
"DOW","GOLD",0,0.0458333333333333,0.0458333333333333,6,0,0,0.4592581264399,1200,55,0.0347115684369804,0.0592432866070483,TRUE,"5pct_conditional_coexceedance"
"SSE50","DIVIDEND",0.5,0.605,0.105,6,3,0.118117248757025,0.881882751242975,1200,726,0.576694742300724,0.632789333573405,TRUE,"5pct_conditional_coexceedance"
"SSE50","CHINEXT",0.5,0.388333333333333,0.111666666666667,6,3,0.118117248757025,0.881882751242975,1200,466,0.360643933610191,0.416571446324312,TRUE,"5pct_conditional_coexceedance"
"SSE50","GOLD",0.166666666666667,0.0591666666666667,0.1075,6,1,0.00421074451448947,0.641234578997675,1200,71,0.046495346829717,0.0740482207606558,TRUE,"5pct_conditional_coexceedance"
"DIVIDEND","CHINEXT",0.5,0.278333333333333,0.221666666666667,6,3,0.118117248757025,0.881882751242975,1200,334,0.253127804429756,0.30462993575379,TRUE,"5pct_conditional_coexceedance"
"DIVIDEND","GOLD",0.166666666666667,0.0366666666666667,0.13,6,1,0.00421074451448947,0.641234578997675,1200,44,0.0267660613542748,0.0489128031208316,TRUE,"5pct_conditional_coexceedance"
"CHINEXT","GOLD",0.166666666666667,0.0708333333333333,0.0958333333333333,6,1,0.00421074451448947,0.641234578997675,1200,85,0.0569677642034885,0.0868440336759511,TRUE,"5pct_conditional_coexceedance"
