"regime","asset","var_05","cvar_05"
"historical_finetune","SP500",-0.0779512913476148,-0.105759258482592
"historical_finetune","NASDAQ",-0.094245996267562,-0.115233663171402
"historical_finetune","DOW",-0.0683751853692367,-0.102535989715556
"historical_finetune","SSE50",-0.0812259283694992,-0.128563337118877
"historical_finetune","DIVIDEND",-0.0774944255504085,-0.134576097508507
"historical_finetune","CHINEXT",-0.13406598621456,-0.206099919439797
"historical_finetune","GOLD",-0.0415408481631415,-0.0618108269798256
"synthetic_pretrain","SP500",-0.0842041192493347,-0.106423460259221
"synthetic_pretrain","NASDAQ",-0.0949492475484563,-0.115262959800271
"synthetic_pretrain","DOW",-0.0689004966980391,-0.104284176088127
"synthetic_pretrain","SSE50",-0.0815593553163298,-0.131001993395206
"synthetic_pretrain","DIVIDEND",-0.0827415274255478,-0.141276970163886
"synthetic_pretrain","CHINEXT",-0.135762687960367,-0.209788138425634
"synthetic_pretrain","GOLD",-0.0422416268986215,-0.0617349025937758
