stage,pass,episode,reward,noise,terminal_wealth,mean_turnover,q95_turnover,mean_cvar,mean_gross_exposure,fraction_at_gross_cap,mean_short_notional,max_abs_weight,mean_leverage_gate,q95_leverage_gate,std_leverage_gate,mean_effective_leverage,gate_gross_mae,fraction_at_position_cap,mean_direction_entropy,total_actions,update_count
pretrain,,1,-0.14892832920869936,0.15,95657.94302300636,1.1098005840001903,1.7129114542549106,0.08628069574405041,1.2671450367197394,0.0,0.13357251835986972,0.36128005385398865,0.53429004487892,0.8536030977964402,0.21049661666105188,0.5342900734394789,5.534717016179395e-08,0.0,1.1277458220720291,24,0
pretrain,,2,-0.03858591950109768,0.14702685651,106476.37859872426,1.0779276693801905,1.5431699132559313,0.08284206406000183,1.2457728736945206,0.0,0.1228864368472603,0.40145958960056305,0.4915457218885422,0.7827755540609359,0.18210537436679045,0.4915457473890412,5.8229835268412224e-08,0.0,1.135297526915868,48,0
pretrain,,3,-0.1286475546943275,0.14411264356808084,96940.75614603212,1.053243212906069,1.5221586892211934,0.08090806994411485,1.2789658609489423,0.0,0.13948293047447113,0.3869853434818131,0.5579317274192969,0.8551614314317703,0.19969368556328107,0.5579317218978844,6.299731989771e-08,0.0,1.1312023003896077,72,0
pretrain,,4,-0.13196061081008842,0.14125619311440663,96699.28506433357,1.0499318842408476,1.5459701215596484,0.08152233476552552,1.2539596633453456,0.0,0.1269798316726727,0.406848098550524,0.5079193133860826,0.8609384983777997,0.20085179500757974,0.5079193266906908,4.3284325401682366e-08,0.0,1.1308149149020512,96,0
pretrain,,5,0.012438107353538027,0.13845636024120475,110877.69382192698,0.4476465149142088,0.8483325398612347,0.0713893603215942,1.079965295070516,0.0,0.039982647535258126,0.3630440618310656,0.159930559185644,0.4784713342785832,0.1630574761965725,0.15993059014103236,5.006967555380252e-08,0.0,1.144534667332967,120,0
pretrain,,6,0.06491849405499511,0.13571202273386987,117498.98906383749,0.33997337034315606,0.48145597960101166,0.07000862815555658,1.0496997219909516,0.0,0.02484986099547575,0.26109793236745255,0.0993994049107035,0.11571973972022533,0.011371598862498897,0.099399443981903,4.776354349071236e-08,0.0,1.1480953494707744,144,17
pretrain,,7,0.24423830618744394,0.1330220806211636,149507.9888056856,0.28614124497905796,0.5167166809495409,0.07241759544133657,1.0507749547361442,0.0,0.025387477368072047,0.2605426592220153,0.10154987499117851,0.11490352749824524,0.009355914327839556,0.10154990947228813,5.590152883187353e-08,0.0,1.1470896701018016,168,41
pretrain,,8,-0.09147216579982188,0.1303854557343298,99640.664244488,0.3618214382309303,0.7731160677412484,0.07322154121719869,1.0506530611199283,0.0,0.025326530559964134,0.2647823180471148,0.10130610068639119,0.12114110179245471,0.011686861026560538,0.10130612223985651,4.669917486044284e-08,0.0,1.1460240731636684,192,65
pretrain,,9,0.043496003449185174,0.12780109127494843,115696.3594098867,0.35399368075936555,0.764186309150733,0.07681047050175387,1.0493609211407602,0.0,0.02468046057038011,0.265975760029895,0.09872182396550973,0.11651013791561127,0.010465894474252089,0.09872184228152037,5.4327150185902916e-08,0.0,1.1447485238313675,216,89
pretrain,,10,0.12489480244677602,0.12526795139135502,128781.39255273376,0.4493456920367287,0.7509055677635261,0.08216291784182546,1.0495890119068678,0.0,0.02479450595343399,0.2807788165020091,0.09917802487810452,0.11733940802514552,0.009447514751634278,0.09917802381373587,4.9759234714101076e-08,0.0,1.142045333981514,240,113
pretrain,,11,-0.06130513665839948,0.12278502076345608,104043.67361174036,0.38933912665344517,0.7343656865340764,0.08347524393011226,1.0522785215594228,0.0,0.026139260779711477,0.2793116890160101,0.10455703952660163,0.11881326101720333,0.010869972649956842,0.10455704311884585,5.512542668636063e-08,0.0,1.1406832585732143,264,137
pretrain,,12,0.08424507386177191,0.1203513041957735,122466.58477078682,0.3803118917666153,0.7332917287201007,0.08267138279605128,1.0515564265993558,0.0,0.025778213299677857,0.29268664015190937,0.10311281929413478,0.12286060750484466,0.013248597717318856,0.10311285319871138,4.9337922099675545e-08,0.0,1.1385494867960613,288,161
pretrain,,13,-0.2774910551673842,0.11796582621855568,84918.46727144325,0.3933283293244632,0.7300557495186231,0.08324241897700062,1.0534504562660698,0.0,0.02672522813303486,0.29475170360612013,0.10690090743203957,0.11833019182085991,0.009776115918506556,0.10690091253213942,6.15116386160075e-08,0.0,1.136475995182991,312,185
pretrain,,14,-0.319535902156426,0.11562763069679453,82241.04913064202,0.3169818453754443,0.6966197912625073,0.08633175533950216,1.0533350435795175,0.0,0.026667521789758706,0.2935947240995509,0.10667006267855565,0.122259970754385,0.012861295509640477,0.10667008715903474,6.08907569181009e-08,0.0,1.1334850837786992,336,209
pretrain,,15,0.01606509409878443,0.11333578044699254,114142.10930664747,0.40348784704679624,0.7065490381050645,0.08986170583589075,1.0530156411696225,0.0,0.026507820584811288,0.30780989530363256,0.10603125921140115,0.12041211649775505,0.010447398853264903,0.10603128233924508,6.033639824802132e-08,0.0,1.1314591666062672,360,233
pretrain,,16,-0.4467260315867547,0.11108935686152556,74702.65773316947,0.32083020549980545,0.597289773670064,0.09007131089557303,1.054721901503702,0.0,0.027360950751851017,0.3025237100997141,0.10944379617770512,0.12249667011201382,0.008681946964100972,0.10944380300740403,3.9071199405456745e-08,0.0,1.1291301896174748,384,257
pretrain,,17,0.07837836015414473,0.10888745954045136,122109.52993237259,0.40709711831756223,0.6907091718061281,0.08557061587811145,1.0547058341270756,0.0,0.02735291706353783,0.3087044086839471,0.10941167486210664,0.12803793996572493,0.012096003450677344,0.10941166825415118,4.3195628018910526e-08,0.0,1.127254957954089,408,281
pretrain,,18,-0.268504640797864,0.1067292059306158,85731.6804528226,0.40281036910916307,0.6789455867683836,0.08506223984318738,1.0544505134291415,0.0,0.02722525671457075,0.3277297824887293,0.1089010074113806,0.1300165761262178,0.012224122601507256,0.108901026858283,4.3838684090265666e-08,0.0,1.1220571547746658,432,305
pretrain,,19,0.0886812070868656,0.10461373097191261,123320.6523168142,0.37387654899355044,0.6964917311941096,0.0836871722751102,1.0567548486204552,0.0,0.028377424310227606,0.3197060180827975,0.11350966865817706,0.12368908412754535,0.009233131450889933,0.11350969724091035,5.927202954373693e-08,0.0,1.1195927957693736,456,329
pretrain,,20,0.033102807782468616,0.10254018675055424,116581.26509487497,0.3797841695839445,0.6867305243550533,0.090938696103593,1.0587466472338531,0.0,0.029373323616926534,0.3326940769329667,0.11749328393489122,0.13181544616818427,0.010750773727299327,0.11749329446770608,3.3771530516535364e-08,0.0,1.1169001311063766,480,353
pretrain,,21,-0.3351435020834567,0.1005077421592156,80846.79705669046,0.32282908281771,0.6576593776695521,0.08186343433547065,1.0598608324681187,0.0,0.02993041623405936,0.32655070762016947,0.11972161537657182,0.1358885295689106,0.010810947254757139,0.11972166493623738,6.747653796823627e-08,0.0,1.1128975301980972,504,377
pretrain,,22,0.07220385707637587,0.0985155825639138,121694.59915502097,0.34138228520604574,0.6420487977747561,0.08838915750499858,1.0619992785200123,0.0,0.030999639260006106,0.3328965324908495,0.12399854324758053,0.13947099968791007,0.009834264458703501,0.12399855704002434,4.133298288818329e-08,0.0,1.107291171948115,528,401
pretrain,,23,0.03298389372655494,0.09656290947749073,116288.38311168597,0.4336333761871452,0.6489540907680351,0.0892374852090579,1.0637086891857466,0.0,0.031854344592873195,0.3397594642426286,0.1274173486356934,0.143353483825922,0.011539777957766216,0.12741737837149275,5.94937730746814e-08,0.0,1.1037576645612717,552,425
