update,critic_loss,actor_loss,q1_mean,q2_mean,target_q_mean,twin_q_gap,critic_grad_norm,critic2_grad_norm,actor_grad_norm,actor_mean_leverage_gate,actor_mean_direction_entropy,actor_leverage_penalty,actor_mean_gross_exposure,actor_mean_max_abs_weight,actor_gate_gross_mae,critic_amp_scale,actor_amp_scale,stage,episode,step,pass
100,0.00804841797798872,0.11416305601596832,-0.12186768651008606,-0.12743277847766876,-0.12730230391025543,0.027590841054916382,0.05363329499959946,0.013605966232717037,0.022070571780204773,0.10181567072868347,1.1487030982971191,0.0,1.050907850265503,0.2304532825946808,1.1257361620664597e-07,1.0,1.0,pretrain,10,11,
200,0.006094951648265123,0.11561986804008484,-0.12483905255794525,-0.12867093086242676,-0.12000218033790588,0.021129105240106583,0.04971355199813843,0.1014442890882492,0.02161153219640255,0.10466338694095612,1.145384430885315,0.0,1.0523316860198975,0.2385348081588745,1.0913936421275139e-07,1.0,1.0,pretrain,14,15,
300,0.004075921606272459,0.11556105315685272,-0.12922489643096924,-0.12036822736263275,-0.11625812947750092,0.016224395483732224,0.12808668613433838,0.04942667856812477,0.016843309625983238,0.1105731874704361,1.1408166885375977,0.0,1.0552866458892822,0.2594878077507019,1.1210795491933823e-07,1.0,1.0,pretrain,18,19,
400,0.0045435624197125435,0.11308553069829941,-0.12485233694314957,-0.13032960891723633,-0.12500162422657013,0.015405391342937946,0.012351779267191887,0.06259738653898239,0.014116047881543636,0.11812570691108704,1.1382653713226318,0.0,1.0590628385543823,0.2763914167881012,1.1164229363203049e-07,1.0,1.0,pretrain,22,23,
500,0.0053513795137405396,0.11435405910015106,-0.12699508666992188,-0.12261347472667694,-0.1269090175628662,0.01446537859737873,0.015194272622466087,0.0539388433098793,0.011750712990760803,0.12642209231853485,1.1343994140625,0.0,1.0632110834121704,0.2914336323738098,1.1606607586145401e-07,1.0,1.0,pretrain,27,3,
600,0.0045151556842029095,0.11072523891925812,-0.12180837988853455,-0.11565287411212921,-0.12501952052116394,0.01505955122411251,0.0349116325378418,0.11244581639766693,0.012968120165169239,0.13634487986564636,1.129905104637146,0.0,1.0681724548339844,0.3046048879623413,1.0686926543712616e-07,1.0,1.0,pretrain,31,7,
700,0.0027921637520194054,0.11769240349531174,-0.12916097044944763,-0.12719246745109558,-0.1250317245721817,0.014627909287810326,0.043143853545188904,0.037319861352443695,0.013497993350028992,0.14974014461040497,1.123156189918518,0.0,1.0748701095581055,0.318969190120697,1.1944212019443512e-07,1.0,1.0,pretrain,35,11,
800,0.003195131430402398,0.11337324231863022,-0.124409019947052,-0.12466244399547577,-0.12820908427238464,0.01725640892982483,0.03856804221868515,0.045536838471889496,0.013591492548584938,0.1667623072862625,1.1149992942810059,0.0,1.083381175994873,0.33367860317230225,1.0721851140260696e-07,1.0,1.0,pretrain,39,15,
900,0.003959638066589832,0.11336711049079895,-0.12484666705131531,-0.11101682484149933,-0.12271672487258911,0.019512660801410675,0.02678443305194378,0.13699422776699066,0.012751313857734203,0.18862943351268768,1.1051764488220215,0.0,1.094314694404602,0.349678635597229,1.1490192264318466e-07,1.0,1.0,pretrain,43,19,
1000,0.003011480439454317,0.10607190430164337,-0.11598695814609528,-0.11600561439990997,-0.1177905797958374,0.012732544913887978,0.029859524220228195,0.02830226719379425,0.011975430883467197,0.21523892879486084,1.0954493284225464,0.0,1.1076194047927856,0.3631681501865387,1.180451363325119e-07,1.0,1.0,pretrain,47,23,
1100,0.0033985069021582603,0.10929892212152481,-0.11719547212123871,-0.1332578808069229,-0.12031612545251846,0.019002195447683334,0.03417328745126724,0.15066245198249817,0.011873829178512096,0.24631863832473755,1.0866543054580688,0.0,1.123159408569336,0.3726154565811157,1.1723022907972336e-07,1.0,1.0,pretrain,52,3,
1200,0.002836679108440876,0.10504108667373657,-0.11669082194566727,-0.1131218671798706,-0.12016528099775314,0.014057382009923458,0.038517385721206665,0.08525059372186661,0.013059777207672596,0.28420576453208923,1.0768604278564453,0.0,1.1421029567718506,0.37966638803482056,1.287553459405899e-07,1.0,1.0,pretrain,56,7,
1300,0.0024885341990739107,0.10214666277170181,-0.11561558395624161,-0.10604271292686462,-0.11927905678749084,0.015320543199777603,0.03733095899224281,0.15509337186813354,0.014191712252795696,0.32954123616218567,1.0666275024414062,0.0,1.1647706031799316,0.38698530197143555,1.1734664440155029e-07,1.0,1.0,pretrain,60,11,
1400,0.0034244880080223083,0.10436265915632248,-0.11702077090740204,-0.1128876805305481,-0.12108249217271805,0.013803837820887566,0.046978019177913666,0.0985540896654129,0.014225563034415245,0.38213932514190674,1.0566068887710571,0.0,1.1910696029663086,0.39539021253585815,1.126900315284729e-07,1.0,1.0,pretrain,64,15,
1500,0.0032344646751880646,0.11297038197517395,-0.12249426543712616,-0.12387552112340927,-0.1201774924993515,0.01173585094511509,0.026569444686174393,0.04465126246213913,0.014665753580629826,0.442152202129364,1.0497210025787354,0.0,1.2210760116577148,0.40679922699928284,1.1734664440155029e-07,1.0,1.0,pretrain,68,19,
1600,0.002498229267075658,0.10408594459295273,-0.11020219326019287,-0.10504119843244553,-0.11436404287815094,0.013601183891296387,0.04440489411354065,0.10898423194885254,0.015165972523391247,0.5106131434440613,1.0437380075454712,0.0,1.255306601524353,0.4171777367591858,1.0663643479347229e-07,1.0,1.0,pretrain,72,23,
1700,0.002559128450229764,0.09909761697053909,-0.11006776988506317,-0.11488744616508484,-0.11378486454486847,0.010487519204616547,0.039296261966228485,0.019096659496426582,0.013059563934803009,0.5780295133590698,1.0379480123519897,0.0,1.2890148162841797,0.4295993447303772,1.1594966053962708e-07,1.0,1.0,pretrain,77,3,
