update,critic_loss,actor_loss,q1_mean,q2_mean,target_q_mean,twin_q_gap,critic_grad_norm,critic2_grad_norm,actor_grad_norm,actor_mean_leverage_gate,actor_mean_direction_entropy,actor_leverage_penalty,actor_mean_gross_exposure,actor_mean_max_abs_weight,actor_gate_gross_mae,critic_amp_scale,actor_amp_scale,stage,episode,step,pass
100,0.005097685847431421,-0.1803082823753357,0.16372643411159515,0.17131160199642181,0.17425641417503357,0.014852249063551426,0.13353653252124786,0.025880789384245872,0.012711918912827969,0.10189919918775558,1.1497012376785278,0.0,1.0509495735168457,0.22214767336845398,1.1204974725842476e-07,1.0,1.0,pretrain,10,11,
200,0.006812583655118942,-0.1833282858133316,0.16811713576316833,0.1701582819223404,0.16582456231117249,0.01422839891165495,0.03624314069747925,0.04127083346247673,0.011464755982160568,0.10580505430698395,1.1463618278503418,0.0,1.0529024600982666,0.23597589135169983,1.0593794286251068e-07,1.0,1.0,pretrain,14,15,
300,0.004810137674212456,-0.17988312244415283,0.16623905301094055,0.16377027332782745,0.1662045419216156,0.01176188699901104,0.029606977477669716,0.028042852878570557,0.012132256291806698,0.11085403710603714,1.1396242380142212,0.0,1.0554269552230835,0.2657533586025238,1.1635711416602135e-07,1.0,1.0,pretrain,18,19,
400,0.008359584957361221,-0.17471837997436523,0.1662677526473999,0.16852664947509766,0.15780451893806458,0.013828186318278313,0.10891277343034744,0.095457524061203,0.009382789023220539,0.11786056309938431,1.128541111946106,0.0,1.0589302778244019,0.31033989787101746,1.1705560609698296e-07,1.0,1.0,pretrain,22,23,
500,0.004506115801632404,-0.1862366795539856,0.17249003052711487,0.1697724163532257,0.16501763463020325,0.013762285932898521,0.09777124226093292,0.04674781486392021,0.006447778549045324,0.1273154318332672,1.1176162958145142,0.0,1.0636577606201172,0.3421245515346527,1.0640360414981842e-07,1.0,1.0,pretrain,27,3,
600,0.00490641500800848,-0.17948772013187408,0.1653461456298828,0.16361357271671295,0.1628843992948532,0.013489516451954842,0.0405685119330883,0.02487431839108467,0.0067349751479923725,0.13776981830596924,1.1083056926727295,0.0,1.0688848495483398,0.36428189277648926,1.2293457984924316e-07,1.0,1.0,pretrain,31,7,
700,0.004625072702765465,-0.17056642472743988,0.1623571217060089,0.1634359359741211,0.15639452636241913,0.012736707925796509,0.08313850313425064,0.06894972175359726,0.006068605463951826,0.14950016140937805,1.0999491214752197,0.0,1.0747500658035278,0.38757258653640747,1.1012889444828033e-07,1.0,1.0,pretrain,35,11,
800,0.004370308481156826,-0.1822027862071991,0.1727229654788971,0.16961681842803955,0.16032379865646362,0.012758822180330753,0.1742032915353775,0.09818845242261887,0.006702032405883074,0.16204588115215302,1.0950615406036377,0.0,1.0810229778289795,0.39864498376846313,1.0721851140260696e-07,1.0,1.0,pretrain,39,15,
900,0.004668497946113348,-0.16517728567123413,0.15008431673049927,0.1480095088481903,0.15030717849731445,0.013311510905623436,0.022543571889400482,0.02539186365902424,0.00815065111964941,0.17612320184707642,1.093827247619629,0.0,1.0880615711212158,0.3917231559753418,1.19674950838089e-07,1.0,1.0,pretrain,43,19,
1000,0.0018648109398782253,-0.1729339063167572,0.1634535789489746,0.15650004148483276,0.15910083055496216,0.014532111585140228,0.05953683331608772,0.031260620802640915,0.009194870479404926,0.19539569318294525,1.0870556831359863,0.0,1.0976978540420532,0.37872642278671265,1.1734664440155029e-07,1.0,1.0,pretrain,47,23,
1100,0.004467769525945187,-0.1539536863565445,0.15027351677417755,0.15173183381557465,0.15113341808319092,0.014298886060714722,0.023412611335515976,0.016252372413873672,0.01028408668935299,0.21826627850532532,1.0782808065414429,0.0,1.1091331243515015,0.35689777135849,1.1851079761981964e-07,1.0,1.0,pretrain,52,3,
1200,0.0031325682066380978,-0.16611884534358978,0.15374094247817993,0.1521880030632019,0.15271849930286407,0.01408312562853098,0.022959072142839432,0.02129722759127617,0.010959412902593613,0.243515282869339,1.0731725692749023,0.0,1.1217576265335083,0.3719235062599182,1.1082738637924194e-07,1.0,1.0,pretrain,56,7,
1300,0.003005710896104574,-0.16394464671611786,0.15085461735725403,0.1558208018541336,0.15253561735153198,0.015233663842082024,0.031731102615594864,0.0380508229136467,0.011702786199748516,0.28094378113746643,1.065044641494751,0.0,1.1404718160629272,0.4095773696899414,1.0686926543712616e-07,1.0,1.0,pretrain,60,11,
1400,0.003568206448107958,-0.16658516228199005,0.15465718507766724,0.15048307180404663,0.14753565192222595,0.015484565868973732,0.09939341247081757,0.0357094444334507,0.012241892516613007,0.3259950280189514,1.058300256729126,0.0,1.1629976034164429,0.44349735975265503,1.1944212019443512e-07,1.0,1.0,pretrain,64,15,
1500,0.003562755649909377,-0.1687362939119339,0.15367551147937775,0.15094885230064392,0.15409350395202637,0.016855258494615555,0.027772732079029083,0.03624309226870537,0.011709960177540779,0.38187670707702637,1.053104043006897,0.0,1.1909383535385132,0.46540021896362305,1.1688098311424255e-07,1.0,1.0,pretrain,68,19,
1600,0.002912296447902918,-0.15878523886203766,0.13832515478134155,0.14042359590530396,0.15448780357837677,0.016079599037766457,0.23836857080459595,0.14501507580280304,0.011414354667067528,0.4451417326927185,1.0491700172424316,0.0,1.2225708961486816,0.4799681007862091,1.1082738637924194e-07,1.0,1.0,pretrain,72,23,
1700,0.0031701112166047096,-0.1628357470035553,0.14774656295776367,0.14724771678447723,0.14360177516937256,0.016464225947856903,0.06729889661073685,0.04069046303629875,0.010334216058254242,0.5102252960205078,1.0465502738952637,0.0,1.255112648010254,0.4906180500984192,1.210719347000122e-07,1.0,1.0,pretrain,77,3,
1800,0.0028647887520492077,-0.1606239676475525,0.14534568786621094,0.14195457100868225,0.14888308942317963,0.016524117439985275,0.06462264806032181,0.07600294053554535,0.011443926021456718,0.5736666321754456,1.0435574054718018,0.0,1.2868332862854004,0.4983673095703125,1.210719347000122e-07,1.0,1.0,pretrain,81,7,
1900,0.003233195748180151,-0.15552456676959991,0.1448879987001419,0.1452166736125946,0.14124803245067596,0.01597084291279316,0.05874726548790932,0.04329916834831238,0.010690592229366302,0.646443247795105,1.0343694686889648,0.0,1.3232216835021973,0.5058012008666992,1.2014061212539673e-07,1.0,1.0,pretrain,85,11,
2000,0.003171712625771761,-0.14985448122024536,0.1347038894891739,0.14154492318630219,0.1410561501979828,0.0164368636906147,0.09800740331411362,0.02265012077987194,0.01135325524955988,0.7155066728591919,1.027321457862854,0.0,1.3577533960342407,0.5129615068435669,1.1827796697616577e-07,1.0,1.0,pretrain,89,15,
2100,0.0024049272760748863,-0.16413654386997223,0.14819613099098206,0.14787514507770538,0.15142083168029785,0.014784569852054119,0.05005922541022301,0.042584847658872604,0.010050037875771523,0.7684563994407654,1.0200387239456177,0.0,1.384228229522705,0.5195629596710205,1.3597309589385986e-07,1.0,1.0,pretrain,93,19,
2200,0.003265298902988434,-0.15391755104064941,0.14316022396087646,0.14405947923660278,0.13767047226428986,0.015810713171958923,0.0895896926522255,0.06946755945682526,0.003043120726943016,0.8043052554130554,1.0166071653366089,7.277994154719636e-05,1.40215265750885,0.5270166397094727,1.2991949915885925e-07,1.0,1.0,pretrain,97,23,
2300,0.0036413264460861683,-0.14457279443740845,0.1396949589252472,0.13721784949302673,0.12729613482952118,0.013629167340695858,0.18827252089977264,0.1070191040635109,0.003031747881323099,0.8026413917541504,1.0184286832809448,7.53169588278979e-05,1.4013208150863647,0.5316066741943359,1.3597309589385986e-07,1.0,1.0,pretrain,102,3,
2400,0.002901412546634674,-0.1558288037776947,0.1435059756040573,0.14085225760936737,0.13359969854354858,0.016099095344543457,0.1404251605272293,0.08298490196466446,0.004366805776953697,0.7988272905349731,1.0218173265457153,0.00010197812662227079,1.3994135856628418,0.5362386107444763,1.2246891856193542e-07,1.0,1.0,pretrain,106,7,
2500,0.003851064946502447,-0.14480949938297272,0.13261917233467102,0.12626735866069794,0.13440251350402832,0.016465194523334503,0.03786094859242439,0.10480106621980667,0.005062101408839226,0.796668529510498,1.020737648010254,8.63764580572024e-05,1.398334264755249,0.5366484522819519,1.1688098311424255e-07,1.0,1.0,pretrain,110,11,
2600,0.003399872686713934,-0.1390121579170227,0.12489734590053558,0.12206048518419266,0.13096122443675995,0.015607663430273533,0.08282659202814102,0.09282529354095459,0.003522716462612152,0.7882391810417175,1.0194517374038696,0.00010660418774932623,1.3941196203231812,0.5357973575592041,1.1408701539039612e-07,1.0,1.0,pretrain,114,15,
2700,0.002702362835407257,-0.13845095038414001,0.13521844148635864,0.14228969812393188,0.1297115534543991,0.01613583229482174,0.08072904497385025,0.13365262746810913,0.005011653061956167,0.7798054814338684,1.0141406059265137,9.568419773131609e-05,1.3899025917053223,0.534599781036377,1.0943040251731873e-07,1.0,1.0,pretrain,118,19,
2800,0.0034688953310251236,-0.13765761256217957,0.13491389155387878,0.13984522223472595,0.12639696896076202,0.014717978425323963,0.12601487338542938,0.1382974088191986,0.007698213681578636,0.7793381214141846,1.010680079460144,6.651894364040345e-05,1.3896690607070923,0.5369151830673218,1.1455267667770386e-07,1.0,1.0,pretrain,122,23,
2900,0.0023154227528721094,-0.14045369625091553,0.12706038355827332,0.12875401973724365,0.13785430788993835,0.015172233805060387,0.15764421224594116,0.10054045170545578,0.005614278372377157,0.7818840742111206,1.0044255256652832,0.00010836931323865429,1.390942096710205,0.53868567943573,1.1920928955078125e-07,1.0,1.0,pretrain,127,3,
