experiment_id,seed_policy_count,protocol_eligible_count,all_economic_diagnostics_pass_count,report_only_included_count,economic_warning_count,economic_warning_fraction,economic_warning_metrics,operational_sources,selection_rule
a2c_lstm_full,10,10,10,0,0,0.0,,v3_strict_path,intent_to_train_no_economic_gate_selection
ddpg_lstm_full,10,10,10,0,0,0.0,,v2_strict,intent_to_train_no_economic_gate_selection
feedforward_capacity_matched,10,10,8,2,2,0.2,mean_turnover,v3_strict_path;v4_report_only,intent_to_train_no_economic_gate_selection
full_vine_state_and_cvar_observation,10,10,10,0,0,0.0,,v2_strict,intent_to_train_no_economic_gate_selection
historical_only_no_synthetic_pretraining,10,10,0,10,10,1.0,mean_turnover,v4_report_only,intent_to_train_no_economic_gate_selection
keep_vine_features_zero_cvar_observation,10,10,10,0,0,0.0,,v2_strict,intent_to_train_no_economic_gate_selection
moving_block_bootstrap_pretraining,10,10,0,10,10,1.0,mean_turnover,v4_report_only,intent_to_train_no_economic_gate_selection
ppo_lstm_full,10,10,10,0,0,0.0,,v3_strict_path,intent_to_train_no_economic_gate_selection
pretrained_only_no_historical_finetuning,10,10,10,0,0,0.0,,v2_strict,intent_to_train_no_economic_gate_selection
sac_lstm_full,10,10,3,7,7,0.7,mean_effective_positions;mean_normalized_direction_entropy,v3_strict_path;v4_report_only,intent_to_train_no_economic_gate_selection
zero_cvar_reward_keep_state,10,10,10,0,0,0.0,,v2_strict,intent_to_train_no_economic_gate_selection
zero_vine_features_and_cvar_observation,10,10,10,0,0,0.0,,v2_strict,intent_to_train_no_economic_gate_selection
zero_vine_features_keep_cvar_observation,10,10,10,0,0,0.0,,v2_strict,intent_to_train_no_economic_gate_selection
