job_family,experiment_id,seed,output_dir,scientific_question,contract_sha256,RL_ALGORITHM,POLICY_ENCODER,VINE_FEATURE_MODE,CVAR_OBSERVATION_MODE,CVAR_REWARD_MODE,PRETRAIN_DATA_MODE,RUN_FINETUNE,SYNTHETIC_RETURNS_FILE,CHECKPOINT_PREFIX,LR_ACTOR,LR_CRITIC,ENTROPY_COEF,PRETRAIN_BEHAVIOR_GATE_MODE,declared_pretrain_behavior_gate_mode,operational_source,gate_path_equivalence
rl_algorithm_control,a2c_lstm_full,20261001,data/publication_extension_runs_v3/a2c_lstm_full/seed_20261001,Matched-seed A2C control.,22f51d786982416771cd5139eb252d2e3745e65170f045a2a332bcaeb7e50fad,a2c,lstm,full,full,full,vine_synthetic,true,data/synthetic_returns.RData,a2c_lstm_vine,0.0003,0.001,0.005,strict,report_only,v3_strict_path,all_metrics_passed_no_branch_difference
rl_algorithm_control,a2c_lstm_full,20261002,data/publication_extension_runs_v3/a2c_lstm_full/seed_20261002,Matched-seed A2C control.,22f51d786982416771cd5139eb252d2e3745e65170f045a2a332bcaeb7e50fad,a2c,lstm,full,full,full,vine_synthetic,true,data/synthetic_returns.RData,a2c_lstm_vine,0.0003,0.001,0.005,strict,report_only,v3_strict_path,all_metrics_passed_no_branch_difference
rl_algorithm_control,a2c_lstm_full,20261003,data/publication_extension_runs_v3/a2c_lstm_full/seed_20261003,Matched-seed A2C control.,22f51d786982416771cd5139eb252d2e3745e65170f045a2a332bcaeb7e50fad,a2c,lstm,full,full,full,vine_synthetic,true,data/synthetic_returns.RData,a2c_lstm_vine,0.0003,0.001,0.005,strict,report_only,v3_strict_path,all_metrics_passed_no_branch_difference
rl_algorithm_control,a2c_lstm_full,20261004,data/publication_extension_runs_v3/a2c_lstm_full/seed_20261004,Matched-seed A2C control.,22f51d786982416771cd5139eb252d2e3745e65170f045a2a332bcaeb7e50fad,a2c,lstm,full,full,full,vine_synthetic,true,data/synthetic_returns.RData,a2c_lstm_vine,0.0003,0.001,0.005,strict,report_only,v3_strict_path,all_metrics_passed_no_branch_difference
rl_algorithm_control,a2c_lstm_full,20261005,data/publication_extension_runs_v3/a2c_lstm_full/seed_20261005,Matched-seed A2C control.,22f51d786982416771cd5139eb252d2e3745e65170f045a2a332bcaeb7e50fad,a2c,lstm,full,full,full,vine_synthetic,true,data/synthetic_returns.RData,a2c_lstm_vine,0.0003,0.001,0.005,strict,report_only,v3_strict_path,all_metrics_passed_no_branch_difference
rl_algorithm_control,a2c_lstm_full,20261006,data/publication_extension_runs_v3/a2c_lstm_full/seed_20261006,Matched-seed A2C control.,22f51d786982416771cd5139eb252d2e3745e65170f045a2a332bcaeb7e50fad,a2c,lstm,full,full,full,vine_synthetic,true,data/synthetic_returns.RData,a2c_lstm_vine,0.0003,0.001,0.005,strict,report_only,v3_strict_path,all_metrics_passed_no_branch_difference
rl_algorithm_control,a2c_lstm_full,20261007,data/publication_extension_runs_v3/a2c_lstm_full/seed_20261007,Matched-seed A2C control.,22f51d786982416771cd5139eb252d2e3745e65170f045a2a332bcaeb7e50fad,a2c,lstm,full,full,full,vine_synthetic,true,data/synthetic_returns.RData,a2c_lstm_vine,0.0003,0.001,0.005,strict,report_only,v3_strict_path,all_metrics_passed_no_branch_difference
rl_algorithm_control,a2c_lstm_full,20261008,data/publication_extension_runs_v3/a2c_lstm_full/seed_20261008,Matched-seed A2C control.,22f51d786982416771cd5139eb252d2e3745e65170f045a2a332bcaeb7e50fad,a2c,lstm,full,full,full,vine_synthetic,true,data/synthetic_returns.RData,a2c_lstm_vine,0.0003,0.001,0.005,strict,report_only,v3_strict_path,all_metrics_passed_no_branch_difference
rl_algorithm_control,a2c_lstm_full,20261009,data/publication_extension_runs_v3/a2c_lstm_full/seed_20261009,Matched-seed A2C control.,22f51d786982416771cd5139eb252d2e3745e65170f045a2a332bcaeb7e50fad,a2c,lstm,full,full,full,vine_synthetic,true,data/synthetic_returns.RData,a2c_lstm_vine,0.0003,0.001,0.005,strict,report_only,v3_strict_path,all_metrics_passed_no_branch_difference
rl_algorithm_control,a2c_lstm_full,20261010,data/publication_extension_runs_v3/a2c_lstm_full/seed_20261010,Matched-seed A2C control.,22f51d786982416771cd5139eb252d2e3745e65170f045a2a332bcaeb7e50fad,a2c,lstm,full,full,full,vine_synthetic,true,data/synthetic_returns.RData,a2c_lstm_vine,0.0003,0.001,0.005,strict,report_only,v3_strict_path,all_metrics_passed_no_branch_difference
