strategy_id,label,method,seed,role,completed,gate_pass,ensemble_group,include_main,include_inference,report_seed_distribution,weight_log_path,weight_log_sha256,checkpoint_path,checkpoint_sha256,config_sha256,code_sha256,train_seconds,evaluation_seconds,notes,experiment_id,strategy_level,protocol_eligibility_pass,behavior_gate_pass,behavior_gate_mode,behavior_gate_failed_metrics,operational_source,manifest_directory
a2c_lstm_full__seed_20261001,a2c_lstm_full seed 20261001,a2c_lstm_full,20261001,ablation,True,True,,False,False,True,../causal_policy_weights_v2_v3_v4_accounting_v2/weights/a2c_lstm_full/seed_20261001/weights_rl_full_seed_20261001.csv,ff47604bc52a09d1994f53bdb37fc648a1b380b2ae3cd57461d258dafda65dcb,../../data/publication_extension_runs_v3/a2c_lstm_full/seed_20261001/a2c_lstm_vine_full.pt,baa7c3a97b1c7a3c252596e64b3fc07ac21e87bcb44e37b40151f452ac25f13d,767bf7747c2f21ad8d76fae2717351d2b476200532c47e8a2253a59f0b14afd7,ddd584c0d065808ce26f4e581ded4cd0c996da2a269d1b9fca4fcbee1cd2e2ca,,,"Matched training seed; not an independent market path; gate_pass denotes fail-closed protocol eligibility, while behavior_gate_pass reports every economic diagnostic",a2c_lstm_full,seed,True,True,strict,,v3_strict_path,/gabirel/copula-portfolio-clean/analysis_outputs/causal_evaluation_interface_v2_v3_v4_plot_runtime_v1
a2c_lstm_full__seed_20261002,a2c_lstm_full seed 20261002,a2c_lstm_full,20261002,ablation,True,True,,False,False,True,../causal_policy_weights_v2_v3_v4_accounting_v2/weights/a2c_lstm_full/seed_20261002/weights_rl_full_seed_20261002.csv,e7051d1f7ee8af9b4a45980758877396dbe84e8acd7351d4478355ca934c8396,../../data/publication_extension_runs_v3/a2c_lstm_full/seed_20261002/a2c_lstm_vine_full.pt,c3b47e6a111fa200cfe27eada6177c1db165b6ee6c5e8f14973e0cd058abfcb3,767bf7747c2f21ad8d76fae2717351d2b476200532c47e8a2253a59f0b14afd7,ddd584c0d065808ce26f4e581ded4cd0c996da2a269d1b9fca4fcbee1cd2e2ca,,,"Matched training seed; not an independent market path; gate_pass denotes fail-closed protocol eligibility, while behavior_gate_pass reports every economic diagnostic",a2c_lstm_full,seed,True,True,strict,,v3_strict_path,/gabirel/copula-portfolio-clean/analysis_outputs/causal_evaluation_interface_v2_v3_v4_plot_runtime_v1
a2c_lstm_full__seed_20261003,a2c_lstm_full seed 20261003,a2c_lstm_full,20261003,ablation,True,True,,False,False,True,../causal_policy_weights_v2_v3_v4_accounting_v2/weights/a2c_lstm_full/seed_20261003/weights_rl_full_seed_20261003.csv,bb3efed846fddb33697893c788b7f1475d014fbf78f4787c2aefc81f6cb0b772,../../data/publication_extension_runs_v3/a2c_lstm_full/seed_20261003/a2c_lstm_vine_full.pt,26eea0485b8df3212df5ef93bba54b1a19d5b34db0b6f43ff09bb22527052436,767bf7747c2f21ad8d76fae2717351d2b476200532c47e8a2253a59f0b14afd7,ddd584c0d065808ce26f4e581ded4cd0c996da2a269d1b9fca4fcbee1cd2e2ca,,,"Matched training seed; not an independent market path; gate_pass denotes fail-closed protocol eligibility, while behavior_gate_pass reports every economic diagnostic",a2c_lstm_full,seed,True,True,strict,,v3_strict_path,/gabirel/copula-portfolio-clean/analysis_outputs/causal_evaluation_interface_v2_v3_v4_plot_runtime_v1
a2c_lstm_full__seed_20261004,a2c_lstm_full seed 20261004,a2c_lstm_full,20261004,ablation,True,True,,False,False,True,../causal_policy_weights_v2_v3_v4_accounting_v2/weights/a2c_lstm_full/seed_20261004/weights_rl_full_seed_20261004.csv,aa56312b2339b5fed2221590356dd84c893a1b11df0c42f76fdd1c454f979586,../../data/publication_extension_runs_v3/a2c_lstm_full/seed_20261004/a2c_lstm_vine_full.pt,b07396d752fbb6708cb64e5e80024890789fb6995dec379d7dc979eb39de0050,767bf7747c2f21ad8d76fae2717351d2b476200532c47e8a2253a59f0b14afd7,ddd584c0d065808ce26f4e581ded4cd0c996da2a269d1b9fca4fcbee1cd2e2ca,,,"Matched training seed; not an independent market path; gate_pass denotes fail-closed protocol eligibility, while behavior_gate_pass reports every economic diagnostic",a2c_lstm_full,seed,True,True,strict,,v3_strict_path,/gabirel/copula-portfolio-clean/analysis_outputs/causal_evaluation_interface_v2_v3_v4_plot_runtime_v1
a2c_lstm_full__seed_20261005,a2c_lstm_full seed 20261005,a2c_lstm_full,20261005,ablation,True,True,,False,False,True,../causal_policy_weights_v2_v3_v4_accounting_v2/weights/a2c_lstm_full/seed_20261005/weights_rl_full_seed_20261005.csv,8fd4912c250b1742c84f4ebcfc258b7afb57ff9fd7f499236007ee6a3831d635,../../data/publication_extension_runs_v3/a2c_lstm_full/seed_20261005/a2c_lstm_vine_full.pt,2baef96b3b8d0fe07740c38c16e9e866add9cf338d7fbeeb94dafd88d09810e2,767bf7747c2f21ad8d76fae2717351d2b476200532c47e8a2253a59f0b14afd7,ddd584c0d065808ce26f4e581ded4cd0c996da2a269d1b9fca4fcbee1cd2e2ca,,,"Matched training seed; not an independent market path; gate_pass denotes fail-closed protocol eligibility, while behavior_gate_pass reports every economic diagnostic",a2c_lstm_full,seed,True,True,strict,,v3_strict_path,/gabirel/copula-portfolio-clean/analysis_outputs/causal_evaluation_interface_v2_v3_v4_plot_runtime_v1
a2c_lstm_full__seed_20261006,a2c_lstm_full seed 20261006,a2c_lstm_full,20261006,ablation,True,True,,False,False,True,../causal_policy_weights_v2_v3_v4_accounting_v2/weights/a2c_lstm_full/seed_20261006/weights_rl_full_seed_20261006.csv,2e26e0145868554a0282b7a845bda3ac8d8003326e40ed1cbd9f7ddf4897948d,../../data/publication_extension_runs_v3/a2c_lstm_full/seed_20261006/a2c_lstm_vine_full.pt,a29be7a3d0d72f29ef62fabca224e1da1ee689fdfbcf334e2d3b7e699c074569,767bf7747c2f21ad8d76fae2717351d2b476200532c47e8a2253a59f0b14afd7,ddd584c0d065808ce26f4e581ded4cd0c996da2a269d1b9fca4fcbee1cd2e2ca,,,"Matched training seed; not an independent market path; gate_pass denotes fail-closed protocol eligibility, while behavior_gate_pass reports every economic diagnostic",a2c_lstm_full,seed,True,True,strict,,v3_strict_path,/gabirel/copula-portfolio-clean/analysis_outputs/causal_evaluation_interface_v2_v3_v4_plot_runtime_v1
a2c_lstm_full__seed_20261007,a2c_lstm_full seed 20261007,a2c_lstm_full,20261007,ablation,True,True,,False,False,True,../causal_policy_weights_v2_v3_v4_accounting_v2/weights/a2c_lstm_full/seed_20261007/weights_rl_full_seed_20261007.csv,d040a95e01a9e077473552bd4c4f7419de1660b412a032b763b2c10abb1d09d1,../../data/publication_extension_runs_v3/a2c_lstm_full/seed_20261007/a2c_lstm_vine_full.pt,89665a1701a12cdb99c5587ef211e3025055edd036015ab580f0585eb70f92cb,767bf7747c2f21ad8d76fae2717351d2b476200532c47e8a2253a59f0b14afd7,ddd584c0d065808ce26f4e581ded4cd0c996da2a269d1b9fca4fcbee1cd2e2ca,,,"Matched training seed; not an independent market path; gate_pass denotes fail-closed protocol eligibility, while behavior_gate_pass reports every economic diagnostic",a2c_lstm_full,seed,True,True,strict,,v3_strict_path,/gabirel/copula-portfolio-clean/analysis_outputs/causal_evaluation_interface_v2_v3_v4_plot_runtime_v1
a2c_lstm_full__seed_20261008,a2c_lstm_full seed 20261008,a2c_lstm_full,20261008,ablation,True,True,,False,False,True,../causal_policy_weights_v2_v3_v4_accounting_v2/weights/a2c_lstm_full/seed_20261008/weights_rl_full_seed_20261008.csv,486733a6356f82a6500c377ab982d010ed3ffcc236365e4d07daa0854b69a557,../../data/publication_extension_runs_v3/a2c_lstm_full/seed_20261008/a2c_lstm_vine_full.pt,ac7d4678a866a9c4dbc5e3699751953f90814dcde09ad276e16da537687681f0,767bf7747c2f21ad8d76fae2717351d2b476200532c47e8a2253a59f0b14afd7,ddd584c0d065808ce26f4e581ded4cd0c996da2a269d1b9fca4fcbee1cd2e2ca,,,"Matched training seed; not an independent market path; gate_pass denotes fail-closed protocol eligibility, while behavior_gate_pass reports every economic diagnostic",a2c_lstm_full,seed,True,True,strict,,v3_strict_path,/gabirel/copula-portfolio-clean/analysis_outputs/causal_evaluation_interface_v2_v3_v4_plot_runtime_v1
a2c_lstm_full__seed_20261009,a2c_lstm_full seed 20261009,a2c_lstm_full,20261009,ablation,True,True,,False,False,True,../causal_policy_weights_v2_v3_v4_accounting_v2/weights/a2c_lstm_full/seed_20261009/weights_rl_full_seed_20261009.csv,554f2db6634c401e70e28a641a726c9d68499752b9c57bb08aa7e7b3016e3773,../../data/publication_extension_runs_v3/a2c_lstm_full/seed_20261009/a2c_lstm_vine_full.pt,65ac780a937497855135012d2cafb28f7f7625053af140a1f0aec9843d67303e,767bf7747c2f21ad8d76fae2717351d2b476200532c47e8a2253a59f0b14afd7,ddd584c0d065808ce26f4e581ded4cd0c996da2a269d1b9fca4fcbee1cd2e2ca,,,"Matched training seed; not an independent market path; gate_pass denotes fail-closed protocol eligibility, while behavior_gate_pass reports every economic diagnostic",a2c_lstm_full,seed,True,True,strict,,v3_strict_path,/gabirel/copula-portfolio-clean/analysis_outputs/causal_evaluation_interface_v2_v3_v4_plot_runtime_v1
a2c_lstm_full__seed_20261010,a2c_lstm_full seed 20261010,a2c_lstm_full,20261010,ablation,True,True,,False,False,True,../causal_policy_weights_v2_v3_v4_accounting_v2/weights/a2c_lstm_full/seed_20261010/weights_rl_full_seed_20261010.csv,98137e271324f9bd40eaf4cb3d1b3aaedc7b670600a35c5efdab0783b67dd4ad,../../data/publication_extension_runs_v3/a2c_lstm_full/seed_20261010/a2c_lstm_vine_full.pt,1861f988fcd85871ac4586faec4b7a2093ea31e2fabd554b9c5020949e79c60a,767bf7747c2f21ad8d76fae2717351d2b476200532c47e8a2253a59f0b14afd7,ddd584c0d065808ce26f4e581ded4cd0c996da2a269d1b9fca4fcbee1cd2e2ca,,,"Matched training seed; not an independent market path; gate_pass denotes fail-closed protocol eligibility, while behavior_gate_pass reports every economic diagnostic",a2c_lstm_full,seed,True,True,strict,,v3_strict_path,/gabirel/copula-portfolio-clean/analysis_outputs/causal_evaluation_interface_v2_v3_v4_plot_runtime_v1
