strategy_id,role,seed,ensemble_group,vine_observation_mode,checkpoint_sha256
equal_weight,benchmark,,,not_applicable,not_applicable
shrinkage_mean_variance,benchmark,,,not_applicable,not_applicable
dcc_garch,benchmark,,,not_applicable,not_applicable
static_vine,benchmark,,,not_applicable,not_applicable
rolling_vine,benchmark,,,not_applicable,not_applicable
dynamic_nn_vine,benchmark,,,not_applicable,not_applicable
vine_td3_seed_20260741,proposed,20260741,vine_td3_full_gate_pass,full,aa4ea7b6e3afc29d16cd6b9af11caeeec242f619aed18691a56cf79613696875
vine_td3_seed_20260742,proposed,20260742,vine_td3_full_gate_pass,full,45091607737d6cce916e3fbd1259c623ddc8ee2ba2348656dbed1aecff84bd64
vine_td3_seed_20260743,proposed,20260743,vine_td3_full_gate_pass,full,dd4d6c2b771205a9ae08a2067cfe942b30d826ba99ead319f2c899888cf095f1
vine_td3_seed_20260744,proposed,20260744,vine_td3_full_gate_pass,full,07cee2657c6007993782fa9326e834bf356edb8726a6bbf2140e8668d1ddb9c1
vine_td3_seed_20260745,proposed,20260745,vine_td3_full_gate_pass,full,cec2dfe7e382310c411661244c7fec68c1d61abc905f664dcb7bfa4db7a86d85
vine_td3_seed_20260746,proposed,20260746,vine_td3_full_gate_pass,full,c6e3a8e67ba1e544cf9f03ddf8c7658ea5785aa152688e69aeef468c8c64a1da
vine_td3_seed_20260747,proposed,20260747,vine_td3_full_gate_pass,full,0a218447ead4b15b4335b5773171ec30b499c0c66e20edd3116a45aa5ed23ac8
vine_td3_seed_20260748,proposed,20260748,vine_td3_full_gate_pass,full,fd422a734f217eab52097b61cc54d1a0684a5188fbc372646809fdef13292099
vine_td3_seed_20260749,proposed,20260749,vine_td3_full_gate_pass,full,1129293e828d4cdc3ccc53c34d09d0a6e3b2989cf7cc64cf48261597e59f6a1a
vine_td3_seed_20260750,proposed,20260750,vine_td3_full_gate_pass,full,7515670db9d6db9c20e7aa62bcb6360557bb40880d2fac8441f7c40e1247b9a4
vine_td3_seed_20260751,proposed,20260751,vine_td3_full_gate_pass,full,3b889857915878f8ebce8a148f0653f5b682e8511a3003d13e09fae37f954c69
vine_td3_seed_20260752,proposed,20260752,vine_td3_full_gate_pass,full,d7ed9b4fd4883c945e8493f3f1363ffaefbccf6a90d5134f965a46a750f2c873
vine_td3_seed_20260753,proposed,20260753,vine_td3_full_gate_pass,full,6556fa926ca4c1be02e9e11cd742fcec5b8e863cb58668adff7adedd341c82c6
vine_td3_seed_20260754,proposed,20260754,vine_td3_full_gate_pass,full,35066bddfbc2a9f6063f12b92ee7be241b4ab299aee8c45bbcdd383df0214776
vine_td3_seed_20260755,proposed,20260755,vine_td3_full_gate_pass,full,edfb453a46da6560337a21b98b3ed85ac804657ecd947f05b36cc4a9e6c38110
vine_td3_seed_20260756,proposed,20260756,vine_td3_full_gate_pass,full,d084cb6f4a8fba695ced50695c9375be0041075bbd7a5176d5e1f59c0272929f
vine_td3_seed_20260757,proposed,20260757,vine_td3_full_gate_pass,full,0a4fa38215648293280198f110230a93fd0d1140547b1a8172be46d593abde7c
vine_td3_seed_20260758,proposed,20260758,vine_td3_full_gate_pass,full,9c0e521283c41dd1994110c7ad71463dc6512a44895c20bdbbc10ef9552e9281
vine_td3_seed_20260759,proposed,20260759,vine_td3_full_gate_pass,full,885324790b4e5edb4b6e30411d0b90f05e10f30cbbfd934f99442bb4ac18ac87
vine_td3_seed_20260760,proposed,20260760,vine_td3_full_gate_pass,full,d22f2df031ed8007379c3eebb489cb5b1e2e5a3fe509232b52ac009852b6659f
