window_id,panel_id,evidence_class,experiment_id,experiment_label,experiment_role,seed,output_dir,RETURNS_DATA_FILE,RETURNS_DATA_KIND,RETURNS_DATA_MANIFEST,REF_COL,VINE_TRUNCATION_LEVEL,SYNTHETIC_RETURNS_FILE,TRAINING_MARGINALS_FILE,NN_VINE_MODEL_DIR,FINETUNE_RETURNS_FILE,focused_protocol_sha256,RL_ALGORITHM,POLICY_ENCODER,VINE_OBSERVATION_MODE,VINE_FEATURE_MODE,CVAR_OBSERVATION_MODE,CVAR_REWARD_MODE,PRETRAIN_DATA_MODE,RUN_FINETUNE,CHECKPOINT_PREFIX,LR_ACTOR,LR_CRITIC,ENTROPY_COEF,PRETRAIN_BEHAVIOR_GATE_MODE
retrospective_original_7asset_expanding_24m_v1_w02,original_seven_asset_panel,retrospective_walk_forward,full_vine_state_and_cvar_observation,Full raw NN-vine state plus scenario-CVaR,reference,20261101,data/focused_original_7asset_runs_v1/retrospective_original_7asset_expanding_24m_v1_w02/focused_policies/full_vine_state_and_cvar_observation/seed_20261101,/gabirel/copula-portfolio-clean/frozen_releases/window_inputs/retrospective_original_7asset_expanding_24m_v1_w02/window_daily_log_returns.csv,daily_log_returns,/gabirel/copula-portfolio-clean/frozen_releases/window_inputs/retrospective_original_7asset_expanding_24m_v1_w02/return_input_manifest.json,7,6,data/focused_original_7asset_runs_v1/retrospective_original_7asset_expanding_24m_v1_w02/training_data/synthetic_returns.RData,data/focused_original_7asset_runs_v1/retrospective_original_7asset_expanding_24m_v1_w02/training_data/training_marginal_results.RData,data/focused_original_7asset_runs_v1/retrospective_original_7asset_expanding_24m_v1_w02/training_data/nn_vine_models,data/focused_original_7asset_runs_v1/retrospective_original_7asset_expanding_24m_v1_w02/training_data/finetune_returns.qs,a678727dfbeaaa264cf20d697d4f86e4f6bb11c11d273a084bc87d33544eab09,td3,lstm,full,full,full,full,vine_synthetic,true,td3_lstm_vine,0.00003,0.0001,0.005,report_only
retrospective_original_7asset_expanding_24m_v1_w02,original_seven_asset_panel,retrospective_walk_forward,full_vine_state_and_cvar_observation,Full raw NN-vine state plus scenario-CVaR,reference,20261102,data/focused_original_7asset_runs_v1/retrospective_original_7asset_expanding_24m_v1_w02/focused_policies/full_vine_state_and_cvar_observation/seed_20261102,/gabirel/copula-portfolio-clean/frozen_releases/window_inputs/retrospective_original_7asset_expanding_24m_v1_w02/window_daily_log_returns.csv,daily_log_returns,/gabirel/copula-portfolio-clean/frozen_releases/window_inputs/retrospective_original_7asset_expanding_24m_v1_w02/return_input_manifest.json,7,6,data/focused_original_7asset_runs_v1/retrospective_original_7asset_expanding_24m_v1_w02/training_data/synthetic_returns.RData,data/focused_original_7asset_runs_v1/retrospective_original_7asset_expanding_24m_v1_w02/training_data/training_marginal_results.RData,data/focused_original_7asset_runs_v1/retrospective_original_7asset_expanding_24m_v1_w02/training_data/nn_vine_models,data/focused_original_7asset_runs_v1/retrospective_original_7asset_expanding_24m_v1_w02/training_data/finetune_returns.qs,a678727dfbeaaa264cf20d697d4f86e4f6bb11c11d273a084bc87d33544eab09,td3,lstm,full,full,full,full,vine_synthetic,true,td3_lstm_vine,0.00003,0.0001,0.005,report_only
retrospective_original_7asset_expanding_24m_v1_w02,original_seven_asset_panel,retrospective_walk_forward,full_vine_state_and_cvar_observation,Full raw NN-vine state plus scenario-CVaR,reference,20261103,data/focused_original_7asset_runs_v1/retrospective_original_7asset_expanding_24m_v1_w02/focused_policies/full_vine_state_and_cvar_observation/seed_20261103,/gabirel/copula-portfolio-clean/frozen_releases/window_inputs/retrospective_original_7asset_expanding_24m_v1_w02/window_daily_log_returns.csv,daily_log_returns,/gabirel/copula-portfolio-clean/frozen_releases/window_inputs/retrospective_original_7asset_expanding_24m_v1_w02/return_input_manifest.json,7,6,data/focused_original_7asset_runs_v1/retrospective_original_7asset_expanding_24m_v1_w02/training_data/synthetic_returns.RData,data/focused_original_7asset_runs_v1/retrospective_original_7asset_expanding_24m_v1_w02/training_data/training_marginal_results.RData,data/focused_original_7asset_runs_v1/retrospective_original_7asset_expanding_24m_v1_w02/training_data/nn_vine_models,data/focused_original_7asset_runs_v1/retrospective_original_7asset_expanding_24m_v1_w02/training_data/finetune_returns.qs,a678727dfbeaaa264cf20d697d4f86e4f6bb11c11d273a084bc87d33544eab09,td3,lstm,full,full,full,full,vine_synthetic,true,td3_lstm_vine,0.00003,0.0001,0.005,report_only
retrospective_original_7asset_expanding_24m_v1_w02,original_seven_asset_panel,retrospective_walk_forward,full_vine_state_and_cvar_observation,Full raw NN-vine state plus scenario-CVaR,reference,20261104,data/focused_original_7asset_runs_v1/retrospective_original_7asset_expanding_24m_v1_w02/focused_policies/full_vine_state_and_cvar_observation/seed_20261104,/gabirel/copula-portfolio-clean/frozen_releases/window_inputs/retrospective_original_7asset_expanding_24m_v1_w02/window_daily_log_returns.csv,daily_log_returns,/gabirel/copula-portfolio-clean/frozen_releases/window_inputs/retrospective_original_7asset_expanding_24m_v1_w02/return_input_manifest.json,7,6,data/focused_original_7asset_runs_v1/retrospective_original_7asset_expanding_24m_v1_w02/training_data/synthetic_returns.RData,data/focused_original_7asset_runs_v1/retrospective_original_7asset_expanding_24m_v1_w02/training_data/training_marginal_results.RData,data/focused_original_7asset_runs_v1/retrospective_original_7asset_expanding_24m_v1_w02/training_data/nn_vine_models,data/focused_original_7asset_runs_v1/retrospective_original_7asset_expanding_24m_v1_w02/training_data/finetune_returns.qs,a678727dfbeaaa264cf20d697d4f86e4f6bb11c11d273a084bc87d33544eab09,td3,lstm,full,full,full,full,vine_synthetic,true,td3_lstm_vine,0.00003,0.0001,0.005,report_only
retrospective_original_7asset_expanding_24m_v1_w02,original_seven_asset_panel,retrospective_walk_forward,full_vine_state_and_cvar_observation,Full raw NN-vine state plus scenario-CVaR,reference,20261105,data/focused_original_7asset_runs_v1/retrospective_original_7asset_expanding_24m_v1_w02/focused_policies/full_vine_state_and_cvar_observation/seed_20261105,/gabirel/copula-portfolio-clean/frozen_releases/window_inputs/retrospective_original_7asset_expanding_24m_v1_w02/window_daily_log_returns.csv,daily_log_returns,/gabirel/copula-portfolio-clean/frozen_releases/window_inputs/retrospective_original_7asset_expanding_24m_v1_w02/return_input_manifest.json,7,6,data/focused_original_7asset_runs_v1/retrospective_original_7asset_expanding_24m_v1_w02/training_data/synthetic_returns.RData,data/focused_original_7asset_runs_v1/retrospective_original_7asset_expanding_24m_v1_w02/training_data/training_marginal_results.RData,data/focused_original_7asset_runs_v1/retrospective_original_7asset_expanding_24m_v1_w02/training_data/nn_vine_models,data/focused_original_7asset_runs_v1/retrospective_original_7asset_expanding_24m_v1_w02/training_data/finetune_returns.qs,a678727dfbeaaa264cf20d697d4f86e4f6bb11c11d273a084bc87d33544eab09,td3,lstm,full,full,full,full,vine_synthetic,true,td3_lstm_vine,0.00003,0.0001,0.005,report_only
retrospective_original_7asset_expanding_24m_v1_w02,original_seven_asset_panel,retrospective_walk_forward,zero_vine_features_keep_cvar_observation,Scenario-CVaR only dependence representation,primary_mechanism_alternative,20261101,data/focused_original_7asset_runs_v1/retrospective_original_7asset_expanding_24m_v1_w02/focused_policies/zero_vine_features_keep_cvar_observation/seed_20261101,/gabirel/copula-portfolio-clean/frozen_releases/window_inputs/retrospective_original_7asset_expanding_24m_v1_w02/window_daily_log_returns.csv,daily_log_returns,/gabirel/copula-portfolio-clean/frozen_releases/window_inputs/retrospective_original_7asset_expanding_24m_v1_w02/return_input_manifest.json,7,6,data/focused_original_7asset_runs_v1/retrospective_original_7asset_expanding_24m_v1_w02/training_data/synthetic_returns.RData,data/focused_original_7asset_runs_v1/retrospective_original_7asset_expanding_24m_v1_w02/training_data/training_marginal_results.RData,data/focused_original_7asset_runs_v1/retrospective_original_7asset_expanding_24m_v1_w02/training_data/nn_vine_models,data/focused_original_7asset_runs_v1/retrospective_original_7asset_expanding_24m_v1_w02/training_data/finetune_returns.qs,a678727dfbeaaa264cf20d697d4f86e4f6bb11c11d273a084bc87d33544eab09,td3,lstm,full,zero,full,full,vine_synthetic,true,td3_lstm_vine,0.00003,0.0001,0.005,report_only
retrospective_original_7asset_expanding_24m_v1_w02,original_seven_asset_panel,retrospective_walk_forward,zero_vine_features_keep_cvar_observation,Scenario-CVaR only dependence representation,primary_mechanism_alternative,20261102,data/focused_original_7asset_runs_v1/retrospective_original_7asset_expanding_24m_v1_w02/focused_policies/zero_vine_features_keep_cvar_observation/seed_20261102,/gabirel/copula-portfolio-clean/frozen_releases/window_inputs/retrospective_original_7asset_expanding_24m_v1_w02/window_daily_log_returns.csv,daily_log_returns,/gabirel/copula-portfolio-clean/frozen_releases/window_inputs/retrospective_original_7asset_expanding_24m_v1_w02/return_input_manifest.json,7,6,data/focused_original_7asset_runs_v1/retrospective_original_7asset_expanding_24m_v1_w02/training_data/synthetic_returns.RData,data/focused_original_7asset_runs_v1/retrospective_original_7asset_expanding_24m_v1_w02/training_data/training_marginal_results.RData,data/focused_original_7asset_runs_v1/retrospective_original_7asset_expanding_24m_v1_w02/training_data/nn_vine_models,data/focused_original_7asset_runs_v1/retrospective_original_7asset_expanding_24m_v1_w02/training_data/finetune_returns.qs,a678727dfbeaaa264cf20d697d4f86e4f6bb11c11d273a084bc87d33544eab09,td3,lstm,full,zero,full,full,vine_synthetic,true,td3_lstm_vine,0.00003,0.0001,0.005,report_only
retrospective_original_7asset_expanding_24m_v1_w02,original_seven_asset_panel,retrospective_walk_forward,zero_vine_features_keep_cvar_observation,Scenario-CVaR only dependence representation,primary_mechanism_alternative,20261103,data/focused_original_7asset_runs_v1/retrospective_original_7asset_expanding_24m_v1_w02/focused_policies/zero_vine_features_keep_cvar_observation/seed_20261103,/gabirel/copula-portfolio-clean/frozen_releases/window_inputs/retrospective_original_7asset_expanding_24m_v1_w02/window_daily_log_returns.csv,daily_log_returns,/gabirel/copula-portfolio-clean/frozen_releases/window_inputs/retrospective_original_7asset_expanding_24m_v1_w02/return_input_manifest.json,7,6,data/focused_original_7asset_runs_v1/retrospective_original_7asset_expanding_24m_v1_w02/training_data/synthetic_returns.RData,data/focused_original_7asset_runs_v1/retrospective_original_7asset_expanding_24m_v1_w02/training_data/training_marginal_results.RData,data/focused_original_7asset_runs_v1/retrospective_original_7asset_expanding_24m_v1_w02/training_data/nn_vine_models,data/focused_original_7asset_runs_v1/retrospective_original_7asset_expanding_24m_v1_w02/training_data/finetune_returns.qs,a678727dfbeaaa264cf20d697d4f86e4f6bb11c11d273a084bc87d33544eab09,td3,lstm,full,zero,full,full,vine_synthetic,true,td3_lstm_vine,0.00003,0.0001,0.005,report_only
retrospective_original_7asset_expanding_24m_v1_w02,original_seven_asset_panel,retrospective_walk_forward,zero_vine_features_keep_cvar_observation,Scenario-CVaR only dependence representation,primary_mechanism_alternative,20261104,data/focused_original_7asset_runs_v1/retrospective_original_7asset_expanding_24m_v1_w02/focused_policies/zero_vine_features_keep_cvar_observation/seed_20261104,/gabirel/copula-portfolio-clean/frozen_releases/window_inputs/retrospective_original_7asset_expanding_24m_v1_w02/window_daily_log_returns.csv,daily_log_returns,/gabirel/copula-portfolio-clean/frozen_releases/window_inputs/retrospective_original_7asset_expanding_24m_v1_w02/return_input_manifest.json,7,6,data/focused_original_7asset_runs_v1/retrospective_original_7asset_expanding_24m_v1_w02/training_data/synthetic_returns.RData,data/focused_original_7asset_runs_v1/retrospective_original_7asset_expanding_24m_v1_w02/training_data/training_marginal_results.RData,data/focused_original_7asset_runs_v1/retrospective_original_7asset_expanding_24m_v1_w02/training_data/nn_vine_models,data/focused_original_7asset_runs_v1/retrospective_original_7asset_expanding_24m_v1_w02/training_data/finetune_returns.qs,a678727dfbeaaa264cf20d697d4f86e4f6bb11c11d273a084bc87d33544eab09,td3,lstm,full,zero,full,full,vine_synthetic,true,td3_lstm_vine,0.00003,0.0001,0.005,report_only
retrospective_original_7asset_expanding_24m_v1_w02,original_seven_asset_panel,retrospective_walk_forward,zero_vine_features_keep_cvar_observation,Scenario-CVaR only dependence representation,primary_mechanism_alternative,20261105,data/focused_original_7asset_runs_v1/retrospective_original_7asset_expanding_24m_v1_w02/focused_policies/zero_vine_features_keep_cvar_observation/seed_20261105,/gabirel/copula-portfolio-clean/frozen_releases/window_inputs/retrospective_original_7asset_expanding_24m_v1_w02/window_daily_log_returns.csv,daily_log_returns,/gabirel/copula-portfolio-clean/frozen_releases/window_inputs/retrospective_original_7asset_expanding_24m_v1_w02/return_input_manifest.json,7,6,data/focused_original_7asset_runs_v1/retrospective_original_7asset_expanding_24m_v1_w02/training_data/synthetic_returns.RData,data/focused_original_7asset_runs_v1/retrospective_original_7asset_expanding_24m_v1_w02/training_data/training_marginal_results.RData,data/focused_original_7asset_runs_v1/retrospective_original_7asset_expanding_24m_v1_w02/training_data/nn_vine_models,data/focused_original_7asset_runs_v1/retrospective_original_7asset_expanding_24m_v1_w02/training_data/finetune_returns.qs,a678727dfbeaaa264cf20d697d4f86e4f6bb11c11d273a084bc87d33544eab09,td3,lstm,full,zero,full,full,vine_synthetic,true,td3_lstm_vine,0.00003,0.0001,0.005,report_only
