seed,model,path,sha256,size_bytes,architecture_match,architecture_mismatches,all_checkpoint_tensors_finite,tensor_count,tensor_elements,max_tensor_abs,actor_parameters,update_count,actor_target_max_abs_gap,pytorch_version,mode_metadata_source
20260841,pretrained,/gabirel/copula-portfolio-clean/data/no_vine_rl_runs_secondary_v3/seed_20260841/td3_lstm_vine_pretrained.pt,df3ea70ae53340399a799185df603fcad7cf9e48eda026b956949207144b70e9,2185379,True,{},True,180,532876,23873.0,44408,23873,0.0042109787464141,2.10.0+cu128,embedded
20260841,full,/gabirel/copula-portfolio-clean/data/no_vine_rl_runs_secondary_v3/seed_20260841/td3_lstm_vine_full.pt,058e1ed2529775e0496f0153c9b5d5d8b7600f177f7dca26fcb00cbd889dbc32,2184243,True,{},True,180,532876,25274.0,44408,25274,0.006264679133892,2.10.0+cu128,embedded
20260842,pretrained,/gabirel/copula-portfolio-clean/data/no_vine_rl_runs_secondary_v3/seed_20260842/td3_lstm_vine_pretrained.pt,6cf1e2926f92934710d5e2ee8e1dc79fee43b73ed70f74855f9c8500e1c21aaf,2185379,True,{},True,180,532876,23873.0,44408,23873,0.0037062838673591,2.10.0+cu128,embedded
20260842,full,/gabirel/copula-portfolio-clean/data/no_vine_rl_runs_secondary_v3/seed_20260842/td3_lstm_vine_full.pt,53cb8c9c32f241680aed17f04d12d54140f40fd3d679ad8a829fa6109a9677d2,2184243,True,{},True,180,532876,25274.0,44408,25274,0.0059998482465744,2.10.0+cu128,embedded
20260843,pretrained,/gabirel/copula-portfolio-clean/data/no_vine_rl_runs_secondary_v3/seed_20260843/td3_lstm_vine_pretrained.pt,de44cd556981eb37188334fedf583bcab8df3162498b7d39aa1f49d62a74a5d6,2185379,True,{},True,180,532876,23873.0,44408,23873,0.0062101334333419,2.10.0+cu128,embedded
20260843,full,/gabirel/copula-portfolio-clean/data/no_vine_rl_runs_secondary_v3/seed_20260843/td3_lstm_vine_full.pt,af6c96db3b39f71084974b477d3a5bce00b69d76111f3e32c23a88e1764aaaa7,2184243,True,{},True,180,532876,25274.0,44408,25274,0.0066093206405639,2.10.0+cu128,embedded
20260844,pretrained,/gabirel/copula-portfolio-clean/data/no_vine_rl_runs_secondary_v3/seed_20260844/td3_lstm_vine_pretrained.pt,2742482af9a4469a5a57020a7aceb3663951d3d3e79274166f48b790bc4bb44d,2185379,True,{},True,180,532876,23873.0,44408,23873,0.003285638988018,2.10.0+cu128,embedded
20260844,full,/gabirel/copula-portfolio-clean/data/no_vine_rl_runs_secondary_v3/seed_20260844/td3_lstm_vine_full.pt,e7ea87e989f2f5032069b683a13deac4979bfbab16d8bb27b32152f6b944f513,2184243,True,{},True,180,532876,25274.0,44408,25274,0.0091959536075592,2.10.0+cu128,embedded
20260845,pretrained,/gabirel/copula-portfolio-clean/data/no_vine_rl_runs_secondary_v3/seed_20260845/td3_lstm_vine_pretrained.pt,79c8632cb61c9e4a44b589386b7c1b7463f571aa42b6d05ff0f7862953d27e03,2185379,True,{},True,180,532876,23873.0,44408,23873,0.0056300908327102,2.10.0+cu128,embedded
20260845,full,/gabirel/copula-portfolio-clean/data/no_vine_rl_runs_secondary_v3/seed_20260845/td3_lstm_vine_full.pt,8f06fab276b3406c26c14c82bcadec74d203d58a879ff32f7ea051c919b57ece,2184243,True,{},True,180,532876,25274.0,44408,25274,0.0074217990040779,2.10.0+cu128,embedded
20260846,pretrained,/gabirel/copula-portfolio-clean/data/no_vine_rl_runs_secondary_v3/seed_20260846/td3_lstm_vine_pretrained.pt,36a8766c5735562e65554fbfc619ebfb3daae2b029ffdcbbe01e8acb0481af25,2185379,True,{},True,180,532876,23873.0,44408,23873,0.004830528050661,2.10.0+cu128,embedded
20260846,full,/gabirel/copula-portfolio-clean/data/no_vine_rl_runs_secondary_v3/seed_20260846/td3_lstm_vine_full.pt,5939b555205fd459eb2689b0bd70da32b953fe81c766b5daed15cc59682d0ceb,2184243,True,{},True,180,532876,25274.0,44408,25274,0.0069793462753295,2.10.0+cu128,embedded
20260847,pretrained,/gabirel/copula-portfolio-clean/data/no_vine_rl_runs_secondary_v3/seed_20260847/td3_lstm_vine_pretrained.pt,295dbe0b2f737988eedbc0eb0a3ed344b62a9866866cccd3b7f2107e5634452c,2185379,True,{},True,180,532876,23873.0,44408,23873,0.0069352108985185,2.10.0+cu128,embedded
20260847,full,/gabirel/copula-portfolio-clean/data/no_vine_rl_runs_secondary_v3/seed_20260847/td3_lstm_vine_full.pt,39a9058af34eae713dfc85299a3501ed53926c597bc59e242df3ab913bf35955,2184243,True,{},True,180,532876,25274.0,44408,25274,0.0074558407068252,2.10.0+cu128,embedded
20260848,pretrained,/gabirel/copula-portfolio-clean/data/no_vine_rl_runs_secondary_v3/seed_20260848/td3_lstm_vine_pretrained.pt,7a6845c9f1ce1b882ca93595e1ba0fddde4baf3785adaa67c80cd7a32c1bcc46,2185379,True,{},True,180,532876,23873.0,44408,23873,0.0053909644484519,2.10.0+cu128,embedded
20260848,full,/gabirel/copula-portfolio-clean/data/no_vine_rl_runs_secondary_v3/seed_20260848/td3_lstm_vine_full.pt,66975d1a857e27e2c28bfdffccd3b34ed7853fd5494ec6cd9c17339e5bb9b8e8,2184243,True,{},True,180,532876,25274.0,44408,25274,0.0062388479709625,2.10.0+cu128,embedded
20260849,pretrained,/gabirel/copula-portfolio-clean/data/no_vine_rl_runs_secondary_v3/seed_20260849/td3_lstm_vine_pretrained.pt,7801a4502556a1f904ad6a956c13e56093f64aaefc80d89755fa09194645bc97,2185379,True,{},True,180,532876,23873.0,44408,23873,0.0045132264494895,2.10.0+cu128,embedded
20260849,full,/gabirel/copula-portfolio-clean/data/no_vine_rl_runs_secondary_v3/seed_20260849/td3_lstm_vine_full.pt,363b34cc5e2eec602144d03be49da2dfe6a2a873194a0ced7139dfadaeeab5d5,2184243,True,{},True,180,532876,25274.0,44408,25274,0.0076290648430585,2.10.0+cu128,embedded
20260850,pretrained,/gabirel/copula-portfolio-clean/data/no_vine_rl_runs_secondary_v3/seed_20260850/td3_lstm_vine_pretrained.pt,dc6d0925f668c8eb7456cd024a244ae1ff923001c53b85a5812e092ca194bd03,2185379,True,{},True,180,532876,23873.0,44408,23873,0.0035496652126312,2.10.0+cu128,embedded
20260850,full,/gabirel/copula-portfolio-clean/data/no_vine_rl_runs_secondary_v3/seed_20260850/td3_lstm_vine_full.pt,aeec9079ccb11b8ba7a36644c129a990f97070bf63e9ff26b99b4c0b6d83103d,2184243,True,{},True,180,532876,25274.0,44408,25274,0.007118135690689,2.10.0+cu128,embedded
