update,critic_loss,actor_loss,q1_mean,q2_mean,target_q_mean,twin_q_gap,critic_grad_norm,critic2_grad_norm,actor_grad_norm,actor_mean_leverage_gate,actor_mean_direction_entropy,actor_leverage_penalty,actor_mean_gross_exposure,actor_mean_max_abs_weight,actor_gate_gross_mae,critic_amp_scale,actor_amp_scale,stage,episode,step,pass
100,0.004789172206073999,-0.0414729043841362,0.029995322227478027,0.030483592301607132,0.025886114686727524,0.023604191839694977,0.04687308892607689,0.06473370641469955,0.012184982188045979,0.10196775943040848,1.149148941040039,0.0,1.0509839057922363,0.21976765990257263,1.0774238035082817e-07,1.0,1.0,pretrain,10,11,
200,0.0040489980019629,-0.042538486421108246,0.03028815984725952,0.024965718388557434,0.031954169273376465,0.020735057070851326,0.01949813961982727,0.08273406326770782,0.012660753913223743,0.10465258359909058,1.1470911502838135,0.0,1.0523264408111572,0.2347053587436676,1.1920928955078125e-07,1.0,1.0,pretrain,14,15,
300,0.003531451802700758,-0.03424550220370293,0.023251323029398918,0.026466544717550278,0.03420352563261986,0.018449312075972557,0.11363717168569565,0.08957214653491974,0.011172816157341003,0.10820323973894119,1.1413280963897705,0.0,1.054101586341858,0.256766140460968,1.1106021702289581e-07,1.0,1.0,pretrain,18,19,
400,0.004467016085982323,-0.028261514380574226,0.018673356622457504,0.02834400162100792,0.026654304936528206,0.019237276166677475,0.08206053078174591,0.024445602670311928,0.0063672480173408985,0.11130575835704803,1.1332378387451172,0.0,1.0556528568267822,0.27503398060798645,9.720679372549057e-08,1.0,1.0,pretrain,22,23,
500,0.003980156034231186,-0.02133924886584282,0.01863434724509716,0.01929021254181862,0.017457857728004456,0.018897056579589844,0.025709155946969986,0.026816727593541145,0.007662749849259853,0.11222093552350998,1.1262149810791016,0.0,1.0561105012893677,0.2908235490322113,1.0652001947164536e-07,1.0,1.0,pretrain,27,3,
600,0.0038003793451935053,-0.03037772700190544,0.017070598900318146,0.015654267743229866,0.02070000395178795,0.018030811101198196,0.06405345350503922,0.05597124621272087,0.008258350193500519,0.11295361816883087,1.1223607063293457,0.0,1.0564768314361572,0.2914256453514099,1.1443626135587692e-07,1.0,1.0,pretrain,31,7,
700,0.00312064029276371,-0.027060117572546005,0.015180425718426704,0.017270881682634354,0.02511574700474739,0.016155174002051353,0.105141781270504,0.08779694139957428,0.005944166798144579,0.11816680431365967,1.1284606456756592,0.0,1.059083342552185,0.28241920471191406,1.0617077350616455e-07,1.0,1.0,pretrain,35,11,
800,0.0032891305163502693,-0.030183028429746628,0.019351918250322342,0.02400229498744011,0.021811334416270256,0.018685925751924515,0.03281179815530777,0.030077824369072914,0.008488346822559834,0.12326594442129135,1.1300311088562012,0.0,1.0616328716278076,0.2739959955215454,1.1996598914265633e-07,1.0,1.0,pretrain,39,15,
900,0.003309720428660512,-0.041320182383060455,0.027455151081085205,0.024529634043574333,0.027072858065366745,0.01926969364285469,0.01967671886086464,0.036603301763534546,0.008769916370511055,0.13088789582252502,1.1266710758209229,0.0,1.065443992614746,0.2910286784172058,1.0675285011529922e-07,1.0,1.0,pretrain,43,19,
1000,0.0032597098033875227,-0.03189779818058014,0.018569938838481903,0.02619553729891777,0.01828913763165474,0.019219059497117996,0.017540842294692993,0.08505190163850784,0.007225007750093937,0.14214743673801422,1.1188130378723145,0.0,1.0710737705230713,0.3164886236190796,1.1757947504520416e-07,1.0,1.0,pretrain,47,23,
