window_id,decision_date,holding_end_date
retrospective_original_7asset_expanding_24m_v1_w01,2020-12-31,2021-01-29
retrospective_original_7asset_expanding_24m_v1_w01,2021-01-29,2021-02-26
retrospective_original_7asset_expanding_24m_v1_w01,2021-02-26,2021-03-31
retrospective_original_7asset_expanding_24m_v1_w01,2021-03-31,2021-04-30
retrospective_original_7asset_expanding_24m_v1_w01,2021-04-30,2021-05-28
retrospective_original_7asset_expanding_24m_v1_w01,2021-05-28,2021-06-30
retrospective_original_7asset_expanding_24m_v1_w01,2021-06-30,2021-07-30
retrospective_original_7asset_expanding_24m_v1_w01,2021-07-30,2021-08-31
retrospective_original_7asset_expanding_24m_v1_w01,2021-08-31,2021-09-30
retrospective_original_7asset_expanding_24m_v1_w01,2021-09-30,2021-10-29
retrospective_original_7asset_expanding_24m_v1_w01,2021-10-29,2021-11-30
retrospective_original_7asset_expanding_24m_v1_w01,2021-11-30,2021-12-31
retrospective_original_7asset_expanding_24m_v1_w01,2021-12-31,2022-01-28
retrospective_original_7asset_expanding_24m_v1_w01,2022-01-28,2022-02-28
retrospective_original_7asset_expanding_24m_v1_w01,2022-02-28,2022-03-31
retrospective_original_7asset_expanding_24m_v1_w01,2022-03-31,2022-04-29
retrospective_original_7asset_expanding_24m_v1_w01,2022-04-29,2022-05-31
retrospective_original_7asset_expanding_24m_v1_w01,2022-05-31,2022-06-30
retrospective_original_7asset_expanding_24m_v1_w01,2022-06-30,2022-07-29
retrospective_original_7asset_expanding_24m_v1_w01,2022-07-29,2022-08-31
retrospective_original_7asset_expanding_24m_v1_w01,2022-08-31,2022-09-30
retrospective_original_7asset_expanding_24m_v1_w01,2022-09-30,2022-10-31
retrospective_original_7asset_expanding_24m_v1_w01,2022-10-31,2022-11-30
retrospective_original_7asset_expanding_24m_v1_w01,2022-11-30,2022-12-30
