seed,model,episodes,steps,unique_calendar_decisions,return_replication_error,all_values_finite,mean_terminal_wealth,median_terminal_wealth,q05_terminal_wealth,q95_terminal_wealth,min_terminal_wealth,max_terminal_wealth,mean_episode_reward,mean_max_drawdown,worst_max_drawdown,mean_turnover,median_turnover,q95_turnover,mean_cvar,mean_gross_exposure,max_gross_exposure,fraction_at_gross_cap,max_net_exposure_error,gross_exposure_violation,long_weight_violation,short_weight_violation,fraction_steps_with_short,mean_short_notional,mean_leverage_gate,q95_leverage_gate,std_leverage_gate,mean_effective_leverage,gate_gross_mae,fraction_at_position_cap,mean_direction_entropy,mean_normalized_direction_entropy,q05_normalized_direction_entropy,mean_effective_positions,max_abs_weight,fraction_concentrated_weight,mean_cross_asset_weight_sd,apparent_expost_top_hit_rate,apparent_expost_bottom_hit_rate,mean_cross_sectional_weight_next_return_correlation,hard_constraints_pass
20260741,equal_weight,61,1464,84,0.0,True,117088.22367632973,112671.18994508122,93818.24321510152,143894.90455133098,90117.1786739046,158181.95007760858,0.0371426267795898,-0.1337838419191018,-0.1741289452151244,0.0,0.0,0.0,0.0736519377570959,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,0.0,,,,7.0,0.1428571428571428,0.0,2.9979448083323847e-17,,,,True
20260741,pretrained,61,1464,84,0.0,True,132195.2226628202,128691.42290110442,101056.34449016835,162079.51166111624,96034.79101204324,171878.81158149286,0.1444554996785195,-0.1087239490492867,-0.1626167646819186,0.6489339268200717,0.6061339037758964,1.4161767326295376,0.0683794952081648,1.3997067455911194,1.423222342772143,0.0,2.220446049250313e-16,0.0,0.0,0.0,1.0,0.1998533727955596,0.7994134693605001,0.8234684497117997,0.0178976348173415,0.7994134911822387,5.906010096219213e-08,0.0,0.9809687764999644,0.8520586531066379,0.7862176873686781,3.9550794802728246,0.5917285584977694,0.0,0.2431473846115286,0.2261904761904762,0.238095238095238,0.1359110582390268,True
20260741,full,61,1464,84,0.0,True,130280.89062454508,133100.61933715074,93906.02700588436,163199.468028396,93097.20244076896,173192.06297291597,0.1340012674031076,-0.1147509224261198,-0.1680976644961738,0.4963546097682095,0.3947710703526224,1.1857952385076451,0.0636458522683993,1.401781162984995,1.4202543954764093,0.0,2.220446049250313e-16,0.0,0.0,0.0,1.0,0.2008905814924974,0.8035623055419635,0.8259907633066177,0.0130067135693372,0.8035623259699899,5.964681237146005e-08,0.0,0.9391960392151374,0.8157753145130486,0.7451408439917263,3.654268254999255,0.5906934759446553,0.0,0.2576363669405038,0.2023809523809523,0.1666666666666666,0.127758770089309,True
20260742,equal_weight,61,1464,84,0.0,True,117088.22367632973,112671.18994508122,93818.24321510152,143894.90455133098,90117.1786739046,158181.95007760858,0.0371426267795898,-0.1337838419191018,-0.1741289452151244,0.0,0.0,0.0,0.0736519377570959,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,0.0,,,,7.0,0.1428571428571428,0.0,2.9979448083323847e-17,,,,True
20260742,pretrained,61,1464,84,0.0,True,120676.6939250111,116970.05357252678,96909.79281900554,146948.75681701367,92713.9023338166,158741.45522932702,0.0499569342387303,-0.1531831426114127,-0.2447915006913787,0.6417576139694651,0.5402596672730786,1.4309821847826243,0.0872485304545382,1.3983871162891577,1.4336895240204677,0.0,2.220446049250313e-16,0.0,0.0,0.0,1.0,0.1991935581445787,0.7967742125356132,0.8357255667448044,0.0263716930985164,0.7967742325783148,6.17144793641521e-08,0.0,1.0035519809996496,0.8716741753024498,0.7967039326428177,4.238560733085122,0.5937622902648789,0.0,0.2321162427345528,0.0238095238095238,0.2261904761904762,0.0620053604879179,True
20260742,full,61,1464,84,0.0,True,130434.8402879528,129013.16662261004,111228.14021045787,153219.8726327534,101597.2261264719,175763.70185578792,0.1257675799136898,-0.1552562167367835,-0.2063148716837287,0.609354349293264,0.4662687123886176,1.4612036726836644,0.0809462991000109,1.400382512608931,1.4258059646402086,0.0,2.220446049250313e-16,0.0,0.0,0.0,1.0,0.2001912563044656,0.8007650041107923,0.8326552331447601,0.0242105218540965,0.8007650252178625,5.992889916254428e-08,0.0,1.009886371918389,0.8771761573469029,0.8083349175624693,4.3155292761130415,0.5880396270326205,0.0,0.2292765325535513,0.0714285714285714,0.1666666666666666,0.090904569068589,True
20260743,equal_weight,61,1464,84,0.0,True,117088.22367632973,112671.18994508122,93818.24321510152,143894.90455133098,90117.1786739046,158181.95007760858,0.0371426267795898,-0.1337838419191018,-0.1741289452151244,0.0,0.0,0.0,0.0736519377570959,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,0.0,,,,7.0,0.1428571428571428,0.0,2.9979448083323847e-17,,,,True
20260743,pretrained,61,1464,84,0.0,True,123338.8115772371,124929.13538043552,102447.14133088112,138175.23136481587,96861.53417333117,152257.13413504703,0.1164542423929378,-0.0884276963261753,-0.1423562340189135,0.4621185295326144,0.3710721414536237,1.2498895825285996,0.0547103425769949,1.3995249797704583,1.4221404428992952,0.0,2.220446049250313e-16,0.0,0.0,0.0,1.0,0.1997624898852291,0.7990499348099765,0.8275623023509979,0.0227123019415237,0.7990499595409167,6.444046998439249e-08,0.0,0.939486543988921,0.8160276437534901,0.7222759234889295,3.642013238427417,0.5934374896543366,0.0,0.2579050486193852,0.1785714285714285,0.3095238095238095,0.0774947802646372,True
20260743,full,61,1464,84,0.0,True,123889.8919750217,123814.68515613794,104023.75554596764,143329.67703347778,100168.70746732812,160202.4226057609,0.1148467037489516,-0.1026041790383393,-0.1378990476510805,0.4081913214813951,0.2973704037389584,1.167062941260102,0.0587047724136842,1.3992091336191774,1.4169722444244794,0.0,2.220446049250313e-16,0.0,0.0,0.0,1.0,0.1996045668095886,0.7984182501588363,0.820664981007576,0.0181332013934319,0.7984182672383544,5.944996961139616e-08,0.0,0.8917534767034275,0.7745672283006773,0.7141558757501291,3.418815093776568,0.5943153436694826,0.0,0.2686611571944414,0.1904761904761904,0.3214285714285714,0.088268937174787,True
20260744,equal_weight,61,1464,84,0.0,True,117088.22367632973,112671.18994508122,93818.24321510152,143894.90455133098,90117.1786739046,158181.95007760858,0.0371426267795898,-0.1337838419191018,-0.1741289452151244,0.0,0.0,0.0,0.0736519377570959,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,0.0,,,,7.0,0.1428571428571428,0.0,2.9979448083323847e-17,,,,True
20260744,pretrained,61,1464,84,0.0,True,127100.86535394352,114904.23371200627,96753.91063191395,172314.4735081971,89908.6780283877,184454.8151912651,0.0565910677675459,-0.2126967596042955,-0.3110616684589755,0.7048787864656308,0.6241002388830696,1.4985446067260837,0.1027830460883064,1.397890848861564,1.4202008822134562,0.0,2.220446049250313e-16,0.0,0.0,0.0,1.0,0.1989454244307819,0.7957816779043505,0.8232124894857407,0.0201615601255794,0.7957816977231275,5.7890313275014334e-08,0.0,0.964564709023374,0.8378102611349342,0.732684893970435,3.9710532706943367,0.5849543181913239,0.0,0.2435196338544714,0.2619047619047619,0.2142857142857142,0.0837735340950064,True
20260744,full,61,1464,84,0.0,True,132736.5156295052,121621.58619304487,101754.977161576,191845.35629603703,97540.26338482086,203624.46349902253,0.0903951950145618,-0.1918379577017923,-0.3181317163836062,0.7251434908859188,0.6773291443075453,1.3656599872878616,0.0986539203776842,1.400243283218903,1.4240598465715135,0.0,2.220446049250313e-16,0.0,0.0,0.0,1.0,0.2001216416094513,0.8004865435058953,0.827136042714119,0.0191154665119404,0.8004865664378052,5.858825994329456e-08,0.0,0.9855750144097974,0.8560595805197859,0.7677512769513551,4.11910652039481,0.5912206726414817,0.0,0.2373000330053547,0.2023809523809523,0.1666666666666666,0.089001037328546,True
20260745,equal_weight,61,1464,84,0.0,True,117088.22367632973,112671.18994508122,93818.24321510152,143894.90455133098,90117.1786739046,158181.95007760858,0.0371426267795898,-0.1337838419191018,-0.1741289452151244,0.0,0.0,0.0,0.0736519377570959,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,0.0,,,,7.0,0.1428571428571428,0.0,2.9979448083323847e-17,,,,True
20260745,pretrained,61,1464,84,0.0,True,114405.69477478378,115009.53468333046,91762.31853845078,137220.332248878,85339.14909828592,147347.185872681,0.0157143233250645,-0.1639720762823455,-0.2253171494187772,0.5751411521054476,0.4660996422171592,1.4146350366994738,0.0780745644985797,1.3987821994337002,1.4248637014201708,0.0,2.220446049250313e-16,0.0,0.0,0.0,1.0,0.19939109971685,0.7975643777130731,0.8329134494066238,0.0225757142344576,0.7975643988674003,5.8495927411570976e-08,0.0,0.9690665077886296,0.8417204738597128,0.7695239817137878,3.936141748245948,0.5921841210552624,0.0,0.2444498934279187,0.1428571428571428,0.119047619047619,-0.0176044411252205,True
20260745,full,61,1464,84,0.0,True,132451.83439081893,133013.6112270079,109497.06627570045,158734.0930668889,99292.90096737976,167669.0464226418,0.1411734111471619,-0.1362265759355097,-0.2160635805995585,0.5114655014935221,0.4333769253322056,1.36910613849759,0.0767351835970133,1.4041307891975685,1.4285069235733576,0.0,2.220446049250313e-16,0.0,0.0,0.0,1.0,0.2020653945987842,0.8082615586985005,0.8371412694454193,0.0182288492359589,0.8082615783951368,5.754861023240757e-08,0.0,0.973040084003425,0.8451718783067285,0.7674226286975421,3.860881490622713,0.5931692602378982,0.0,0.2486560327872103,0.1428571428571428,0.1428571428571428,0.0771648906389344,True
20260746,equal_weight,61,1464,84,0.0,True,117088.22367632973,112671.18994508122,93818.24321510152,143894.90455133098,90117.1786739046,158181.95007760858,0.0371426267795898,-0.1337838419191018,-0.1741289452151244,0.0,0.0,0.0,0.0736519377570959,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,0.0,,,,7.0,0.1428571428571428,0.0,2.9979448083323847e-17,,,,True
20260746,pretrained,61,1464,84,0.0,True,126618.39365099191,124578.55611552134,81612.70045507228,172454.16424004477,76699.00935522276,178773.7321984205,0.0597481524066762,-0.1671374028261185,-0.2827779192790974,0.5414852654991438,0.4627557160066707,1.3115385508963036,0.0872451564408397,1.3948480578689784,1.4302232010023934,0.0,2.220446049250313e-16,0.0,0.0,0.0,1.0,0.1974240289344892,0.7896960952568576,0.8258477002382278,0.0248019410892612,0.789696115737957,5.795065658975524e-08,0.0,1.0043992724656408,0.872410123318937,0.8127943295656138,4.1754854676502,0.5918561092444828,0.0,0.2329064007217053,0.1309523809523809,0.1309523809523809,0.0277437966956087,True
20260746,full,61,1464,84,0.0,True,135243.25032604503,134453.79870128684,98426.78108709796,180588.30283459777,93530.634243189,185818.26945711425,0.1257780194172111,-0.1523316493966895,-0.2452921345989515,0.6006641484961309,0.5254988904510226,1.2994305207261017,0.0857515542125591,1.4006640172856488,1.4275516628154687,0.0,2.220446049250313e-16,0.0,0.0,0.0,1.0,0.2003320086428242,0.8013280150098879,0.8336539596319198,0.0238873903242323,0.801328034571297,5.82378325631027e-08,0.0,1.0029528862465926,0.8711538082116702,0.800534864398272,4.25644127381304,0.5877718925476074,0.0,0.2314680742371776,0.2738095238095238,0.1666666666666666,0.0972079708163076,True
20260747,equal_weight,61,1464,84,0.0,True,117088.22367632973,112671.18994508122,93818.24321510152,143894.90455133098,90117.1786739046,158181.95007760858,0.0371426267795898,-0.1337838419191018,-0.1741289452151244,0.0,0.0,0.0,0.0736519377570959,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,0.0,,,,7.0,0.1428571428571428,0.0,2.9979448083323847e-17,,,,True
20260747,pretrained,61,1464,84,0.0,True,129787.855648883,130574.39573590877,99209.03587647575,155593.20539353145,95675.56246857392,166758.78963933064,0.137002889668836,-0.1124163345401593,-0.1803193495683559,0.457063752321045,0.3579017680936626,1.2987308496343235,0.0638381278067163,1.3984761855711871,1.419931418129376,0.0,2.220446049250313e-16,0.0,0.0,0.0,1.0,0.1992380927855935,0.796952349851366,0.8202221065759658,0.0163368345440788,0.7969523711423742,6.167449283579528e-08,0.0,0.9463935419509972,0.8220269859563833,0.711542376616428,3.680990426429634,0.5958987985338484,0.0,0.2561694095926213,0.2142857142857142,0.1785714285714285,0.1144653809639172,True
20260747,full,61,1464,84,0.0,True,124878.93148425332,126856.2880018665,97428.0483137594,148310.4226378553,93733.76462179355,158887.1070567136,0.1093360658216464,-0.1072539150487757,-0.1574896093002213,0.3356818458825862,0.2117932268551418,1.3597358555666037,0.0619837515418194,1.401962876578707,1.4182913409812108,0.0,2.220446049250313e-16,0.0,0.0,0.0,1.0,0.2009814382893535,0.8039257343186706,0.8223541378974915,0.015395353810422,0.8039257531574142,5.911608209995032e-08,0.0,0.8863150562500693,0.7698434763143508,0.6952958873046517,3.3824988864158674,0.5957208871841431,0.0,0.2731780157264218,0.2023809523809523,0.0833333333333333,0.078587168346745,True
20260748,equal_weight,61,1464,84,0.0,True,117088.22367632973,112671.18994508122,93818.24321510152,143894.90455133098,90117.1786739046,158181.95007760858,0.0371426267795898,-0.1337838419191018,-0.1741289452151244,0.0,0.0,0.0,0.0736519377570959,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,0.0,,,,7.0,0.1428571428571428,0.0,2.9979448083323847e-17,,,,True
