seed,protocol,episodes,episode_length,obs_dim,action_dim,vine_dim,warning_count,warnings,diagnostic_notes,publication_behavior_pass,overall_pass
20260741,training-prefix episodes only; final 24 months never loaded,61,24,88,7,63,0,,Full policy has lower mean in-sample objective reward than the pretrained policy.,True,True
20260742,training-prefix episodes only; final 24 months never loaded,61,24,88,7,63,0,,,True,True
20260743,training-prefix episodes only; final 24 months never loaded,61,24,88,7,63,0,,Full policy has lower mean in-sample objective reward than the pretrained policy.,True,True
20260744,training-prefix episodes only; final 24 months never loaded,61,24,88,7,63,0,,,True,True
20260745,training-prefix episodes only; final 24 months never loaded,61,24,88,7,63,0,,,True,True
20260746,training-prefix episodes only; final 24 months never loaded,61,24,88,7,63,0,,,True,True
20260747,training-prefix episodes only; final 24 months never loaded,61,24,88,7,63,0,,Full policy has lower mean in-sample objective reward than the pretrained policy.,True,True
20260748,training-prefix episodes only; final 24 months never loaded,61,24,88,7,63,0,,,True,True
20260749,training-prefix episodes only; final 24 months never loaded,61,24,88,7,63,0,,Full policy has lower mean in-sample objective reward than the pretrained policy.,True,True
20260750,training-prefix episodes only; final 24 months never loaded,61,24,88,7,63,0,,,True,True
20260751,training-prefix episodes only; final 24 months never loaded,61,24,88,7,63,0,,,True,True
20260752,training-prefix episodes only; final 24 months never loaded,61,24,88,7,63,0,,Full policy has lower mean in-sample objective reward than the pretrained policy.,True,True
20260753,training-prefix episodes only; final 24 months never loaded,61,24,88,7,63,0,,Full policy has lower mean in-sample objective reward than the pretrained policy.,True,True
20260754,training-prefix episodes only; final 24 months never loaded,61,24,88,7,63,0,,Full policy has lower mean in-sample objective reward than the pretrained policy. | Full policy has lower mean in-sample objective reward than equal weight.,True,True
20260755,training-prefix episodes only; final 24 months never loaded,61,24,88,7,63,0,,,True,True
20260756,training-prefix episodes only; final 24 months never loaded,61,24,88,7,63,0,,Full policy has lower mean in-sample objective reward than the pretrained policy.,True,True
20260757,training-prefix episodes only; final 24 months never loaded,61,24,88,7,63,0,,,True,True
20260758,training-prefix episodes only; final 24 months never loaded,61,24,88,7,63,0,,Full policy has lower mean in-sample objective reward than the pretrained policy.,True,True
20260759,training-prefix episodes only; final 24 months never loaded,61,24,88,7,63,0,,,True,True
20260760,training-prefix episodes only; final 24 months never loaded,61,24,88,7,63,0,,,True,True
