"stage","pass","position","original_episode"
"selection_fit",1,1,18
"selection_fit",1,2,4
"selection_fit",1,3,20
"selection_fit",1,4,3
"selection_fit",1,5,37
"selection_fit",1,6,26
"selection_fit",1,7,32
"selection_fit",1,8,8
"selection_fit",1,9,24
"selection_fit",1,10,31
"selection_fit",1,11,19
"selection_fit",1,12,2
"selection_fit",1,13,16
"selection_fit",1,14,5
"selection_fit",1,15,30
"selection_fit",1,16,36
"selection_fit",1,17,33
"selection_fit",1,18,34
"selection_fit",1,19,7
"selection_fit",1,20,22
"selection_fit",1,21,6
"selection_fit",1,22,23
"selection_fit",1,23,11
"selection_fit",1,24,9
"selection_fit",1,25,12
"selection_fit",1,26,1
"selection_fit",1,27,10
"selection_fit",1,28,29
"selection_fit",1,29,28
"selection_fit",1,30,35
"selection_fit",1,31,25
"selection_fit",1,32,17
"selection_fit",1,33,13
"selection_fit",1,34,21
"selection_fit",1,35,15
"selection_fit",1,36,14
"selection_fit",1,37,27
"all_history_refit",1,1,41
"all_history_refit",1,2,4
"all_history_refit",1,3,38
"all_history_refit",1,4,54
"all_history_refit",1,5,25
"all_history_refit",1,6,8
"all_history_refit",1,7,31
"all_history_refit",1,8,55
"all_history_refit",1,9,59
"all_history_refit",1,10,9
"all_history_refit",1,11,57
"all_history_refit",1,12,17
"all_history_refit",1,13,56
"all_history_refit",1,14,43
"all_history_refit",1,15,44
"all_history_refit",1,16,48
"all_history_refit",1,17,16
"all_history_refit",1,18,46
"all_history_refit",1,19,60
"all_history_refit",1,20,24
"all_history_refit",1,21,33
"all_history_refit",1,22,40
"all_history_refit",1,23,35
"all_history_refit",1,24,39
"all_history_refit",1,25,10
"all_history_refit",1,26,15
"all_history_refit",1,27,27
"all_history_refit",1,28,23
"all_history_refit",1,29,45
"all_history_refit",1,30,28
"all_history_refit",1,31,2
"all_history_refit",1,32,50
"all_history_refit",1,33,21
"all_history_refit",1,34,42
"all_history_refit",1,35,11
"all_history_refit",1,36,13
"all_history_refit",1,37,18
"all_history_refit",1,38,37
"all_history_refit",1,39,19
"all_history_refit",1,40,29
"all_history_refit",1,41,30
"all_history_refit",1,42,7
"all_history_refit",1,43,36
"all_history_refit",1,44,32
"all_history_refit",1,45,53
"all_history_refit",1,46,12
"all_history_refit",1,47,51
"all_history_refit",1,48,3
"all_history_refit",1,49,22
"all_history_refit",1,50,26
"all_history_refit",1,51,52
"all_history_refit",1,52,49
"all_history_refit",1,53,6
"all_history_refit",1,54,61
"all_history_refit",1,55,14
"all_history_refit",1,56,47
"all_history_refit",1,57,58
"all_history_refit",1,58,5
"all_history_refit",1,59,34
"all_history_refit",1,60,20
"all_history_refit",1,61,1
