"window_id","decision_date","holding_end_date","trading_days","is_complete_period","days_from_calendar_month_end"
"locked_oos_v1",2024-07-31,2024-08-30,22,TRUE,1
"locked_oos_v1",2024-08-30,2024-09-30,18,TRUE,0
"locked_oos_v1",2024-09-30,2024-10-31,18,TRUE,0
"locked_oos_v1",2024-10-31,2024-11-29,20,TRUE,1
"locked_oos_v1",2024-11-29,2024-12-31,21,TRUE,0
"locked_oos_v1",2024-12-31,2025-01-27,16,TRUE,4
"locked_oos_v1",2025-01-27,2025-02-28,17,TRUE,0
"locked_oos_v1",2025-02-28,2025-03-31,21,TRUE,0
"locked_oos_v1",2025-03-31,2025-04-30,20,TRUE,0
"locked_oos_v1",2025-04-30,2025-05-30,18,TRUE,1
"locked_oos_v1",2025-05-30,2025-06-30,19,TRUE,0
"locked_oos_v1",2025-06-30,2025-07-31,22,TRUE,0
"locked_oos_v1",2025-07-31,2025-08-29,21,TRUE,2
"locked_oos_v1",2025-08-29,2025-09-30,21,TRUE,0
"locked_oos_v1",2025-09-30,2025-10-31,17,TRUE,0
"locked_oos_v1",2025-10-31,2025-11-28,19,TRUE,2
"locked_oos_v1",2025-11-28,2025-12-31,22,TRUE,0
"locked_oos_v1",2025-12-31,2026-01-30,19,TRUE,1
"locked_oos_v1",2026-01-30,2026-02-27,14,FALSE,1
"locked_oos_v1",2026-02-27,2026-03-31,22,TRUE,0
"locked_oos_v1",2026-03-31,2026-04-30,20,TRUE,0
"locked_oos_v1",2026-04-30,2026-05-29,17,TRUE,2
"locked_oos_v1",2026-05-29,2026-06-30,21,TRUE,0
"locked_oos_v1",2026-06-30,2026-07-06,3,FALSE,25
