evidence_class,same_sample_interpretation,check,full_value,ablation_value,status
post_holdout_explanatory,descriptive_same_sample_not_confirmatory,protocol:full_vine_observation_mode_evidence,"[""legacy_missing_allowed_by_frozen_contract_pending_exact_v4_replay""]",not_applicable,pass
post_holdout_explanatory,descriptive_same_sample_not_confirmatory,protocol:no_vine_observation_mode_evidence,not_applicable,"[""embedded_in_frozen_sanity_report""]",pass
post_holdout_explanatory,descriptive_same_sample_not_confirmatory,equal_code:rl/action_projection.py,8e0ac2963237137c3a804605d77d5007,8e0ac2963237137c3a804605d77d5007,pass
post_holdout_explanatory,descriptive_same_sample_not_confirmatory,matched_design:config_equal_after_declared_operational_exclusions,e8dbf0fbf9e190aa58a94898c229ecac561f4eb855299eaace448641d3173ddf,e8dbf0fbf9e190aa58a94898c229ecac561f4eb855299eaace448641d3173ddf,pass
post_holdout_explanatory,descriptive_same_sample_not_confirmatory,controlled_ablation_source:run_with_config.r,2b42c7a6c625c474edef0ec9c4104bb9,0878e677653950c5dc64a390127c5404,pass
post_holdout_explanatory,descriptive_same_sample_not_confirmatory,controlled_ablation_source:rl/train_rl.r,b989418ff4099a06488e81039ef6eb2c,472ee5b4df1ccc68f9b6149e8416b3a0,pass
post_holdout_explanatory,descriptive_same_sample_not_confirmatory,controlled_ablation_source:rl/rl_environment.r,a35a906ba8d4aa4993229a4f88e5a199,9e46880a8db31bea94d66958c82dd4a1,pass
post_holdout_explanatory,descriptive_same_sample_not_confirmatory,controlled_ablation_source:helper/reproducibility.r,9a803fc4277ffba692d6a32209be7d34,0094f1d3bad0dc3b7b16e5a441b087e5,pass
post_holdout_explanatory,descriptive_same_sample_not_confirmatory,controlled_ablation_source:rl/training_sanity_check.r,a647049553f087235ab3802b3303e667,cb06ce9e813199c1b37fe6779f14b169,pass
post_holdout_explanatory,descriptive_same_sample_not_confirmatory,matched_design:obs_dim,[88],[88],pass
post_holdout_explanatory,descriptive_same_sample_not_confirmatory,matched_design:action_dim,[7],[7],pass
post_holdout_explanatory,descriptive_same_sample_not_confirmatory,matched_design:vine_dim,[63],[63],pass
post_holdout_explanatory,descriptive_same_sample_not_confirmatory,matched_design:pretrained_actor_parameters,[44408],[44408],pass
post_holdout_explanatory,descriptive_same_sample_not_confirmatory,matched_design:full_actor_parameters,[44408],[44408],pass
post_holdout_explanatory,descriptive_same_sample_not_confirmatory,matched_design:pretrained_update_count,[23873],[23873],pass
