contrast_id,contrast,evidence_class,annual_crra_ce_effect_pp,moving_block_3_ci_lower_pp,moving_block_3_ci_upper_pp,holm_p_positive_direction,specifications_positive_holm_0_05,resampling_specifications,leave_one_out_fraction_positive,break_even_transaction_cost_bps,break_even_status
concentrated_synthetic_vs_bootstrap_masked,Synthetic vs bootstrap,Post-holdout,6.5387969102235655,-5.151443952345456,23.513585008403286,0.32707345853082936,0,9,1.0,,candidate_positive_throughout_search
concentrated_synthetic_vs_full_state,Masked vs full-state synthetic,Post-holdout,4.923653177823617,-5.284498310133708,17.426360484075985,0.1882162356752865,0,9,1.0,281.64206769200973,finite_crossing
concentrated_synthetic_vs_historical_masked,Synthetic vs historical,Post-holdout,-1.2781590805198473,-16.411843492967453,20.700074971532956,0.5290094198116038,0,9,0.2727272727272727,43.11419858941372,finite_crossing
focused_joint_visible_dependence_contribution,Focused visible dependence,Retrospective,-4.987039854436426,-9.01810474996006,-0.6493222344004375,1.0,0,9,0.0,,candidate_negative_throughout_search
focused_raw_vine_state_contribution,Focused raw vine state,Retrospective,-0.2980167927767452,-2.790092609861925,2.308564968108834,1.0,0,9,0.08695652173913043,,candidate_negative_throughout_search
historical_vs_original_bootstrap,Historical vs original bootstrap,Post-holdout,18.908216047207137,7.20654978033987,35.78554591709494,0.0023999520009599807,9,9,1.0,,candidate_positive_throughout_search
joint_visible_dependence_contribution,Joint visible dependence,Post-holdout,2.49867274774227,-2.947236632627238,7.858021695604693,0.375552488950221,0,9,1.0,,candidate_positive_throughout_search
primary_vs_dynamic_nn_vine,TD3 vs dynamic NN-vine,Frozen primary,-0.24777059121596778,-18.26031796559953,14.329865516822004,1.0,0,9,0.5,12.06387244466896,finite_crossing
primary_vs_equal_weight,TD3 vs equal weight,Frozen primary,4.649011609167775,-9.001251019885787,16.737033446511877,0.7285054298914022,0,9,1.0,107.28803992157191,finite_crossing
primary_vs_static_vine,TD3 vs static vine,Frozen primary,-1.496326362785183,-17.587805497371754,11.633673499662201,1.0,0,9,0.18181818181818182,23.197504110892623,finite_crossing
raw_vine_state_contribution,Raw vine state,Post-holdout,-7.206402826591951,-13.665350576575296,-2.4847850318836526,0.9954800903981921,0,9,0.0,,candidate_negative_throughout_search
