contrast_id,contrast,ce_effect_at_zero_cost_pp,ce_effect_at_500_bps_pp,break_even_transaction_cost_bps,status,crossing_direction
primary_vs_equal_weight,TD3 vs equal weight,5.136420304047062,-17.163111906825755,107.28803992157191,finite_crossing,positive_to_negative
primary_vs_static_vine,TD3 vs static vine,-2.6427400944748047,36.62694563311444,23.197504110892623,finite_crossing,negative_to_positive
primary_vs_dynamic_nn_vine,TD3 vs dynamic NN-vine,-1.436131123070461,38.6977368055213,12.06387244466896,finite_crossing,negative_to_positive
raw_vine_state_contribution,Raw vine state,-7.308592214158538,-2.998282713436695,,candidate_negative_throughout_search,none
joint_visible_dependence_contribution,Joint visible dependence,2.467433260586782,3.673041008163924,,candidate_positive_throughout_search,none
focused_raw_vine_state_contribution,Focused raw vine state,-0.2520134560840326,-2.1783346953646032,,candidate_negative_throughout_search,none
focused_joint_visible_dependence_contribution,Focused visible dependence,-5.0380800351951915,-2.8420163785252472,,candidate_negative_throughout_search,none
historical_vs_original_bootstrap,Historical vs original bootstrap,18.52793908681969,29.16557326391397,,candidate_positive_throughout_search,none
concentrated_synthetic_vs_full_state,Masked vs full-state synthetic,5.120501107295783,-3.331641066213198,281.64206769200973,finite_crossing,positive_to_negative
concentrated_synthetic_vs_historical_masked,Synthetic vs historical,-1.6792152601288413,13.42121973796374,43.11419858941372,finite_crossing,negative_to_positive
concentrated_synthetic_vs_bootstrap_masked,Synthetic vs bootstrap,5.855722695160148,29.75113075093221,,candidate_positive_throughout_search,none
