experiment_id,seed,gpu,exit_code,duration_seconds,output_dir,checkpoint_exists,gate_exists,passed,stdout,stderr
a2c_lstm_full,20261001,0,1,15.309159209951758,data/publication_extension_runs_v2/a2c_lstm_full/seed_20261001,False,False,False,logs/publication_extension_v2/a2c_lstm_full__20261001.stdout.txt,logs/publication_extension_v2/a2c_lstm_full__20261001.stderr.txt
a2c_lstm_full,20261002,1,1,15.194073282880709,data/publication_extension_runs_v2/a2c_lstm_full/seed_20261002,False,False,False,logs/publication_extension_v2/a2c_lstm_full__20261002.stdout.txt,logs/publication_extension_v2/a2c_lstm_full__20261002.stderr.txt
a2c_lstm_full,20261003,0,1,15.917282415088266,data/publication_extension_runs_v2/a2c_lstm_full/seed_20261003,False,False,False,logs/publication_extension_v2/a2c_lstm_full__20261003.stdout.txt,logs/publication_extension_v2/a2c_lstm_full__20261003.stderr.txt
a2c_lstm_full,20261004,1,1,15.330594988074154,data/publication_extension_runs_v2/a2c_lstm_full/seed_20261004,False,False,False,logs/publication_extension_v2/a2c_lstm_full__20261004.stdout.txt,logs/publication_extension_v2/a2c_lstm_full__20261004.stderr.txt
a2c_lstm_full,20261005,0,1,15.253923151176423,data/publication_extension_runs_v2/a2c_lstm_full/seed_20261005,False,False,False,logs/publication_extension_v2/a2c_lstm_full__20261005.stdout.txt,logs/publication_extension_v2/a2c_lstm_full__20261005.stderr.txt
a2c_lstm_full,20261006,1,1,15.563827684149146,data/publication_extension_runs_v2/a2c_lstm_full/seed_20261006,False,False,False,logs/publication_extension_v2/a2c_lstm_full__20261006.stdout.txt,logs/publication_extension_v2/a2c_lstm_full__20261006.stderr.txt
a2c_lstm_full,20261007,0,1,16.103965535061434,data/publication_extension_runs_v2/a2c_lstm_full/seed_20261007,False,False,False,logs/publication_extension_v2/a2c_lstm_full__20261007.stdout.txt,logs/publication_extension_v2/a2c_lstm_full__20261007.stderr.txt
a2c_lstm_full,20261008,1,1,15.136415641056374,data/publication_extension_runs_v2/a2c_lstm_full/seed_20261008,False,False,False,logs/publication_extension_v2/a2c_lstm_full__20261008.stdout.txt,logs/publication_extension_v2/a2c_lstm_full__20261008.stderr.txt
a2c_lstm_full,20261009,0,1,15.197508671088144,data/publication_extension_runs_v2/a2c_lstm_full/seed_20261009,False,False,False,logs/publication_extension_v2/a2c_lstm_full__20261009.stdout.txt,logs/publication_extension_v2/a2c_lstm_full__20261009.stderr.txt
a2c_lstm_full,20261010,1,1,15.409411267843097,data/publication_extension_runs_v2/a2c_lstm_full/seed_20261010,False,False,False,logs/publication_extension_v2/a2c_lstm_full__20261010.stdout.txt,logs/publication_extension_v2/a2c_lstm_full__20261010.stderr.txt
