experiment_id,seed,gpu,exit_code,duration_seconds,output_dir,checkpoint_exists,pretrained_checkpoint_exists,gate_exists,passed,stdout,stderr
synthetic_100_full_vine_state,20261001,0,0,126.59302292601205,data/synthetic_dose_response_runs_v1/synthetic_100_full_vine_state/seed_20261001,True,True,True,True,logs/synthetic_dose_response_v1/synthetic_100_full_vine_state__20261001.stdout.txt,logs/synthetic_dose_response_v1/synthetic_100_full_vine_state__20261001.stderr.txt
synthetic_100_full_vine_state,20261002,1,0,126.36102050798945,data/synthetic_dose_response_runs_v1/synthetic_100_full_vine_state/seed_20261002,True,True,True,True,logs/synthetic_dose_response_v1/synthetic_100_full_vine_state__20261002.stdout.txt,logs/synthetic_dose_response_v1/synthetic_100_full_vine_state__20261002.stderr.txt
synthetic_100_full_vine_state,20261003,2,0,127.38301807688549,data/synthetic_dose_response_runs_v1/synthetic_100_full_vine_state/seed_20261003,True,True,True,True,logs/synthetic_dose_response_v1/synthetic_100_full_vine_state__20261003.stdout.txt,logs/synthetic_dose_response_v1/synthetic_100_full_vine_state__20261003.stderr.txt
synthetic_100_full_vine_state,20261004,0,0,124.97661860613152,data/synthetic_dose_response_runs_v1/synthetic_100_full_vine_state/seed_20261004,True,True,True,True,logs/synthetic_dose_response_v1/synthetic_100_full_vine_state__20261004.stdout.txt,logs/synthetic_dose_response_v1/synthetic_100_full_vine_state__20261004.stderr.txt
synthetic_100_full_vine_state,20261005,1,0,125.89696504198946,data/synthetic_dose_response_runs_v1/synthetic_100_full_vine_state/seed_20261005,True,True,True,True,logs/synthetic_dose_response_v1/synthetic_100_full_vine_state__20261005.stdout.txt,logs/synthetic_dose_response_v1/synthetic_100_full_vine_state__20261005.stderr.txt
synthetic_100_full_vine_state,20261006,2,0,125.88438873109408,data/synthetic_dose_response_runs_v1/synthetic_100_full_vine_state/seed_20261006,True,True,True,True,logs/synthetic_dose_response_v1/synthetic_100_full_vine_state__20261006.stdout.txt,logs/synthetic_dose_response_v1/synthetic_100_full_vine_state__20261006.stderr.txt
synthetic_100_full_vine_state,20261007,0,0,124.0822614999488,data/synthetic_dose_response_runs_v1/synthetic_100_full_vine_state/seed_20261007,True,True,True,True,logs/synthetic_dose_response_v1/synthetic_100_full_vine_state__20261007.stdout.txt,logs/synthetic_dose_response_v1/synthetic_100_full_vine_state__20261007.stderr.txt
synthetic_100_full_vine_state,20261008,1,0,126.97221523500048,data/synthetic_dose_response_runs_v1/synthetic_100_full_vine_state/seed_20261008,True,True,True,True,logs/synthetic_dose_response_v1/synthetic_100_full_vine_state__20261008.stdout.txt,logs/synthetic_dose_response_v1/synthetic_100_full_vine_state__20261008.stderr.txt
synthetic_100_full_vine_state,20261009,2,0,123.29372484795749,data/synthetic_dose_response_runs_v1/synthetic_100_full_vine_state/seed_20261009,True,True,True,True,logs/synthetic_dose_response_v1/synthetic_100_full_vine_state__20261009.stdout.txt,logs/synthetic_dose_response_v1/synthetic_100_full_vine_state__20261009.stderr.txt
synthetic_100_full_vine_state,20261010,0,0,126.17199570010416,data/synthetic_dose_response_runs_v1/synthetic_100_full_vine_state/seed_20261010,True,True,True,True,logs/synthetic_dose_response_v1/synthetic_100_full_vine_state__20261010.stdout.txt,logs/synthetic_dose_response_v1/synthetic_100_full_vine_state__20261010.stderr.txt
