"Package","Version","LibPath"
"ADGofTest","0.3","/gabirel/miniforge3/lib/R/library"
"Bessel","0.7-0","/gabirel/miniforge3/lib/R/library"
"DistributionUtils","0.6-2","/gabirel/miniforge3/lib/R/library"
"FNN","1.1.4.1","/gabirel/miniforge3/lib/R/library"
"GeneralizedHyperbolic","0.8-7","/gabirel/miniforge3/lib/R/library"
"KernSmooth","2.23-26","/gabirel/miniforge3/lib/R/library"
"MASS","7.3-66","/gabirel/miniforge3/lib/R/library"
"Matrix","1.7-5","/gabirel/miniforge3/lib/R/library"
"PerformanceAnalytics","2.1.0","/gabirel/miniforge3/lib/R/library"
"R6","2.6.1","/gabirel/miniforge3/lib/R/library"
"RApiSerialize","0.1.4","/gabirel/miniforge3/lib/R/library"
"RColorBrewer","1.1-3","/gabirel/miniforge3/lib/R/library"
"Rcpp","1.1.2","/gabirel/miniforge3/lib/R/library"
"RcppArmadillo","15.4.2-1","/gabirel/miniforge3/lib/R/library"
"RcppEigen","0.3.4.0.2","/gabirel/miniforge3/lib/R/library"
"RcppParallel","5.1.11-2","/gabirel/miniforge3/lib/R/library"
"RcppTOML","0.2.3","/gabirel/miniforge3/lib/R/library"
"RcppThread","2.4.0","/gabirel/miniforge3/lib/R/library"
"Rmpfr","1.1-2","/gabirel/miniforge3/lib/R/library"
"Rsolnp","2.0.1","/gabirel/miniforge3/lib/R/library"
"S7","0.2.2","/gabirel/miniforge3/lib/R/library"
"SkewHyperbolic","0.4-2","/gabirel/miniforge3/lib/R/library"
"assertthat","0.2.1","/gabirel/miniforge3/lib/R/library"
"base","4.5.3","/gabirel/miniforge3/lib/R/library"
"bit","4.6.0","/gabirel/miniforge3/lib/R/library"
"bit64","4.8.2","/gabirel/miniforge3/lib/R/library"
"callr","3.7.6","/gabirel/miniforge3/lib/R/library"
"chron","2.3-63","/gabirel/miniforge3/lib/R/library"
"cli","3.6.6","/gabirel/miniforge3/lib/R/library"
"cluster","2.1.8.2","/gabirel/miniforge3/lib/R/library"
"codetools","0.2-20","/gabirel/miniforge3/lib/R/library"
"colorspace","2.1-3","/gabirel/miniforge3/lib/R/library"
"compiler","4.5.3","/gabirel/miniforge3/lib/R/library"
"copula","1.1-7","/gabirel/miniforge3/lib/R/library"
"coro","1.1.0","/gabirel/miniforge3/lib/R/library"
"corpcor","1.6.10","/gabirel/miniforge3/lib/R/library"
"cpp11","0.5.5","/gabirel/miniforge3/lib/R/library"
"data.table","1.18.4","/gabirel/miniforge3/lib/R/library"
"datasets","4.5.3","/gabirel/miniforge3/lib/R/library"
"desc","1.4.3","/gabirel/miniforge3/lib/R/library"
"digest","0.6.39","/gabirel/miniforge3/lib/R/library"
"farver","2.1.2","/gabirel/miniforge3/lib/R/library"
"ff","4.5.3","/gabirel/miniforge3/lib/R/library"
"fracdiff","1.5-4","/gabirel/miniforge3/lib/R/library"
"future","1.75.0","/gabirel/miniforge3/lib/R/library"
"future.apply","1.20.2","/gabirel/miniforge3/lib/R/library"
"ggplot2","4.0.3","/gabirel/miniforge3/lib/R/library"
"globals","0.19.1","/gabirel/miniforge3/lib/R/library"
"glue","1.8.1","/gabirel/miniforge3/lib/R/library"
"gmp","0.7-5.1","/gabirel/miniforge3/lib/R/library"
"grDevices","4.5.3","/gabirel/miniforge3/lib/R/library"
"graphics","4.5.3","/gabirel/miniforge3/lib/R/library"
"grid","4.5.3","/gabirel/miniforge3/lib/R/library"
"gsl","2.1-9","/gabirel/miniforge3/lib/R/library"
"gtable","0.3.6","/gabirel/miniforge3/lib/R/library"
"here","1.0.2","/gabirel/miniforge3/lib/R/library"
"isoband","0.3.0","/gabirel/miniforge3/lib/R/library"
"jsonlite","2.0.0","/gabirel/miniforge3/lib/R/library"
"kde1d","1.1.1","/gabirel/miniforge3/lib/R/library"
"kernlab","0.9-33","/gabirel/miniforge3/lib/R/library"
"ks","1.15.2","/gabirel/miniforge3/lib/R/library"
"labeling","0.4.3","/gabirel/miniforge3/lib/R/library"
"lattice","0.22-9","/gabirel/miniforge3/lib/R/library"
"lifecycle","1.0.5","/gabirel/miniforge3/lib/R/library"
"listenv","1.0.0","/gabirel/miniforge3/lib/R/library"
"magrittr","2.0.5","/gabirel/miniforge3/lib/R/library"
"mclust","6.1.3","/gabirel/miniforge3/lib/R/library"
"methods","4.5.3","/gabirel/miniforge3/lib/R/library"
"mgcv","1.9-4","/gabirel/miniforge3/lib/R/library"
"moments","0.14.1","/gabirel/miniforge3/lib/R/library"
"multicool","1.0.1","/gabirel/miniforge3/lib/R/library"
"munsell","0.5.1","/gabirel/miniforge3/lib/R/library"
"mvtnorm","1.4-2","/gabirel/miniforge3/lib/R/library"
"nlme","3.1-170","/gabirel/miniforge3/lib/R/library"
"nloptr","2.2.1","/gabirel/miniforge3/lib/R/library"
"numDeriv","2016.8-1.1","/gabirel/miniforge3/lib/R/library"
"parallel","4.5.3","/gabirel/miniforge3/lib/R/library"
"parallelly","1.48.0","/gabirel/miniforge3/lib/R/library"
"pcaPP","2.0-5","/gabirel/miniforge3/lib/R/library"
"plyr","1.8.9","/gabirel/miniforge3/lib/R/library"
"png","0.1-9","/gabirel/miniforge3/lib/R/library"
"pracma","2.4.6","/gabirel/miniforge3/lib/R/library"
"processx","3.9.0","/gabirel/miniforge3/lib/R/library"
"ps","1.9.3","/gabirel/miniforge3/lib/R/library"
"pspline","1.0-21","/gabirel/miniforge3/lib/R/library"
"qs","0.27.3","/gabirel/miniforge3/lib/R/library"
"quadprog","1.5-8","/gabirel/miniforge3/lib/R/library"
"randtoolbox","2.0.5","/gabirel/miniforge3/lib/R/library"
"rappdirs","0.3.4","/gabirel/miniforge3/lib/R/library"
"reshape2","1.4.5","/gabirel/miniforge3/lib/R/library"
"reticulate","1.46.0","/gabirel/miniforge3/lib/R/library"
"rlang","1.3.0","/gabirel/miniforge3/lib/R/library"
"rmgarch","1.4-2","/gabirel/miniforge3/lib/R/library"
"rngWELL","0.10-10","/gabirel/miniforge3/lib/R/library"
"rprojroot","2.1.1","/gabirel/miniforge3/lib/R/library"
"rugarch","1.5-6","/gabirel/miniforge3/lib/R/library"
"rvinecopulib","0.7.3.1.0","/gabirel/miniforge3/lib/R/library"
"safetensors","0.2.0","/gabirel/miniforge3/lib/R/library"
"scales","1.4.0","/gabirel/miniforge3/lib/R/library"
"shape","1.4.6.1","/gabirel/miniforge3/lib/R/library"
"showtext","0.9-8","/gabirel/miniforge3/lib/R/library"
"showtextdb","3.0","/gabirel/miniforge3/lib/R/library"
"spd","2.0-1","/gabirel/miniforge3/lib/R/library"
"splines","4.5.3","/gabirel/miniforge3/lib/R/library"
"stabledist","0.7-2","/gabirel/miniforge3/lib/R/library"
"stats","4.5.3","/gabirel/miniforge3/lib/R/library"
"stats4","4.5.3","/gabirel/miniforge3/lib/R/library"
"stringfish","0.19.0","/gabirel/miniforge3/lib/R/library"
"stringi","1.8.7","/gabirel/miniforge3/lib/R/library"
"stringr","1.6.0","/gabirel/miniforge3/lib/R/library"
