"path","absolute_path","bytes","classification","action","reason","recoverability"
"analysis_outputs/oos_v4_verified_770d2944/post_holdout_ensemble_mechanism_v1","C:\Users\gabri\Downloads\copula-based_dynamic_portfolio_selection\analysis_outputs\oos_v4_verified_770d2944\post_holdout_ensemble_mechanism_v1","3189278","generated_or_obsolete","delete_local","Superseded duplicate; v2 contains the same substantive CSV and PNG outputs with completed status and current provenance.","Superseded by analysis_outputs/oos_v4_verified_770d2944/post_holdout_ensemble_mechanism_v2."
".pytest_cache","C:\Users\gabri\Downloads\copula-based_dynamic_portfolio_selection\.pytest_cache","10673","generated_or_obsolete","delete_local","Cache, smoke output, superseded diagnostic/run, or superseded manuscript tree.","Regenerable or superseded by frozen evidence/latest manuscript."
".codex_tmp","C:\Users\gabri\Downloads\copula-based_dynamic_portfolio_selection\.codex_tmp","10272895","generated_or_obsolete","delete_local","Cache, smoke output, superseded diagnostic/run, or superseded manuscript tree.","Regenerable or superseded by frozen evidence/latest manuscript."
".codex_no_holdout_20260741","C:\Users\gabri\Downloads\copula-based_dynamic_portfolio_selection\.codex_no_holdout_20260741","2178684","generated_or_obsolete","delete_local","Cache, smoke output, superseded diagnostic/run, or superseded manuscript tree.","Regenerable or superseded by frozen evidence/latest manuscript."
".codex_training_diagnostics_20260741","C:\Users\gabri\Downloads\copula-based_dynamic_portfolio_selection\.codex_training_diagnostics_20260741","82280","generated_or_obsolete","delete_local","Cache, smoke output, superseded diagnostic/run, or superseded manuscript tree.","Regenerable or superseded by frozen evidence/latest manuscript."
"tmp","C:\Users\gabri\Downloads\copula-based_dynamic_portfolio_selection\tmp","16415251","generated_or_obsolete","delete_local","Cache, smoke output, superseded diagnostic/run, or superseded manuscript tree.","Regenerable or superseded by frozen evidence/latest manuscript."
"diagnostic_analysis","C:\Users\gabri\Downloads\copula-based_dynamic_portfolio_selection\diagnostic_analysis","11634087","generated_or_obsolete","delete_local","Cache, smoke output, superseded diagnostic/run, or superseded manuscript tree.","Regenerable or superseded by frozen evidence/latest manuscript."
"data/_codex_generator_smoke","C:\Users\gabri\Downloads\copula-based_dynamic_portfolio_selection\data\_codex_generator_smoke","45627749","generated_or_obsolete","delete_local","Cache, smoke output, superseded diagnostic/run, or superseded manuscript tree.","Regenerable or superseded by frozen evidence/latest manuscript."
"data/_codex_generator_smoke2","C:\Users\gabri\Downloads\copula-based_dynamic_portfolio_selection\data\_codex_generator_smoke2","45647196","generated_or_obsolete","delete_local","Cache, smoke output, superseded diagnostic/run, or superseded manuscript tree.","Regenerable or superseded by frozen evidence/latest manuscript."
"data/_codex_generator_smoke3","C:\Users\gabri\Downloads\copula-based_dynamic_portfolio_selection\data\_codex_generator_smoke3","45648751","generated_or_obsolete","delete_local","Cache, smoke output, superseded diagnostic/run, or superseded manuscript tree.","Regenerable or superseded by frozen evidence/latest manuscript."
